,Net_demand,BESS_Charging,BESS_Discharging,PP,PV,Wind
0,8.703,0.05903685205138884,0.007995635621314555,16.410125370903202,9.420465435801983,10.532137570349796
1,8.568,0.04055622925645951,0.009232283536811688,24.791967120486568,0.3060595550927049,9.984525149228608
2,8.361,0.032874594485184656,0.009947337292935517,24.168420493296207,0.0,9.774069564200708
3,8.093,0.02925532501985061,0.01041469895965302,23.475128780616377,0.0,9.699416651858856
4,7.938,0.02726059073185561,0.010741480547240344,22.925028778292265,0.0,9.544194874050309
5,7.812,0.026084708639109565,0.010964654259784032,22.548063923745158,0.0,9.434574071011284
6,7.683,0.025370508926249587,0.011112646370553132,22.392536701333253,0.0,9.398606318885683
7,7.519,0.024917943404739254,0.011212720259636327,21.93000311257776,0.0,9.316959854154756
8,7.531,0.02460169189920175,0.0112882093047103,21.966755138843148,1.02902145028472e-08,9.209332931047388
9,7.603,0.0243675255322637,0.01134929382767225,22.34191337817107,0.0026358844580585913,9.024455522526114
10,7.843,0.02413175837474893,0.011423896464707999,23.03860529540433,0.02610752909793101,8.638528615773739
11,8.094,0.02405128865372473,0.011446604011029517,23.70866797827442,0.3889017577584467,8.6218097852599
12,8.263,0.024130506645224828,0.011410527931212047,24.070136916536903,1.494820056836492,8.839877246520405
13,8.452,0.024196832390133795,0.011384306700732873,24.528478534192597,2.9703745732960805,8.946326311271743
14,8.477,0.02423252505915071,0.01136778551749291,22.864745379502903,6.122290797971161,9.029130961322286
15,8.443,0.024245340853746675,0.011357000773785859,14.456111163416525,15.616241666868767,9.10000618185403
16,8.407,0.024259808635905086,0.011350143842827275,3.396019184203491,27.44150024857911,9.281769898568406
17,8.379,0.024267237667111318,0.011351711422395355,0.0003069063792211903,36.55380353913362,9.470702653614858
18,8.32,0.024302134538935993,0.011345074878396044,0.00030644369153088816,42.513834800142654,9.704807949769556
19,8.37,0.02435142311183886,0.011336878113262921,0.0003064370801564283,44.632560929206655,9.802468044213732
20,8.702,0.024372616030935653,0.011336833489058357,0.0003066837412557393,40.91961859553329,9.803725925414712
21,9.264,0.024296775272792642,0.011354607737100706,0.00030738119742884,34.65104096540376,9.715926779795668
22,9.187,0.02404177987775946,0.011452395511837831,2.838151430123032,25.773133796540677,8.686466469383841
23,8.971,0.023776811851503966,0.011530391349295933,10.899118780814709,16.024205198898827,7.947027126657541
24,9.495,0.024532086473606315,0.011299581699608218,16.141188919301886,13.879579024788484,10.160108219556786
25,9.097,0.02469146183311457,0.011266235141794385,26.23513438791898,2.9628287822195283,9.56449340198512
26,8.818,0.02500900132402383,0.011200417606620978,28.51263515332495,0.0005706950473687291,9.163319307764862
27,8.635,0.025531497960956245,0.011108939065611178,28.31140055598412,0.0,8.735723597233298
28,8.558,0.0265147657142696,0.010956394312185563,28.392967407594572,0.0,8.410499556867284
29,8.606,0.0282703101287505,0.010690722955042855,28.583627925022547,0.0,8.259615857222723
30,8.847,0.031324348560813876,0.010257776426160225,29.330249627620013,0.0,8.118236917226874
31,9.142,0.03811392976686036,0.009466651768826714,30.01776011666447,0.0,8.01294668713971
32,9.665,0.06583683846849077,0.006098598954072147,31.22145902809412,0.0,7.826781942185781
33,9.963,0.0010512507054640323,0.054009276282672436,32.469746071677754,0.0,7.6333180538336505
34,10.11,0.001037088822394731,0.04149260488373591,33.927155626225655,7.077659731226611e-05,7.279729829770388
35,10.263,0.0010344176707408157,0.041473852024068704,34.33768742280902,0.054910676094205434,7.266906796301273
36,10.375,0.001036509119034226,0.05695976041722311,34.13465501566736,0.7386971030140121,6.986393780481433
37,10.49,0.0551141220069673,0.00822943365961488,33.15788721953431,2.2523383732350633,6.907496558136327
38,10.577,0.04288871126885933,0.00909456321935607,30.366061925841535,6.514495864367663,7.056194244686254
39,10.653,0.03458042205379865,0.00973954587817511,19.72163561623386,18.14188128702954,7.239124441057889
