,Net_demand,BESS_Charging,BESS_Discharging,PP,PV,Wind
0,8.703,0.019976324486032582,0.00271298627191188,1.581347090736972e-06,0.04716742509029867,10.681282876691732
1,8.568,0.013845642714762409,0.0031469524421404702,1.5813822415839806e-06,0.03296839868443281,10.125914977205825
2,8.361,0.01124852045979724,0.0033991739695247705,1.581249450565515e-06,0.0,9.912479172490494
3,8.093,0.010012305509668872,0.003565038972415973,1.5810231506138677e-06,0.0,9.836769424521028
4,7.938,0.009337864182615018,0.003678288480360844,1.5809155104935112e-06,0.0,9.679349810757898
5,7.812,0.008942306246051362,0.0037549444559304627,1.5808116881306722e-06,0.0,9.568176914863328
6,7.683,0.008701154290231931,0.003806100513844612,1.5806765672636604e-06,0.0,9.53170002797389
7,7.519,0.008549352313560452,0.003840401460633916,1.5805638376454151e-06,0.0,9.448897686208952
8,7.531,0.008449124639322752,0.0038644356872117665,1.5805425929190285e-06,1.0290180163687302e-08,9.339747078758501
9,7.603,0.008380755539107937,0.003881817361470762,1.5805832067315472e-06,0.002635875661929234,9.152251717822292
10,7.843,0.008325548777568305,0.0038974194726462577,1.5808019215455545e-06,0.026107441975294646,8.76086079319555
11,8.094,0.008297601335659014,0.0039048539865544694,1.58054386756363e-06,0.3889004599662927,8.743904957699085
12,8.263,0.008295189136658419,0.0039032103528198253,1.579698008939153e-06,1.4948150685182273,8.965060568049251
13,8.452,0.008297814019790484,0.0038999498642102075,1.5788463843096513e-06,2.970364660949996,9.073016878262639
14,8.477,0.00830369787886184,0.0038964417304460353,1.5781376261783175e-06,4.250830257058537,9.156994011960649
15,8.443,0.008312826876621705,0.003893269304953258,1.5776501527741426e-06,5.129075047788897,9.228872488751582
16,8.407,0.00832268014323486,0.0038906974450255605,1.5773652122767688e-06,5.48322824646246,9.413210674657304
17,8.379,0.00832439314518538,0.0038905454357800397,1.5773333906239161e-06,5.22842623530929,9.604819149467337
18,8.32,0.00832940184508499,0.0038892406894079704,1.577388933950274e-06,5.025027104133792,9.842238783339367
19,8.37,0.00832871205751268,0.003889163083291163,1.5777634985273414e-06,4.631341961371389,9.941280990680857
20,8.702,0.008326453756893688,0.0038912824312865987,1.5785908892804961e-06,3.5065542421392375,9.942555993350032
21,9.264,0.008321191029570836,0.003894607326324034,1.5798736074230904e-06,2.07145643551094,9.853513206941988
22,9.187,0.00830887981308847,0.0039022329801910835,1.5818438031097499e-06,0.6372613202970028,8.809474989704558
23,8.971,0.00829879169049292,0.003910703827457035,1.5836452255416094e-06,0.19954566785420016,8.059563514527243
24,9.495,0.008442076264963643,0.0038667535861828567,1.582156781937494e-06,0.014882528616738415,10.303963507839104
25,9.097,0.008527232032414105,0.0038469909154010477,1.5827929294348108e-06,0.0,9.699917885395408
26,8.818,0.008664563113278276,0.00381572283271199,1.5834068583544088e-06,0.0,9.29306444418789
27,8.635,0.008876856388593911,0.003770244196943596,1.5841538672869808e-06,0.0,8.859415188989509
28,8.558,0.009242543961282426,0.0037011743071256155,1.5846935137697818e-06,0.0,8.529587119558299
29,8.606,0.009867785583100867,0.003596196391821698,1.5851191091813166e-06,0.0,8.376568546587544
30,8.847,0.010966009700659455,0.0034412216858682554,1.5865742333209713e-06,0.0,8.233188635900264
31,9.142,0.013382099085436827,0.003198500613073591,1.5910740483280355e-06,0.0,8.126408370254147
32,9.665,0.021135839051247964,0.0026273304809681843,1.6230215956887674e-06,0.0,7.937607943427931
33,9.963,1.469118921559116e-05,0.018791837663581983,0.25223084852804145,0.0,7.7414049853152935
34,10.11,1.4355556461548622e-05,0.013845195781370731,0.8529522015536805,7.077636112584924e-05,7.382811424085559
35,10.263,1.4083322838919301e-05,0.0120955195002622,0.969099917811369,0.054910492853468704,7.36980711265095
