,year,total_fossil_gen,total_curtailment
0,1,78280.88647995476,1.2552016414701939e-05
1,2,77622.34543066131,1.3196986401453614e-05
2,3,76130.54061966414,1.38737668748945e-05
3,4,73464.53793747447,1.4584045857191086e-05
4,5,72453.25625717513,1.5331344911828637e-05
5,6,73055.80235614278,1.6117584891617298e-05
6,7,67144.89892199657,279.9657011397212
7,8,64137.96699461723,1994.4730003918958
8,9,64117.76303838312,2325.2632463446935
9,10,67590.68610855934,1489.51094090259
10,11,67547.9666944235,1769.5294946830836
11,12,71444.85071587768,1127.178738096205
12,13,70444.15952516317,1752.7894902221742
13,14,71136.9984770849,1826.378413482933
14,15,71444.32218354812,2248.5270173330355
15,16,74357.19365113004,1820.9403544278612
16,17,78021.99639746532,1123.1888345435145
17,18,76914.00429568817,1894.8196797171258
18,19,77606.83792845574,2096.0561951167183
19,20,76549.52080455607,3294.165360900297
20,21,76966.57837789574,4470.279690642899
21,22,74832.1363409938,7040.3199757418915
22,23,76622.51066597007,8384.144746335689
23,24,73453.10479913965,13823.138793328864
24,25,71534.54707563463,19340.95155090303
25,26,69128.04974441351,27716.593021835375
26,27,68567.5135009783,35819.72753781281
27,28,65418.11696182545,49682.37403395373
28,29,63227.44354447661,72560.90279066551
29,30,59987.09277747782,102182.09221037844
