USA_maxRE,CHL_maxRE,USA_maxEmissions
5361.070307048826,22.192195424840975,5453.723580681489
5290.427435617554,20.545911171724583,5503.38685493732
5043.2111657134055,18.78563911504716,5412.392786774143
4867.366639894828,17.053994836011043,5439.421648530174
4787.885871763139,16.626756174595357,5623.412771842183
4524.826827336779,16.554829164324474,5699.029779284506
4122.068581707553,15.759986889450374,5707.556550247741
3899.332102540284,15.252006971491937,5885.007757869516
3550.524444963188,14.826500884406414,5789.221687305524
3387.924857409831,15.278028213613652,5869.506260512129
3236.67278752361,14.991548184656494,5937.069732754214
3058.6183497393395,15.291311308839795,5976.157492919447
2857.897335422027,14.85143289300322,5982.788383826104
2647.336491317422,14.955312256743127,5920.570031620856
2495.6852954798114,14.676539698666602,5930.209049599976
2365.030085227874,14.808813434592594,6083.285082756246
2233.1084650454013,15.35167306371477,6250.011921459258
2023.7455960813622,15.265302302410419,6216.749848211629
1812.2062977370815,15.13262198733537,6277.976052875605
1545.458652029818,14.756826815308159,6182.009552120532
1355.975371769724,14.333323586391998,6226.470493896029
1180.6896135858806,13.70642881477761,6269.436327569577
991.6379619600684,13.594521095654272,6295.849276779566
793.6324302239682,12.80500084790583,6233.120766446099
584.8995700523683,11.878195693319867,6175.073949462425
464.64930523621115,10.941067689054762,6158.0527679171955
334.76875618988925,10.237724412014359,6199.866105743991
247.24228592829968,9.097855398391403,6229.11734952232
237.2621385553848,8.257717997381405,6176.90120837209
177.56523027174262,6.73826547587305,6198.697596902834
