,scenario,asset_name,total_system_cost_BUSD,total_capex_BUSD,total_opex_BUSD,total_cost_BUSD,total_emissions_MtCO2e,HVDC_size_GWp
0,MEX_2042_low-CHL_2040_low_equal_FF_Cost,RE_PV_MY,339.0708669215812,54.69347437630708,0.0,54.69347437630708,0.0,0.0
1,MEX_2042_low-CHL_2040_low_equal_FF_Cost,RE_WIND_MY,339.0708669215812,81.15896310241493,0.0,81.15896310241493,0.0,0.0
2,MEX_2042_low-CHL_2040_low_equal_FF_Cost,PP_CO2_MY,339.0708669215812,0.0,139.86053100002422,139.86053100002422,4007.1898499952476,0.0
3,MEX_2042_low-CHL_2040_low_equal_FF_Cost,EL_Demand_MY,339.0708669215812,0.0,0.0,0.0,0.0,0.0
4,MEX_2042_low-CHL_2040_low_equal_FF_Cost,CO2_Budget_MY,339.0708669215812,0.0,0.0,0.0,0.0,0.0
5,MEX_2042_low-CHL_2040_low_equal_FF_Cost,RE_PV_MY,339.0708669215812,7.414235607019279,0.0,7.414235607019279,0.0,0.0
6,MEX_2042_low-CHL_2040_low_equal_FF_Cost,RE_WIND_MY,339.0708669215812,22.169232692911017,0.0,22.169232692911017,0.0,0.0
7,MEX_2042_low-CHL_2040_low_equal_FF_Cost,PP_CO2_MY,339.0708669215812,0.0,27.94622851880345,27.94622851880345,687.3884694091673,0.0
8,MEX_2042_low-CHL_2040_low_equal_FF_Cost,EL_Demand_MY,339.0708669215812,0.0,0.0,0.0,0.0,0.0
9,MEX_2042_low-CHL_2040_low_equal_FF_Cost,EL_Transport_MY,339.0708669215812,5.633130122102202,0.19507150199896756,5.828201624101169,0.0,1.0379837915347871
