,year,total_fossil_gen,total_curtailment
0,1,79517.41758530568,3.861787263303995e-07
1,2,80352.96872719045,4.0586746763437986e-07
2,3,80653.91169350056,4.264875315129757e-07
3,4,80119.69304641761,4.4805346988141537e-07
4,5,81613.42429252765,4.707253538072109e-07
5,6,85112.79461269603,4.946341505274177e-07
6,7,82197.91321676238,5.197362042963505e-07
7,8,80908.08958713544,5.459005478769541e-07
8,9,76794.10746013788,5.735200829803944e-07
9,10,75350.26137785015,34.39849986763147
10,11,73463.00367973304,140.86718613917765
11,12,75251.04565816812,144.0902856731409
12,13,74506.26666252868,519.7513528837299
13,14,75513.97994326445,549.4651021145401
14,15,75235.64634596698,968.457506182327
15,16,78050.36701919364,748.1619804843212
16,17,81210.06592119807,478.3112134811672
17,18,80975.50985986796,825.9193560342974
18,19,82598.91083498306,737.3181251995557
19,20,83480.03517832211,773.7974977049889
20,21,85079.30014692366,815.6335258689069
21,22,83508.56296478068,1454.9133939347084
22,23,86439.15763104465,1387.0897521188308
23,24,82549.14147188519,3720.358535368956
24,25,79844.92055618785,6621.828855521046
25,26,76244.54443952002,13169.61497252385
26,27,74614.61201918454,21800.621930380235
27,28,69668.10252752037,39174.52703783836
28,29,65570.23316543903,64526.453737200034
29,30,59987.092776562225,98835.53637566563
