Demand,Unit
37.34417066,GW
34.8632491,GW
32.91226852,GW
31.66772983,GW
31.02448852,GW
30.70481666,GW
31.13893464,GW
32.64002066,GW
35.44866674,GW
38.1614272,GW
39.2073648,GW
40.69494421,GW
41.60066032,GW
42.19303598,GW
42.4561972,GW
42.39105624,GW
42.14851407,GW
42.20270076,GW
42.24682593,GW
42.1373192,GW
42.93598386,GW
44.40123823,GW
43.99478277,GW
42.69195176,GW
40.74077965,GW
38.65687203,GW
36.56306561,GW
35.34327015,GW
34.30417606,GW
34.12230484,GW
34.29042116,GW
35.29530035,GW
37.37444205,GW
39.27653642,GW
40.59037931,GW
41.78645161,GW
42.11584929,GW
42.54396375,GW
42.69722442,GW
42.51081958,GW
42.42822546,GW
42.53601546,GW
42.58174408,GW
42.51102308,GW
43.29535445,GW
44.67170587,GW
44.25862663,GW
42.60772673,GW
40.7270682,GW
38.61979546,GW
36.39598924,GW
35.247834,GW
34.39834019,GW
33.89392493,GW
34.15817152,GW
35.25014341,GW
37.34269746,GW
39.10453983,GW
40.12838188,GW
41.29442048,GW
41.90235946,GW
42.39863733,GW
42.39969621,GW
42.24996887,GW
42.25590293,GW
42.18962338,GW
42.18291097,GW
41.97180795,GW
42.66301747,GW
44.14645061,GW
43.85439123,GW
42.36692266,GW
40.60295546,GW
38.61539809,GW
36.29590583,GW
35.00853438,GW
34.26920175,GW
33.92417056,GW
34.09610453,GW
35.12357147,GW
37.16464877,GW
39.2342038,GW
40.27235754,GW
41.50414637,GW
42.18386743,GW
42.29502742,GW
42.48883378,GW
42.38983329,GW
42.23856781,GW
42.23526801,GW
42.03084285,GW
42.22327049,GW
42.61610851,GW
43.90489834,GW
43.55728271,GW
42.08050801,GW
40.43170902,GW
38.67013876,GW
36.55651471,GW
35.30785233,GW
34.17447302,GW
34.01896825,GW
33.94653796,GW
35.04457307,GW
37.01752651,GW
39.30090512,GW
40.41108545,GW
41.43625373,GW
42.00455525,GW
42.36395294,GW
42.6369822,GW
42.83871769,GW
42.60378456,GW
42.49205424,GW
42.31214451,GW
41.57888205,GW
42.32276868,GW
43.622926,GW
43.1079055,GW
41.72692329,GW
40.45623495,GW
38.89079352,GW
36.60934955,GW
35.1936257,GW
34.18281269,GW
33.7103858,GW
33.7195054,GW
33.92378578,GW
35.1102398,GW
36.04065518,GW
37.88316813,GW
38.97214541,GW
40.01256009,GW
40.46328428,GW
40.51444718,GW
40.24195993,GW
39.39620357,GW
38.93043317,GW
38.93333831,GW
38.75023059,GW
40.47106277,GW
41.1309441,GW
40.15239266,GW
39.62896376,GW
38.97157483,GW
36.56190956,GW
34.5052283,GW
32.75615179,GW
31.83914034,GW
31.22404997,GW
31.02081223,GW
31.13913948,GW
31.59325735,GW
31.76584246,GW
32.26858359,GW
33.20017052,GW
33.84982552,GW
34.14984345,GW
34.34814607,GW
34.20368773,GW
33.7705328,GW
33.71982975,GW
33.69604982,GW
34.60744814,GW
37.02881354,GW
39.74893792,GW
39.62079476,GW
38.49655836,GW
36.43408172,GW
34.05145834,GW
32.18216193,GW
30.95406831,GW
30.31616374,GW
30.00042673,GW
30.40292122,GW
31.74143055,GW
34.55478323,GW
37.34439101,GW
38.74421449,GW
39.84638305,GW
40.56857333,GW
41.01240505,GW
41.39317193,GW
41.30759284,GW
40.89692409,GW
41.26060307,GW
41.2154648,GW
40.93886912,GW
41.43023361,GW
43.51640583,GW
43.38452583,GW
41.75418589,GW
39.79513165,GW
37.49905298,GW
35.40324917,GW
34.10119334,GW
33.47809828,GW
33.12125256,GW
33.24227376,GW
34.61723231,GW
36.72589329,GW
38.8946357,GW
39.79485832,GW
40.89656055,GW
41.50010521,GW
41.9121003,GW
42.0222677,GW
42.07982134,GW
42.1154429,GW
42.02607436,GW
41.9871071,GW
41.58046536,GW
42.3741988,GW
44.33176313,GW
43.88462013,GW
