,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Discounted_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh
0,1,slow_fast_2055,136.24894190076597,56.78821111,12410.59775012,12410.59775012,54.747686348094234,335836.6820329456,335836.6820329456,18.068013493372465,13.089999999540833,20.488999999540834,0.6212170868264351,35773.86440568986,35773.86440568986,0.0,7.399,0.0,5878.468467946426,5878.468467946426
1,2,slow_fast_2055,141.3062599726785,58.36387239,12902.58249528,12288.17380502857,55.526178977980386,348302.34156440356,331716.5157756224,17.846348548728482,4.040704973615416e-10,20.4889999999449,0.5916353208039997,35773.86440639536,34070.34705370987,1.932678847511867e-12,7.399000000001933,1.4884914622877742e-13,8377.344934737675,7978.423747369215
2,3,slow_fast_2055,142.60592264816884,59.00384411,12918.635116140002,11717.582871782313,57.409807533926866,351505.8482823979,318826.1662425377,17.152847743848533,1.0988411971723538e-10,20.489000000054787,0.5634622102936226,35773.86440658722,32447.9495751358,9.546428373179357e-12,7.399000000011479,8.002060559443406e-13,5662.105434714843,5135.696539423893
3,4,slow_fast_2055,142.99833532026852,57.68198185,13240.82324412,11437.920953780369,55.51089336695543,352473.0966730801,304479.5133770263,16.38099781968401,6.68381691768947e-11,20.489000000121624,0.5366306764723585,35773.86440670392,30902.80911927776,17.4872544619266,24.88625446193808,1.0841915604711794,14494.74593189888,12521.10651713541
4,5,slow_fast_2055,142.2192627802517,60.2140999,13690.052020120002,11262.839676982327,56.952271834953926,350552.7798379388,288400.63951784594,15.515954406060107,0.0,20.165000000121626,0.5110768347355795,35208.15929334049,28965.839783498017,10.982307454564017,35.5445619165021,1.6471020259509848,30644.80981897984,25211.560877601274
5,6,slow_fast_2055,141.21759810025623,62.47696987,13951.06014893,10931.02067666201,58.59489000654115,348083.80108517676,272732.7662740381,14.673022825543253,3.8168045423423234e-13,20.071000000122005,0.4867398426053244,35044.034970328314,27457.918377887956,16.42756243377962,51.878124350281716,2.4018869738384527,41216.91014587575,32294.527600272955
6,7,slow_fast_2055,136.87171505483144,64.82582571,14167.152494209999,10571.747317678499,59.57609773948823,337371.7403372725,251751.98702976707,13.544256902201466,0.0,19.989000000122008,0.4635617548622137,34900.862688551155,26043.56109409767,1.640318888522784e-10,51.79612435044575,2.2875114036632436,58644.95201596651,43761.76612933043
7,8,slow_fast_2055,138.54649227024075,65.83368942,14414.000050769999,10243.760728576859,61.683850051434185,341499.8577033295,242697.57311184937,13.057129433417494,5.871506246147467e-11,18.77500000018072,0.44148738558444645,32781.21451697712,23296.99713620614,33.239539591121016,83.82166394156675,3.5819894175748277,64144.762663826186,45586.48525080894
8,9,slow_fast_2055,136.8770511302666,66.51799268,15087.774971169998,10211.999985919092,59.33188807387811,337384.8930990056,228355.37580324773,12.285519218214727,3.565099888384686e-11,18.468000000216374,0.4204641767478737,32245.19146209316,21824.814817696,69.78827342771558,153.30293736928235,6.117009078151682,89289.73748058765,60434.808952069885
9,10,slow_fast_2055,120.3285700686247,65.86045951,15118.182059120001,9745.314952312689,56.30677575812143,296594.9471743276,191187.74745371813,10.285900813010032,0.0,18.021000000216375,0.400442073093213,31464.727926063988,20282.444167507965,7.088340972993956e-11,152.85593736935323,5.825722931575564,131785.0292089546,84949.80485211496
10,11,slow_fast_2055,131.7516162629938,68.59272402,15594.98459001,9573.96772857104,61.93941174503387,324751.33414590545,199369.14813721503,10.726060169782162,2.559240291025102e-12,17.319000000218935,0.3813734029459662,30239.03351378103,18564.143448373365,0.0,152.15393736935323,5.548307553881489,120885.54170829007,74213.23621617349
11,12,slow_fast_2055,114.79056543485963,72.22184541,15783.49193676,9228.280844886352,63.20617414802485,282944.4551019465,165431.76285995546,8.900228841865594,0.0,16.539000000218934,0.363212764710444,28877.150833461666,16883.872020150186,1.0390207899044432e-10,151.37393736945714,5.2841024322712755,171389.60501054046,100207.95241436809
12,13,slow_fast_2055,127.97336504022095,74.17093901,16397.07271246,9130.503634875937,65.08749830288895,315438.41518417787,175647.9127051786,9.449857703538608,3.941560632031208e-11,16.41000000025835,0.345916918772519,28651.9163902469,15954.459148584378,50.90755942593491,202.15249679539204,6.489358438790746,154697.76331187843,86141.50312042954
13,14,slow_fast_2055,125.19096314023348,74.9614222,16412.47745414,8703.887210914969,61.77517494727447,308580.14084356313,163646.6370744736,8.804189074606674,1.9195508789833644e-11,16.410000000277545,0.329444684545563,28651.916390280414,15194.72299866956,77.09279976715567,279.2452965625477,8.241713375880245,162643.5843345736,86253.36531810294
14,15,slow_fast_2055,106.42300934798044,75.67741713,17165.33819011,8669.662222154657,61.67468266211832,262319.4709094908,132489.15820312398,7.127916711328071,0.0,14.049000000277545,0.3137568424243457,24529.60227715988,12389.116009919351,4.0250486021972584e-10,276.8842965629503,7.849250834181742,238716.30855842133,120567.95731024844
15,16,slow_fast_2055,118.56841805434995,76.26105637,17338.427885309997,8340.080266851368,66.1320964195523,292256.3915561989,140580.32136490106,7.563221289431679,2.7412674861414214e-11,13.595000000304958,0.29881604040453064,23736.916717124426,11417.862796898225,2.8124022852170455e-08,276.43029659107424,7.4754769855963685,219622.48710578567,105642.1714231465
16,17,slow_fast_2055,92.44161588014008,78.94310056,17627.93468626,8075.559988687562,68.07350361267484,227857.076362189,104383.95204879306,5.615856620225065,0.0,13.435000000304958,0.28458670514717205,23457.556167315324,10746.176758007576,8.037142359098735e-11,276.27029659115465,7.11950189104594,312800.5905886985,143297.55463439747
17,18,slow_fast_2055,98.43751905138323,81.83882296,17885.20349942,7803.255044043056,68.2298279950628,242636.23133197727,105861.38402452334,5.695342460519359,4.170577363585007e-11,13.272000000346665,0.27103495728355664,23172.957607270124,10110.284646198768,102.79272358843109,378.9000201795858,8.923658209508673,289954.2996984819,126506.1005169734
18,19,slow_fast_2055,107.9400713402319,83.84869051,18536.546704729997,7702.318025731093,66.5854324217486,266058.8398822577,110552.94338115852,5.947748353906324,4.7724642316539747e-11,13.272000000394389,0.2581285307468262,23172.957607353448,9628.842520223927,116.00000000005662,494.90002017964235,10.781482713672387,288249.485882533,119773.61513912542
19,20,slow_fast_2055,73.10516288374207,83.69941614,18984.90776768,7512.97267450015,63.7664514253914,180195.12665452808,71309.33050611289,3.836441981228874,0.0,13.090000000394388,0.24583669594935817,22855.184981945597,9044.572791252853,1.1381384918925007e-10,494.71802017975614,10.268078774928197,426522.0563990789,168789.26113368644
20,21,slow_fast_2055,79.69699314282695,82.54523386,18948.150118409998,7141.358499527525,62.98640259964019,196443.1677170985,74037.36389483133,3.98321017754193,13.089999999349327,13.090000000202883,0.14400334356233502,22855.18498161123,8613.878848686221,42.97694974150521,537.6949699212613,10.53541789638189,427195.96243486094,161005.66536750845
21,22,slow_fast_2055,38.02893384493649,85.77960604,19502.529655,7000.284110846004,66.59072226941673,93736.58823006283,33646.032632674054,1.8101565556378634,4.131836722045411e-10,13.090000000211996,0.1371460414858826,22855.18498162714,8203.694141611635,116.00000000009322,653.6949699213526,11.9670897139764,740130.8616208555,265664.32161393564
22,23,slow_fast_2055,48.46405593469935,88.72943633,19813.21606647,6773.145358134149,54.24495683713068,119457.86525683854,40836.655838333274,2.1970120841023273,5.518566931636322e-11,13.090000000157296,0.13061527760460634,22855.184981531635,7813.04203959748,116.00000000024558,769.6949699215886,13.229858249821385,589011.2274981677,201353.41218882138
