CHL_maxRE_low,USA_maxRE_low_MEX_FF_Cost,USA_maxRE_low
27.294424777011955,474.5605786662836,474.56057866577976
25.808086075156098,469.34137175223805,469.3413717517087
23.752372914173975,451.1443617382647,451.14436173771173
21.48147870419598,441.2135334258419,441.21353342526163
20.50025302368158,442.9983669213525,442.99836692074496
20.459007662560907,433.97126933178333,433.9712693311485
19.547397201806234,416.60430948016256,416.60430947950044
19.169617066392675,410.70731347250694,410.7073134718157
18.687332978055565,381.4442847134542,381.4442847127302
18.906439236297956,364.82071677369095,364.8207167729324
18.594273320861248,349.6964837724154,349.69648377161684
18.912804387467986,335.38232700379194,335.3823270029461
18.454828530415398,321.54371803652975,321.5437180356439
18.24823398764056,307.50999597152986,307.50999597059854
17.981698987870914,300.7762554507044,300.7762554497258
17.9851865183482,298.1769649682392,298.1769649672133
18.18937408288366,296.5987488434439,296.5987488423598
17.661278293056967,289.21433994473773,289.2143399436045
17.239184375748664,283.5116782080804,283.5116782068908
16.65364461126046,275.0813795808335,275.0813795795839
16.158872710962896,274.2047580205199,274.2047580192084
15.220741607503442,272.274707096798,272.2747070954174
14.701980567790088,268.4872322718147,268.48723227036317
13.180272069728744,263.4974820480529,263.4974820465304
11.546915973996875,256.8295977527432,256.8295977511425
10.392993806579398,254.40354879395636,254.40354879227561
10.904065227439787,252.02442543857433,252.02442543680445
11.051512493590053,250.17740126216268,250.1774012602964
11.513167414619602,245.61222744162296,245.61222743963845
11.716389404869915,241.63273251094142,241.63273250875864
