country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_size,technology_name,collaboration_emissions_MtCO2e/y,technology_cost_G$/y
MX,CL,,,,,10.893,RE_PV_Existing_[MX],79.0,0.0
MX,CL,,,,,7.318,RE_WIND_Existing_[MX],79.0,0.0
MX,CL,,,,,58.24840865493196,RE_PV_Openfield_Lim_[MX],79.0,1.6
MX,CL,,,,,3.1242646067030674e-05,RE_WIND_Onshore_Lim_[MX],79.0,0.0
MX,CL,,,,,0.012782543142666166,BESS_[MX],79.0,0.0
MX,CL,,,,,31.22183446563581,PP_CO2_[MX],79.0,6.8
MX,CL,,,,,11.174882419454619,PP_CO2_Existing_[MX],79.0,0.6
MX,CL,,,,,45.58846579,EL_Demand_[MX],79.0,0.0
MX,CL,,,,,8.366,RE_PV_Existing_[CL],79.0,0.0
MX,CL,,,,,4.51,RE_WIND_Existing_[CL],79.0,0.0
MX,CL,,,,,7.420659560768876e-06,RE_PV_Openfield_Lim_[CL],79.0,0.0
MX,CL,,,,,17.6616043570512,RE_WIND_Onshore_Lim_[CL],79.0,0.5
MX,CL,,,,,0.19456834836913467,BESS_[CL],79.0,0.0
MX,CL,,,,,0.00033171167354496036,PP_CO2_[CL],79.0,0.0
MX,CL,,,,,4.019372345101213,PP_CO2_Existing_[CL],79.0,0.2
MX,CL,,,,,10.933,EL_Demand_[CL],79.0,0.0
MX,CL,,,,,0.0005168080417729194,EL_Transport_[MX-CL],79.0,0.0
