,year,total_fossil_gen,total_curtailment
0,1,354905.75413161906,1.8102582544088364e-08
1,2,359507.8155124143,1.8684659153223038e-08
2,3,373940.78786686924,1.955777406692505e-08
3,4,373507.9809727674,2.08965502679348e-08
4,5,383084.77690261684,2.136221155524254e-08
5,6,395731.68364760146,2.287561073899269e-08
6,7,402178.20814957365,2.3457687348127365e-08
7,8,409631.8548554274,2.4738255888223648e-08
8,9,415150.6056687554,2.6309862732887268e-08
9,10,433548.93631370424,2.764863893389702e-08
10,11,431936.81081817765,2.8347130864858627e-08
11,12,443188.80123329227,3.0209776014089584e-08
12,13,442641.00447941216,3.2188836485147476e-08
13,14,453406.23792882776,3.3352989703416824e-08
14,15,449613.2998349094,3.5157427191734314e-08
15,16,461560.1988637064,3.6670826375484467e-08
16,17,452530.7278478343,3.8533471524715424e-08
17,18,442759.5388741922,4.0745362639427185e-08
18,19,427383.3785450877,4.237517714500427e-08
19,20,419795.6978808315,848.8234829012072
20,21,400817.4979332112,2473.560203303001
21,22,372333.7864852407,17643.778535227175
22,23,361411.63518118946,41582.12178199261
23,24,352987.4814354957,87467.53562230524
24,25,348131.145598519,144368.79278957634
25,26,337369.9386645165,230905.93282125692
26,27,337658.0607527592,322725.3829281732
27,28,330647.58094107185,463652.385546303
28,29,327587.0331762057,623196.2026263011
29,30,322136.8974894571,830113.4776979736
