,year,total_fossil_gen,total_curtailment
0,1,1274673.601168306,7.646158337593079e-07
1,2,1273840.5719197644,8.004717528820038e-07
2,3,1238467.7153316233,8.386559784412384e-07
3,4,1224514.6651263963,8.791685104370117e-07
4,5,1240386.968036631,9.229406714439392e-07
5,6,1225095.5613736608,9.67876985669136e-07
6,7,1183707.505015396,1.0153744369745255e-06
7,8,1166830.0402174084,1.0654330253601074e-06
8,9,1074266.6511264252,1440.0282840759028
9,10,1008674.1997219448,11499.99119885615
10,11,1007769.0091641839,13380.563903897302
11,12,1002407.7073468748,14731.967147658579
12,13,992295.01906307,16973.919458693825
13,14,972266.6283384298,18987.83151852619
14,15,968136.7250295401,23153.472937404178
15,16,988573.0904451711,22529.06284465897
16,17,1008566.5516682564,19078.777270327788
17,18,996038.1449812029,23350.641413212288
18,19,996774.6427697256,22716.34261546121
19,20,966514.7121823787,29183.634859797778
20,21,973532.5390916443,37376.043466962874
21,22,974490.6607754437,42701.503546619555
22,23,967286.9615718845,47040.3936138344
23,24,947148.5634791484,65027.133452387294
24,25,918471.0251107883,80835.28550350876
25,26,905766.4961286783,112637.275866549
26,27,898542.941110468,148215.81958321948
27,28,887361.850116469,198316.40740863723
28,29,861818.0299498097,272119.4229876548
29,30,842750.4327870748,363298.5550372016
