,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Fossil_Gen_GWh_loc2,Discounted_Fossil_Gen_GWh_loc2,Annual_Emissions_loc2,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,Total_Annual_Demand_loc2,Discounted_Annual_Demand_loc2,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,RE_PV_MY_new_annual_installed_GWp_loc2,RE_PV_MY_total_capacity_GWp_loc2,RE_PV_MY_annual_generation_GWh_loc2,RE_PV_MY_discounted_annual_gen_GWh_loc2,RE_PV_MY_annual_CAPEX_BUSD_loc2,RE_WIND_MY_new_annual_installed_GWp_loc2,RE_WIND_MY_total_capacity_GWp_loc2,RE_WIND_MY_annual_generation_GWh_loc2,RE_WIND_MY_discounted_annual_gen_GWh_loc2,RE_WIND_MY_annual_CAPEX_BUSD_loc2,PP_CO2_MY_annual_OPEX_BUSD_loc2,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc2,EL_Transport_MY_annual_CAPEX_BUSD_target_loc2,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
10,11,MEX-CHL-USA,35347.259053392176,21700.150809216044,14.34985606338749,8215.80479421534,5043.791451672507,2.970038080523222,1723396.4997398213,1058015.9522960298,7384.512725875171,483514.12836467504,296835.7316772819,108825.26277025,66809.27113471222,1483034.0283367499,910454.2454478724,2.624436887239858e-16,92.89700477003359,164407.10880338642,100931.70307071654,3.237819503446785,0.0,4.047,2460.392213865545,1510.4673890005479,0.0,2.0070469483443887,6.3737109757939575e-15,5.272995229966389,9436.934465563683,5793.459141205125,0.032963079423521106,0.531792710389064,21.981347547181183,98771.06319650491,60636.864762646255,1.1764408415041385,0.31876761974570167,0.0,21.690200000000004,37859.67588405385,23242.556799978116,0.0,0.0,21.6902,24449.737335917856,15010.017796110304,0.0,8.379486342184556,2.312303899905919e-14,1.1971793918677032e-13,1.0937745621891037,5.400869058842462,0.01675626589596347,0.016990174027059483
11,12,MEX-CHL-USA,35270.14855282164,20621.725381836794,14.318551667691876,7513.871170859583,4393.204854465257,2.716286969879248,1686429.4244397925,986020.3569759075,7226.113983605087,470516.30613151664,275101.13937255164,109917.49842206667,64266.48483557353,1456594.4759779999,851640.6227020486,1.974323522700514e-16,92.11700477003359,163026.6816821451,95318.32434803751,3.0836376223302713,0.0,3.267,1986.187635952245,1161.2827749808303,0.0,1.9073033805660824,8.545864730708582e-15,5.143995229966397,9206.066715268867,5382.596542365714,0.03139340897478216,0.4528687492835728,22.30521629646476,100226.33615619036,58600.26297153966,1.144667575617322,0.2776505468022037,0.0,21.3138,37202.67954456607,21751.63622822743,0.0,0.0,21.3138,24025.449817442255,14047.182919244013,0.0,7.8092812272491825,2.210201925240502e-14,1.1401708493978125e-13,1.1041416005811657,5.143684817945202,0.016981544252361595,0.0172137852388965
12,13,MEX-CHL-USA,44339.27546120646,24689.767671681813,18.00032698043504,8494.881692393345,4730.267989316125,3.0709252164452723,1731365.1920227462,964088.9234484402,7418.657456690586,500286.38331115,278578.1780323695,111648.61172229168,62170.124694549675,1473870.7706914165,820706.3946791778,5.748864735462447e-16,91.9880047700336,162798.38027363215,90652.22975505782,2.936797735552639,0.0,3.138,1907.7614942204302,1062.3129849402671,0.0,2.2835566119538475,9.439995525521078e-15,4.880995229966407,8735.382852264695,4864.188034247596,0.02989848473788793,1.0048552434230624,23.047071539887824,103559.79107625481,57665.966689909175,1.1403455412542456,0.2989529369247792,0.0,19.347,33769.68166862407,18804.22235303468,0.0,0.0,19.347,21808.42353864892,12143.746257783976,0.0,7.635584273711648,2.100958355438139e-14,1.0858769994264881e-13,1.0127814892288907,4.898747445662096,0.017168606614808114,0.01742355045291148
13,14,MEX-CHL-USA,48681.772226469,25816.983198947626,19.76324170723515,8871.43973151021,4704.713900582824,3.207052077260141,1732075.2274657323,918556.4740488828,7421.699859158818,500127.8119355251,265228.45672092354,110756.63771385835,58736.60970534493,1473724.9977944167,781547.8313100687,5.160742667393124e-16,91.9880047700336,162798.38027363215,86335.45690957888,2.7969502243358466,0.0,3.138,1907.7614942204302,1011.7266523240638,0.0,2.387812776070663,8.860043780220816e-15,4.4909952299664155,8037.410583931502,4262.410436561339,0.028474747369417217,0.7161283603522461,23.373199900240067,105025.21738014193,55697.11513285252,1.1193904388561595,0.29733791851683494,0.0,17.4292,30422.212009034098,16133.548562248461,0.0,0.0,17.4292,19646.631288562556,10419.028040580597,0.0,7.274967274467153,2.0264667954464843e-14,1.0341685708823695e-13,1.0126268284972273,4.665473757773425,0.017439113679805687,0.017713980547839223
14,15,MEX-CHL-USA,66021.958160784,33345.57526102294,26.802802310617167,7686.664580721931,3882.2879451483814,2.7787523059247157,1759556.6415031473,888695.6711036641,7539.453870911174,517512.7745797334,261379.11770601716,115575.99929160833,58373.73337762412,1491468.313889,753292.8482535948,1.308314119381033e-15,89.6270047700336,158619.93356433618,80113.84514962442,2.6637621184150917,0.0,0.777,472.3807141520951,238.58436033135985,0.0,3.084132255892013,8.078837170879392e-15,4.183995229966424,7487.981131679477,3781.9393022464196,0.0271188070184927,1.9223266123571316,24.9885265125972,112283.53157446814,56710.8134474243,1.1495083987957344,0.24536059813337724,0.0,16.041800000000002,28000.54165460969,14142.176256259465,0.0,0.0,16.0418,18082.719218602273,9133.001980332172,0.0,7.038469715141017,1.9102210763962352e-14,9.849224484593994e-14,0.9590466148453884,4.4433083407365945,0.017990749677532086,0.018275742460074466
15,16,MEX-CHL-USA,69432.53054119529,33398.2343540384,28.187385558747973,8379.35065053927,4030.6109338090814,3.0291603982218995,1766820.02451577,849870.6410415921,7570.576450246642,525863.8703777083,252949.51291997125,116836.71773649167,56200.458916080985,1472898.5677144167,708489.3948243348,1.493270752575009e-15,89.17300477003359,157816.4541886393,75912.41282482578,2.536916303252468,0.0,0.323,196.36933162307167,94.45700605139328,0.0,3.0890026954050125,6.797414021741565e-15,3.8899952299664307,6961.817421705222,3348.7532136278046,0.025827435255707423,0.4251123560035951,25.119638868600795,112872.67228901612,54293.68527823558,1.1119544313724596,0.25473461101673406,0.0,9.261800000000001,16166.229269574738,7776.232690324142,0.0,0.0,9.2618,10440.133205678325,5021.882578278563,0.0,6.73097547704941,1.840775327385211e-14,9.380213794851422e-14,0.888077884233014,4.231722229272947,0.018253221253453453,0.01854213947007714
16,17,MEX-CHL-USA,67445.92324347954,30897.754549185556,27.38088656730894,8087.78251547194,3705.1063576982847,2.9237576426906453,1772234.197520154,811880.9055511652,7593.775423586205,525996.5181101332,240965.06547361016,119404.66907346668,54700.65468212527,1457664.1069571667,667772.7225903826,1.8915275464121086e-15,88.6990047700336,156977.5792457311,71913.23774678748,2.416110765002351,0.0,0.0,0.0,0.0,0.0,2.8577333182541755,4.716390267830093e-15,3.0429952299664356,5445.964828684131,2494.8592363801213,0.024597557386388087,1.1670479907935343,25.439686859394328,114310.77703926999,52367.08404947956,1.102926330312767,0.23416272180653092,0.0,3.2353999999999985,5647.305942557826,2587.0959204962437,0.0,0.0,3.2354,3647.024009766098,1670.7437198531259,0.0,6.430096771965225,1.7532055673486386e-14,8.933536947477546e-14,0.8497550316329212,4.030211646926617,0.018358348807447435,0.01862661208757272
17,18,MEX-CHL-USA,82274.09884988097,35895.9168043713,33.400651361888514,7890.213369730073,3442.47395775613,2.852335803797526,1823031.1317023637,795382.4441732134,7811.433174986196,558089.5456990501,243492.62017874361,123895.11212700835,54055.02703218948,1485067.36811025,647929.9735854755,3.045287040183785e-15,88.53400477003359,156685.56581623774,68361.39336205747,2.3010578714308103,0.0,0.0,0.0,0.0,0.0,3.320013345236305,4.689376263821691e-15,2.3589952299664403,4221.828850376664,1841.9699430792916,0.023426245129893462,2.8553167043381253,27.611003563732453,124067.37903846407,54130.18651504256,1.1504016010063418,0.21756435413018704,0.0,1.556600000000003,2717.004521909357,1185.420073132773,0.0,0.0,1.5566,1754.6385527606815,765.5429885237935,0.0,6.2994289578518545,1.6795232520690782e-14,8.50813042616909e-14,0.858996665735209,3.838296806596777,0.01873994342281597,0.01904771244817801
18,19,MEX-CHL-USA,88913.21598567915,36945.277732743365,36.095920467274205,9550.47296021749,3968.4187787237606,3.452524626537506,1824317.9879883863,758041.8050554633,7816.947174011919,570620.466536275,237104.58993594168,123099.76704449166,51150.49581636178,1475530.619834917,613113.4494308277,3.4322311154807768e-15,88.53400477003359,156685.56581623774,65106.088916245215,2.1914836870769623,9.017634594195466e-17,9.017634594195466e-17,5.4823123160472224e-14,2.2780140037520094e-14,3.476523875274786e-18,3.4170687375014337,3.590467689583807e-15,1.6499952299664433,2952.9510599965515,1227.0121582413951,0.022310709647517624,0.4031017605366735,27.305105324269128,122692.85482984217,50981.41538645705,1.1087496349446624,0.2508040668153418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.003691096039267,1.61392226664429e-14,8.102981358256277e-14,0.8170974657181875,3.655520768187407,0.01906285900691724,0.01937800742332564
19,20,MEX-CHL-USA,91134.84764801124,36065.15388185707,36.99783182996787,10541.258370126772,4171.533886745155,3.8106965245759463,1819041.7450156761,719856.5877335264,7794.339211547869,569030.0569151083,225184.51608442565,122072.85766613335,48308.3750085493,1474172.0931503333,583379.9557458996,7.591817664420603e-15,88.5340047700336,156685.56581623777,62005.798967852585,2.0871273210256778,4.82036438528778e-16,5.722127844707326e-16,3.4787938709812545e-13,1.3766768642086828e-13,2.058421759357659e-17,3.3356660825329634,3.5688081941727745e-15,1.4659952299664476,2623.6513231419162,1038.267919938921,0.021248294902397765,3.065478243128999e-13,27.121105324269433,121866.06859259633,48226.54155021069,1.0559520332806398,0.2636409416422943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.701264174849527,1.5388543323406836e-14,7.717125103101215e-14,0.7908324381204194,3.4814483506546727,0.019208025424839223,0.019532862663059654
20,21,MEX-CHL-USA,107888.67871504379,40662.10832876414,43.79935112058895,7939.65102397763,2992.370968619017,2.870207664120987,1818218.3864829117,685267.3874317257,7790.811235505168,584718.2104057084,220374.14394623367,126538.266395325,47690.941785380004,1474142.4559533335,555588.7879053866,66.15670214430936,88.53400477003358,156685.5658162377,59053.141874145294,1.0102635950107812,8.805267018191157e-16,1.4527394862898484e-15,8.831996345052075e-13,3.328686535222906e-13,4.891391406616896e-17,3.7608383993273997,7.716016329609705e-15,1.4659952299664554,2623.65132314193,988.8265904180251,0.02023647133561699,17.516641497194037,29.97323632891672,134681.84392666377,50760.170509902455,0.9070057498341426,0.18911784521672195,3.339069974793046e-16,3.339069974793046e-16,5.828259167727387e-13,2.1966095837745983e-13,3.8262166334476844e-18,0.0,0.0,0.0,0.0,0.0,5.427317708459267,8.747080288573865e-15,7.349642955334491e-14,0.601416459689558,3.3156650958615934,0.018139128119807574,0.018493036713924483
21,22,MEX-CHL-USA,116612.84871873037,41857.291666618774,47.34108496864561,7558.656215192142,2713.1219353891015,2.7324768977606095,1849951.8998438453,664026.1094019728,7926.784897564897,613184.7412017665,220097.9809687127,129965.76062750837,46650.21744199789,1485247.88324025,533118.387288225,1.4776851872255328,88.53400477003356,156685.56581623768,56241.08749918599,0.943529841887315,1.7007593712566794e-15,3.1534988575465277e-15,1.9171840957601602e-12,6.881585927841788e-13,9.913982804727579e-17,3.871380906245575,3.717284508257881e-15,1.4659952299664591,2623.6513231419367,941.7396099219312,0.01927282984344478,0.7574357726640908,30.57667716608675,137393.34707430023,49316.29288478445,0.877720574304707,0.17146930631659152,4.0837392168152146e-16,7.422809191608261e-16,1.2956318989380666e-12,4.650571775090775e-13,7.936258172923361e-18,1.558796150311156e-16,1.558796150311156e-16,1.7571141084613188e-13,6.307026930350853e-14,3.862598105540167e-18,5.259086786463623,8.671807480794074e-15,6.999659957461419e-14,0.5544586916762334,3.1577762817729456,0.0182244811956985,0.018571466147107838
22,23,MEX-CHL-USA,111721.31545607207,38191.91728628603,45.35527899307064,6586.107618644959,2251.460040396396,2.380897662463006,1808374.8069422282,618192.694629495,7748.6328752744785,595368.7496706583,203526.73032391764,131109.15977715835,44819.649368096856,1457121.1717992502,498116.68473716074,1.417827186931158e-13,88.53400477003356,156685.56581623768,53562.94047541522,0.8985998494164888,2.5505139965734515e-15,5.7040128541199796e-15,3.4677807793589773e-12,1.1854604123805307e-12,1.675343125657735e-16,3.532370429808591,3.923338906338815e-15,1.4659952299664631,2623.651323141944,896.8948665923178,0.01835507604137601,0.09590346330455662,30.566838648241692,137349.13864414155,46952.785339358314,0.8344391745049504,0.14229227455305204,0.0,7.422809191608261e-16,1.2956318989380666e-12,4.4291159762769285e-13,7.558341117069868e-18,3.988396493221937e-16,5.547192643533093e-16,6.252934647265582e-13,2.137564903080809e-13,1.2847147214991514e-17,4.8960861414656005,8.686864412595932e-15,6.666342816629923e-14,0.5607919999933217,3.0074059826409005,0.018275593475757045,0.018608209287684425
23,24,MEX-CHL-USA,130869.69870890016,42607.418697888126,53.128909845454736,7448.863081923231,2425.1360802831923,2.6927863507044996,1852206.4401163012,603025.2693138742,7936.445286996736,631221.5652579584,205507.62924812248,135770.22301449167,44202.88879514843,1483446.4447445835,482967.5960950886,4.55742818567187,88.53400477003355,156685.56581623768,51012.32426230021,0.8158309673882176,4.8787582764863614e-15,1.0582771130606341e-14,6.433844252746458e-12,2.0946750746597886e-12,2.892123403209843e-16,3.940760155367668,4.332884218778117e-15,1.4659952299664667,2623.6513231419503,854.1855872307809,0.017481024801310502,1.7722795925637669,31.88053991660864,143252.12847316317,46638.78252517618,0.8188896602495747,0.15326860027389802,9.82053091523529e-16,1.724334010684355e-15,3.009779843448208e-12,9.798979537922688e-13,1.5843315998996286e-17,7.464318236174224e-16,1.3011510879707317e-15,1.4666901335731405e-12,4.775122219866648e-13,2.814246974025573e-17,4.775960132965883,8.304217536170613e-15,6.348897920599927e-14,0.5282059097629364,2.8641961739437147,0.018638199929574134,0.018991412949623927
24,25,MEX-CHL-USA,129825.5093052823,40254.72437166962,52.70500236164679,8386.092904901881,2600.2583024590845,3.0315977434007437,1839228.753472997,570285.8161211355,7880.837716606305,627941.2261522249,194704.42377334533,131485.13755913335,40769.32183618726,1472518.2179983333,456580.6467078749,7.58289549258143,88.53400477003353,156685.56581623762,48583.165964095424,0.7232390690242094,1.3835994489250984e-14,2.4418765619857326e-14,1.4845500569138776e-11,4.6031133385727515e-12,6.160603998397999e-16,3.7231594571357176,4.178349182284129e-15,1.4659952299664671,2623.6513231419513,813.5100830769345,0.016648595048867128,0.018024892549777547,31.604968645507807,142013.8755692127,44033.94562888606,0.7708292919933165,0.16433632471541404,1.2203824005305493e-15,2.9447164112149043e-15,5.139925353341624e-12,1.5937259133194488e-12,2.4895659105215e-17,1.1916580736467768e-15,2.4928091616175085e-15,2.809956995791541e-12,8.712774936691964e-13,5.0327335680829e-17,4.516663663679391,8.090323709774365e-15,6.046569448190406e-14,0.5089027276714883,2.727805879946395,0.0186132422401716,0.019003686928675625
