,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Fossil_Gen_GWh_loc2,Discounted_Fossil_Gen_GWh_loc2,Annual_Emissions_loc2,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,Total_Annual_Demand_loc2,Discounted_Annual_Demand_loc2,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,RE_PV_MY_new_annual_installed_GWp_loc2,RE_PV_MY_total_capacity_GWp_loc2,RE_PV_MY_annual_generation_GWh_loc2,RE_PV_MY_discounted_annual_gen_GWh_loc2,RE_PV_MY_annual_CAPEX_BUSD_loc2,RE_WIND_MY_new_annual_installed_GWp_loc2,RE_WIND_MY_total_capacity_GWp_loc2,RE_WIND_MY_annual_generation_GWh_loc2,RE_WIND_MY_discounted_annual_gen_GWh_loc2,RE_WIND_MY_annual_CAPEX_BUSD_loc2,PP_CO2_MY_annual_OPEX_BUSD_loc2,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc2,EL_Transport_MY_annual_CAPEX_BUSD_target_loc2,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,MEX-CHL-USA,250874.1829594317,250874.1829594317,101.8468903076746,6792.973777132831,6792.973777132831,2.455680399354854,1330465.7759356033,1330465.7759356033,5700.859584675432,380826.37951620005,380826.37951620005,95662.35763519666,95662.35763519666,1469522.786940167,1469522.786940167,66.15670214430939,73.6897021443094,130414.44025154047,130414.44025154047,4.276252254371478,0.0,7.217,4387.6082548721615,4387.6082548721615,0.0,23.203353181917848,0.0,4.696999999999999,8406.091652207915,8406.091652207915,0.0,14.664510492546755,19.361510492546756,86999.07830192888,86999.07830192888,1.56878023996351,0.4293159427147958,0.0,48.4064,84492.10310250086,84492.10310250086,0.0,0.0,48.4064,54564.90790206518,54564.90790206518,0.0,10.537288945409985,0.0,1.9500790787019875e-13,0.0,8.797446589877026,0.02493742102954543,0.02508332378814737
1,2,MEX-CHL-USA,256584.68694537543,244366.36851940516,104.16517218984019,6842.994492524126,6517.137611927739,2.473763038030957,1323853.236012938,1260812.6057266076,5672.525776862395,388939.7322089083,370418.79257991264,94660.7533720725,90153.09844959286,1462910.2470175,1393247.854302381,1.4776851872255403,75.16738733153494,133029.61551962091,126694.87192344849,4.156516157295138,0.0,7.217,4387.6082548721615,4178.674528449677,0.0,22.601445424359788,0.0,4.696999999999999,8406.091652207915,8005.8015735313475,0.0,0.153994935494058,19.515505428040814,87691.03967840856,83515.27588419862,1.5096459045863166,0.4118830970738343,0.0,48.4064,84492.10310250086,80468.66962142938,0.0,0.0,48.4064,54564.90790206518,51966.57895434779,0.0,9.985635837354728,0.0,1.857218170192369e-13,0.0,8.378520561787644,0.025203853242368787,0.02537660260708653
2,3,MEX-CHL-USA,258198.8576367715,234193.97518074512,104.82047383708489,6967.970035961283,6320.154227629281,2.5189420719101068,1323496.3312688535,1200450.1870919305,5670.9964900006635,389046.3338850417,352876.4933197657,93417.19250621833,84732.14739793046,1462553.3422734167,1326578.9952593348,1.472913634101056e-13,75.16738733153508,133029.61551962112,120661.78278423683,3.9585868164715676,0.0,7.217,4387.6082548721615,3979.690027094931,0.0,21.66060076446713,0.0,4.696999999999999,8406.091652207915,7624.572927172711,0.0,0.10574198114961635,19.62124740919043,88166.18106272245,79969.32522695913,1.447861291790871,0.39943374718616975,0.0,48.4064,84492.10310250086,76636.82821088513,0.0,0.0,48.4064,54564.90790206518,49491.979956521696,0.0,9.507565481768097,0.0,1.768779209707018e-13,0.0,7.979543392178709,0.02526435765188257,0.0254811849811921
3,4,MEX-CHL-USA,264773.64152352064,228721.42664811196,107.48962570202067,7038.39246410547,6080.028043714908,2.544399990951517,1348828.9260721148,1165169.1403279256,5779.54311216936,402612.668651725,347791.960826455,97103.42841490915,83881.59241110821,1482140.5393191667,1280328.7241716157,4.557428185671876,79.72481551720696,141095.25330245603,121883.38477698392,3.9652080382348553,0.0,7.217,4387.6082548721615,3790.180978185648,0.0,21.154444750683886,1.0005901138914719e-15,4.697,8406.091652207917,7261.498025878775,3.97092090298146e-17,0.4585783241968153,20.079825733387246,90226.7584928627,77941.26637975397,1.420320248092289,0.3842577723627817,0.0,46.4064,81001.15549629586,69971.84364219489,0.0,0.0,46.4064,52310.45775076017,45187.740201498906,0.0,9.228139591397166,0.0,1.684551628292398e-13,0.0,7.599565135408293,0.0253486503714945,0.025556003116065054
4,5,MEX-CHL-USA,271427.57686124765,223304.13921051216,110.19091052320707,7256.921036937217,5970.286896457517,2.6233987256159153,1359185.9765781467,1118205.666633262,5823.92162360064,420769.9638900833,346168.4906104623,99042.39623622083,81482.42449285704,1477459.011194917,1215509.1849136248,7.582895492581438,86.98371100978841,153941.88946683554,126648.37343850393,4.0542409370946535,0.0,6.893,4190.630968662022,3447.6424688577463,0.0,20.653399835580288,3.6332078088439245e-15,4.554000000000004,8150.168487152412,6705.163784351097,1.612169320602188e-16,0.2935961636506144,20.230421897037857,90903.44781617007,74786.4914854778,1.377734429638608,0.37732213185611524,0.0,41.171400000000006,71863.60013705428,59122.36168020878,0.0,0.0,41.1714,46409.43447971933,38181.156600156784,0.0,8.85618887973544,0.0,1.604334884087998e-13,0.0,7.237681081341231,0.0256926498017881,0.02589922144215141
5,6,MEX-CHL-USA,257745.7442796033,201950.53493895728,104.63652431370203,6097.821051972621,4777.802352662772,2.204380603751262,1340848.28773128,1050589.718701887,5745.347194168254,410439.9262943583,321590.4220150153,99874.38535972167,78254.19428929628,1450221.7012216668,1136286.6500875792,8.759293760245157,95.64900477003356,169277.53885166356,132633.38108565955,4.1323693349520365,0.0,6.799,4133.483237477599,3238.6922752224573,0.0,18.67840497650417,1.4659952299662382,5.998995229966242,10736.236688152938,8412.122374566494,0.04207017051145919,2.2086174713993397e-14,20.20942189703788,90809.08634344087,71151.2953031795,1.3121280282272474,0.3019571086882878,0.0,38.07340000000001,66456.12229504273,52070.110740193915,0.0,0.0,38.0734,42917.29119534789,33626.82064550147,0.0,8.320670572118948,0.0,1.5279379848457124e-13,0.0,6.893029601277362,0.025461591716769996,0.02583153579412693
6,7,MEX-CHL-USA,276712.1455763442,206486.86346542387,112.33627631533732,7056.466653541525,5265.644062725624,2.5509338646552284,1380892.5897144068,1030443.3115463157,5916.931421963675,436501.7686079,325724.34039433347,103563.26067107334,77280.49963864742,1477246.3573465,1102343.9764773315,2.4147437723429905e-14,95.56700477003358,169132.4170260972,126209.21365524059,3.935589842811464,0.0,6.717,4083.6309613379944,3047.2682975324437,0.0,19.097970001917055,2.4894029632951546e-14,5.998995229966267,10736.23668815298,8011.545118634786,0.040066829058533225,0.5791626353074891,20.78858453234537,93411.49773474551,69705.09783255454,1.2932953810620182,0.3327887047642603,0.0,33.5412,58545.285924621574,43687.39375744625,0.0,0.0,33.5412,37808.481707475636,28213.271173572604,0.0,8.161111027446823,0.0,1.4551790331863925e-13,0.0,6.56479009645463,0.02591966314531898,0.026190349672517148
7,8,MEX-CHL-USA,287771.3088878336,204513.69657369162,116.82594272657603,7160.107579923542,5088.554778774827,2.5884003704650955,1398648.593364186,993993.4427166829,5993.013411762463,446654.4960193917,317429.01133966027,102914.88944122416,73139.69051828358,1469505.4348280001,1044350.0770570055,4.869307804103188e-15,94.35300477003359,166983.9060963703,118672.34449489173,3.7481808026775845,0.0,5.503,3345.574092637038,2377.637046204164,0.0,18.915471796100732,3.5815517819854914e-14,5.980995229966303,10704.022583460744,7607.14900735674,0.038158884817651575,0.28040872245167847,21.05099325479705,94590.60599701002,67223.77768776931,1.2514614790648046,0.3215966620185685,0.0,24.665600000000005,43053.158637805034,30597.076047018407,0.0,0.0,24.6656,27803.682826014305,19759.55829330786,0.0,7.872428066316124,0.0,1.38588479351085e-13,0.0,6.252181044242505,0.02648544519787551,0.026760733289918234
8,9,MEX-CHL-USA,293526.68939364754,198670.41718758896,119.16244303976026,8082.496190786687,5470.551565371355,2.9218466204579605,1417388.3878102172,959344.2521523366,6073.310807392491,451514.5030317167,305602.78817868675,104751.753264775,70900.10985111675,1487506.3711224168,1006802.8632441038,2.0150025190500775e-15,94.04600477003359,166440.5841396766,112653.5387847807,3.5696960025500806,0.0,5.196,3158.93203440706,2138.089542860057,0.0,18.375026885680093,4.764503227141537e-14,5.881995229966351,10526.845007653166,7124.983059154838,0.03634179506443118,0.08463301472679469,21.036626269523843,94526.0493356262,63978.95092741743,1.1974376730209326,0.3457388589314696,0.0,24.4084,42604.22277564706,28836.214963197013,0.0,0.0,24.4084,27513.76053655648,18622.396128572953,0.0,7.5980064770465106,0.0,1.319890279534143e-13,0.0,5.954458137373814,0.02654328477609149,0.02680297217552463
9,10,MEX-CHL-USA,301843.8562348794,194571.2410345662,122.53894662796156,7712.259336277494,4971.391132348423,2.788004886842326,1404531.9279548256,905373.8038722533,6018.222676816512,459173.775251575,295987.5096205521,105831.5332960325,68219.94997962323,1470073.7019531669,947622.6157763158,9.110039367271166e-16,93.59900477003359,165649.49321250364,106779.14029173931,3.399710478619125,0.0,4.749,2887.176333987515,1861.0996075813648,0.0,17.995894083287034,3.184831896453658e-14,5.450995229966383,9755.496167520883,6288.47981171251,0.03461123339469704,1.0219285672682792,21.62755483679212,97181.32980635238,62643.95168307712,1.2032248058821167,0.3141919195644206,0.0,22.815400000000004,39823.68300730479,25670.701143139846,0.0,0.0,22.8154,25718.090991042045,16578.110760926305,0.0,7.170560526668243,0.0,1.2570383614610883e-13,0.0,5.670912511784585,0.02701598937932015,0.02728181510012186
