,year,total_fossil_gen,total_curtailment
0,1,75502.62337332212,0.0002713254070840776
1,2,70369.76894519644,0.0002850159798981622
2,3,62283.78165910261,488.02753925816796
3,4,55329.64716911471,7268.275785751466
4,5,52676.03591665363,22758.61050982213
5,6,51951.978223995895,47755.959846771235
6,7,49484.740120947514,91692.44499315646
7,8,47962.10743864969,156195.1114244479
8,9,46039.709551449814,254765.08406739772
9,10,45286.96097188575,383126.0991730727
10,11,43244.89046967846,529020.6427827855
11,12,42231.14282598463,687029.6312772307
12,13,38268.04052571445,866266.8194134019
13,14,33737.05510296207,1063155.2544308866
14,15,27461.22337092112,1283303.6755651296
15,16,20794.0248382721,1522710.3615931
16,17,22416.24180685862,1773457.3956857363
17,18,22541.269360759572,2053739.3680370988
18,19,23170.029033615574,2359563.4697106355
19,20,23840.427883778146,2697665.787555403
20,21,24989.39791676038,3064900.305081833
21,22,25445.133929000902,3469849.2688761745
22,23,27518.770226294055,3854569.056484483
23,24,27629.133050786026,3856065.839898323
24,25,28110.776128549307,3855097.949444554
25,26,28749.398870896148,3855580.9484768133
26,27,30163.13966079264,3852189.4064735505
27,28,30571.012509741202,3852862.3302266337
28,29,31848.055590106775,3851266.541661321
29,30,32410.21366400372,3850143.373596624
