RE_PV_Openfield_Lim_[MX],RE_WIND_Onshore_Lim_[MX],BESSch_[MX],BESSdisch_[MX],PP_CO2_[MX],PP_CO2_Existing_[MX],EL_Demand_[MX]
8.091472960928884,7.602782733980241e-09,4.062425998430199e-06,0.124316123210171,1.1798628241265422e-06,14.833033175827639,24.6446669
0.23574507631342062,7.905912451901272e-09,3.3026537036207795e-06,0.13378923165430004,1.1996709377541806e-06,22.784164163250818,23.8957202
0.0,7.720668521713836e-09,3.2963826717372683e-06,0.13369457245593183,1.1963204460162657e-06,22.341445603879976,23.1738763
0.0,7.368398847416563e-09,3.3020307418520795e-06,0.13368758532690522,1.1923662750900893e-06,21.71183354790816,22.5122237
0.0,7.01989977925411e-09,3.3006151256930774e-06,0.13426642727970944,1.1887582133765562e-06,21.202263920249493,21.9715276
0.0,6.714536066813365e-09,3.2831994048921185e-06,0.13569826545062746,1.1860272213253673e-06,20.954913081128193,21.6978045
0.0,6.500040362230566e-09,3.2590238093361576e-06,0.13781592821497762,1.183663279542903e-06,20.806109253228293,21.5315602
0.0,6.148192071514969e-09,3.2557211866639955e-06,0.13992901098733646,1.1799680526066019e-06,20.27457880126529,20.9700946
0.0,5.683831056808019e-09,3.2217553109656943e-06,0.14364443044410344,1.1779322977507396e-06,20.222792108435538,20.8797037
0.0,5.465717438023522e-09,3.1520537933701854e-06,0.14954046569974222,1.1779164756030097e-06,20.75031181527092,21.3931379
0.0,4.184797811058609e-09,3.0679608575834404e-06,0.1576644560014955,1.1782569744523099e-06,21.498366153694917,22.0326325
0.0,4.404343657098894e-09,2.987464410221906e-06,0.16815291711080954,1.1768870886632735e-06,21.99480637444516,22.5592635
0.0,4.467429733109607e-09,2.9054102197051677e-06,0.18248096802292224,1.1727105729306957e-06,22.20014050073161,22.7843043
0.0,4.707986835298799e-09,2.8043763214727615e-06,0.2050943524129581,1.1647074717901756e-06,22.4040331443171,23.0321202
1.6155207932938818,4.8702752833375426e-09,2.732297522954127e-06,0.23748474338384148,1.137861119432158e-06,20.462102505612343,22.9332566
9.053002258998736,5.2972235436691e-09,2.744503839427135e-06,0.2848263017309636,1.0535119558518303e-06,12.291358723498437,23.1192155
18.95540063879853,4.948450553101692e-09,2.9868742541861695e-06,0.4148713197999994,8.934429777520082e-07,1.4772250536620768,23.4132785
27.04152863101978,4.854887398009144e-09,2.2692180894089122,0.45831570590857973,1.4460952685640184e-07,1.5620545907036423e-07,24.071908
32.36209313644396,5.784090349320205e-09,2.1962807903261563,0.5665618301306146,1.4237384537218333e-07,1.5362538506267212e-07,26.9259066
34.53092622177931,6.6408452475867246e-09,2.1750507861129065,0.6017031801386171,1.4199392816476598e-07,1.5317214853422254e-07,28.5218206
32.29671228365542,7.282031751594204e-09,2.1852192629968625,0.5715219164282979,1.428834592765285e-07,1.5420163458986301e-07,28.6278281
28.124228579333483,7.5145837195749e-09,2.242022554861711,0.48779400971253195,1.4629812098510005e-07,1.5811567342320865e-07,28.1410631
21.698469254531553,6.5381488841299194e-09,2.9588665209638844e-06,0.5205387260037294,9.039289598209273e-07,1.722883714656609,26.9572724
13.660592176532878,6.8865489525352325e-09,2.8533497599507467e-06,0.3510203126387798,1.0331489876418223e-06,9.418124394398355,25.5794545
8.703100741008157,7.861615483644538e-09,2.8285623877492806e-06,0.3003061397596395,1.1469819865524769e-06,19.120021272125566,29.8070156
0.7954429797552596,7.382693273888899e-09,2.7701748694862426e-06,0.28081262138155105,1.1982085979016358e-06,26.755762942383594,28.5855657
0.0,6.314075279966058e-09,2.8762446574530756e-06,0.2502666767710761,1.206243636443707e-06,26.88842284362488,27.7066029
0.0,5.500919120899889e-09,2.9838243320422266e-06,0.23052931528690218,1.2093226731837509e-06,26.428215812822895,27.1532073
0.0,4.940073727497309e-09,3.0519159932361895e-06,0.21944330385952351,1.212513548299409e-06,26.58068834013315,27.2438703
0.0,4.1175718990496175e-09,3.103299949932945e-06,0.2125265018617817,1.215158620674315e-06,26.810094258700214,27.3917379
0.0,3.4393789473623272e-09,3.0990930019101806e-06,0.21060110021662193,1.219394515241193e-06,27.896553844669537,28.4146486
0.0,2.873013490578119e-09,3.087664279044426e-06,0.2107313933897492,1.2229357086081164e-06,28.884286163418675,29.3510054
0.0,2.367588730452139e-09,3.051129972411215e-06,0.2138795151672608,1.2266045250268563e-06,30.142638518159178,30.5664663
0.0,2.0151798257271877e-09,3.002952933921357e-06,0.219654782553763,1.2297085299284669e-06,31.38326336379535,31.7806757
0.0,1.8408148688521851e-09,2.9593819179538382e-06,0.22736586535386338,1.2313145887629956e-06,32.148808429290895,32.5378832
0.0,1.728286298745857e-09,2.9144187257525185e-06,0.23802260025178326,1.2314389508620399e-06,32.469600578467336,32.8588329
0.0,1.5644545468007356e-09,2.8502786068224476e-06,0.25491827034273623,1.2305218892128359e-06,32.741973814077085,33.1327814
0.0,1.4533888192597066e-09,2.7780371557099823e-06,0.2807389164602782,1.2265521412809367e-06,32.46545550286786,32.8713385
1.7461009238677074,1.3343184959703983e-09,2.72566644407029e-06,0.3181079899515041,1.2118730775362577e-06,29.958795789871374,32.3322415
10.7383984179266,1.3248285961734588e-09,2.8032264686839617e-06,0.3629411594812709,1.147101104974981e-06,19.46091713213437,31.878147
22.356311233965524,1.159037310573795e-09,2.802259582180702e-06,0.5567721450445289,9.793795801012481e-07,6.1698292857587775,31.6820251
32.00823757002956,1.1520561738532963e-09,2.2196931772598325,0.5173071155320844,1.374306380456613e-07,1.4781657748628557e-07,32.0411547
38.067314239267255,1.4357534779061552e-09,2.1611647834226315,0.6076541188371621,1.343357124744483e-07,1.4426651481236835e-07,33.6258513
40.57940300523632,1.8531836846636843e-09,2.1364301078328007,0.6597584889064957,1.3350015901253312e-07,1.4331470026347678e-07,33.4306123
39.87067649904946,2.449263530093015e-09,2.1430385133900565,0.649403319178258,1.3350580456046262e-07,1.433208726337322e-07,32.7394695
36.245552710227024,3.0504446707004995e-09,2.1789378290894583,0.5790082247773296,1.3444736118555355e-07,1.4439409082456172e-07,32.2603483
29.80701213101725,3.223602784382202e-09,2.0460917917304897,0.7242616683750492,1.4009316412149e-07,1.508407646514217e-07,31.4865632
20.712445317753865,3.940204795693125e-09,2.786814322935837e-06,0.5871015661499707,9.70007157253176e-07,5.681737442255842,29.6481574
10.481800032898635,2.427550475665712e-08,2.831344710451763e-06,0.36030419114033796,1.1212225714388287e-06,15.338551769287802,29.5548552
1.511187613506117,2.346913073479962e-08,2.764899450036391e-06,0.3163893977976599,1.2106022930661843e-06,24.334772541940694,28.4581139
0.0,2.3084673216386484e-08,2.860202273835869e-06,0.274490752183185,1.2217233638875932e-06,25.426890560383487,27.7937272
0.0,2.2306230510625145e-08,2.971195192857574e-06,0.2479262731684035,1.225184589366277e-06,25.337989695968908,27.608138
0.0,2.0982287681509548e-08,3.050614541017215e-06,0.2326882888253768,1.2286284487234113e-06,25.676267843843675,27.811166
0.0,1.988700390684756e-08,3.089458018867155e-06,0.22446107399755538,1.2330380253306144e-06,26.563083187657114,28.5903599
0.0,1.8849145145160548e-08,3.064745299257449e-06,0.2225354251348837,1.2393945790421902e-06,28.44814468276213,30.379166
0.0,1.7630612211306642e-08,3.032778268720668e-06,0.2232790379463217,1.2447281654058682e-06,30.23558648796706,32.0565253
0.0,1.6156307904893865e-08,3.0196964051381202e-06,0.22465061782443893,1.2477920607133285e-06,31.255275773688098,32.9434857
0.0,1.5365000538383557e-08,2.9825358550015403e-06,0.229597808711322,1.2507967091487305e-06,32.46172643494987,34.0828022
0.0,1.442524115143037e-08,2.9490433410350346e-06,0.23645712913984082,1.2524526792725793e-06,33.14103709278825,34.6833435
0.0,1.450056258204152e-08,2.9102348413915416e-06,0.24659556046816075,1.2531697955455641e-06,33.42956351162491,34.9886043
0.0,1.4158196344988264e-08,2.8502785200943384e-06,0.2632139310236226,1.2535009732956145e-06,33.721383790686524,35.2654944
0.0,1.354576153967982e-08,2.7790041420173493e-06,0.28922103966374785,1.2520931565189479e-06,33.58659538646278,35.1003711
1.4580409823724538,1.2815699407542205e-08,2.7155125982790447e-06,0.3295084717298698,1.2435592998065112e-06,31.781222343547903,34.8894748
10.172245476346802,1.2796925992057425e-08,2.781407026423721e-06,0.3774388228993775,1.1961527032069062e-06,22.084184812200757,34.9291112
22.671591197798765,1.239024375893369e-08,2.793934173875371e-06,0.5733149356079673,1.0055784461776587e-06,7.877554243184193,34.7778355
32.82009142697975,1.1769006975217667e-08,2.179515246989778,0.5681131430183125,1.3939201915212913e-07,1.499676488018797e-07,34.6967896
39.87570875092642,1.1566867163401148e-08,2.1677834209183957,0.6020307953839432,1.345793621275012e-07,1.4452167673558746e-07,34.9698468
43.80013175499714,1.1372770178008354e-08,2.128896984816487,0.6661229418148131,1.3377606392623813e-07,1.436168111441452e-07,36.5931692
43.67221328210727,1.1634389151606902e-08,2.1270254340044485,0.6694130603097802,1.337521432724979e-07,1.4359100238510749e-07,36.3775629
40.58623794422664,1.1552190430174354e-08,2.1655540588818964,0.6092880715533214,1.3440354812834677e-07,1.4432700737003743e-07,35.0697449
34.24765632274083,9.953252891041898e-09,2.2411391543138137,0.49444262249532556,1.3708172367866028e-07,1.4736403003419546e-07,33.5873088
24.443578292039476,8.059582228775067e-09,2.8742392078901215e-06,0.5634905908637601,9.300427991715134e-07,3.3507742609226128,31.8184122
10.091216291296249,4.675722529832038e-09,2.7627478927987706e-06,0.37926920947969184,1.1029213241621495e-06,16.325421788370246,28.3435113
1.4534628856289853,5.127408498709482e-09,2.73182441163943e-06,0.32639460248603286,1.181029932350219e-06,24.834135409258398,27.2351237
0.0,5.096734881648244e-09,2.8220198263567194e-06,0.282287235528175,1.19438818873789e-06,25.789039879079002,26.5277409
