country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_size,technology_name,collaboration_emissions_MtCO2e/y,technology_cost_G$/y
MX,,,,,,121.11836,RE_PV_Existing_[MX],0.0,0.0
MX,,,,,,45.95221836,RE_WIND_Existing_[MX],0.0,0.0
MX,,,,,,54.73548925,RE_PV_Openfield_Lim_[MX],0.0,5.7
MX,,,,,,38.95721789,RE_WIND_Onshore_Lim_[MX],0.0,3.1
MX,,,,,,459.790366842195,BESS_[MX],0.0,12.5
MX,,,,,,0.0,PP_CO2_[MX],0.0,0.0
MX,,,,,,0.0,PP_CO2_Existing_[MX],0.0,0.0
MX,,,,,,46.2074085,EL_Demand_[MX],0.0,0.0
MX,,,,,,66.38287071,RE_PV_Existing_[MX],39.9,0.0
MX,,,,,,6.995000431,RE_WIND_Existing_[MX],39.9,0.0
MX,,,,,,54.735489240260115,RE_PV_Openfield_Lim_[MX],39.9,5.7
MX,,,,,,38.957217929100736,RE_WIND_Onshore_Lim_[MX],39.9,3.1
MX,,,,,,160.26330998238447,BESS_[MX],39.9,4.3
MX,,,,,,1.7772538338973762e-07,PP_CO2_[MX],39.9,0.0
MX,,,,,,26.001694029301536,PP_CO2_Existing_[MX],39.9,6.7
MX,,,,,,46.2074085,EL_Demand_[MX],39.9,0.0
MX,,,,,,6.695,RE_PV_Existing_[MX],79.8,0.0
MX,,,,,,6.995,RE_WIND_Existing_[MX],79.8,0.0
MX,,,,,,59.687881622570266,RE_PV_Openfield_Lim_[MX],79.8,6.3
MX,,,,,,7.692288822102235e-08,RE_WIND_Onshore_Lim_[MX],79.8,0.0
MX,,,,,,5.459126123263086,BESS_[MX],79.8,0.1
MX,,,,,,1.2641452129585508e-06,PP_CO2_[MX],79.8,0.0
MX,,,,,,44.32463817039869,PP_CO2_Existing_[MX],79.8,13.4
MX,,,,,,46.2074085,EL_Demand_[MX],79.8,0.0
