,year,total_fossil_gen,total_curtailment
0,1,1261958.0287401946,2.5494955480098724e-07
1,2,1248079.0418100443,2.691522240638733e-07
2,3,1199689.3020832585,2.812594175338745e-07
3,4,1173281.106619216,2.973247319459915e-07
4,5,1178027.3604397953,3.112945705652237e-07
5,6,1154022.3781645268,3.264285624027252e-07
6,7,1107839.9192649429,3.434251993894577e-07
7,8,1092158.5462392475,3.601890057325363e-07
8,9,1014341.8970105931,6178.49231349607
9,10,970136.2761246007,14988.953793378547
10,11,929917.707363142,40855.0958983982
11,12,891853.304479835,86236.52547321003
12,13,855053.484861481,155494.17619997542
13,14,817734.8178055589,254399.21716161864
14,15,799828.3622426915,374887.2794901377
15,16,792916.2931815467,494531.16630578646
16,17,788719.4791194808,636372.4861424067
17,18,769082.7572419839,835554.5492595236
18,19,753918.1605869728,1049377.4866696037
19,20,731500.1943342356,1326195.3609209117
20,21,729169.0702038001,1611240.740153628
21,22,724036.6521972244,1937493.6896389767
22,23,713964.9469629485,2312399.5607388457
23,24,700696.1344246686,2759697.9515624223
24,25,682964.8046438965,3244736.2823705566
25,26,676513.421829153,3778857.0433726003
26,27,670186.82422545,4350856.665107597
27,28,665275.1920890961,4983465.302940934
28,29,653135.418971465,5688248.133146528
29,30,642553.0912263488,6446531.180955985
