total_discounted_energy_GWh,total_discounted_cost_BUSD,total_discounted_demand_GWh,lcoe_USD/kWh,lcue_USD/kWh
1441501.1822347143,48.44025893319241,1441501.1822344584,0.03360403690970062,0.03360403690970658
1383069.2299929147,45.62620382845574,1383069.2299926588,0.03298909616309625,0.03298909616310235
1298739.0167246326,41.768774476613075,1298739.0167243765,0.03216102229834616,0.0321610222983525
1236048.0150677075,38.90413154309779,1236048.0150674514,0.031474611883072136,0.03147461188307865
1197033.8941839896,37.201437862192435,1197033.8941837335,0.031078015453816717,0.031078015453823365
1145913.0680774003,34.70797533036161,1145913.0680771442,0.03028848897638828,0.03028848897639505
1081323.9232055661,31.732388354873,1081323.9232053098,0.02934586729645533,0.029345867296462286
1036720.3885725136,29.79354218247936,1036720.3885722571,0.02873826203370307,0.028738262033710178
976164.0082423282,26.353088264305345,971982.1614465624,0.026996578486597218,0.02711272830880465
943645.6821585933,24.004385774388894,933983.6688986048,0.025437922546817322,0.025701076553828757
921697.161964852,21.913566789616063,896615.6771181466,0.02377523517909206,0.024440311884852895
909276.2806805881,20.015787469313636,858855.5702736274,0.02201287759791989,0.02330518443623379
901295.5512317271,18.27608787007356,814710.5756148867,0.020277574703544382,0.022432614006857643
900059.3742016044,16.64612481556008,765146.0377533488,0.018494474134360287,0.021755487180508796
916583.4481094036,15.506299153656919,727239.8972532604,0.01691749854924948,0.02132212384417197
936170.1921256621,14.640280609593432,698292.2455937101,0.01563848190503834,0.020965835868828536
964959.542273978,13.869325048326624,673429.9740938288,0.014372960150891746,0.020595051574574277
1000124.5988525972,12.880019940266546,635574.9166924849,0.012878415304496337,0.020265148296433458
1044672.2586451188,12.02481397514065,608634.2381809726,0.011510609069619747,0.019757044906115132
1095957.5096740522,11.111669320156775,571136.9717196944,0.010138777481858294,0.019455349365143565
1154851.9965544653,10.54881806346314,547592.307214055,0.009134346301461873,0.019263999739389297
1220463.7511228933,9.975778924792996,525015.1846869552,0.00817376092949482,0.01900093409820354
1292830.1322370248,9.368581850682382,502336.6404976899,0.0072465682977790975,0.01865000697818989
1372236.5910598906,8.75663783100186,473758.12536500714,0.006381288684510587,0.01848335123382909
1453087.308927476,8.128617557218629,446998.7104345428,0.005594032448895561,0.01818487921210448
1540346.8294280034,7.668412836256083,424439.8706704646,0.004978367657044935,0.01806713592703416
1630513.9825191954,7.23495200644194,406875.8563611441,0.004437221688380563,0.017781718657742567
1724067.702640112,6.839932235319068,389254.89845137345,0.003967322295316415,0.017571859114763402
1818889.7420807767,6.395351319236653,367853.8368240758,0.0035160742134487423,0.0173855773109557
1917523.1105294435,5.9921253406708646,351362.0763329123,0.0031249299201491195,0.017053990012836164
