,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Fossil_Gen_GWh_loc2,Discounted_Fossil_Gen_GWh_loc2,Annual_Emissions_loc2,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,Total_Annual_Demand_loc2,Discounted_Annual_Demand_loc2,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,RE_PV_MY_new_annual_installed_GWp_loc2,RE_PV_MY_total_capacity_GWp_loc2,RE_PV_MY_annual_generation_GWh_loc2,RE_PV_MY_discounted_annual_gen_GWh_loc2,RE_PV_MY_annual_CAPEX_BUSD_loc2,RE_WIND_MY_new_annual_installed_GWp_loc2,RE_WIND_MY_total_capacity_GWp_loc2,RE_WIND_MY_annual_generation_GWh_loc2,RE_WIND_MY_discounted_annual_gen_GWh_loc2,RE_WIND_MY_annual_CAPEX_BUSD_loc2,PP_CO2_MY_annual_OPEX_BUSD_loc2,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc2,EL_Transport_MY_annual_CAPEX_BUSD_target_loc2,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh,HVDC_MEX-CHL_annual_forward_GWh,HVDC_CHL-MEX_annual_reverse_GWh,HVDC_MEX-CHL_annual_total_GWh,HVDC_MEX-USA_annual_forward_GWh,HVDC_USA-MEX_annual_reverse_GWh,HVDC_MEX-USA_annual_total_GWh
0,1,MEX_2042low-CHL2040low-WECC_2040low,353671.72771771904,353671.72771771904,143.57940395810695,78327.6241037779,78327.6241037779,28.315671096388055,1266630.6315754137,1266630.6315754137,476.3177156345663,374452.1939849834,374452.1939849834,93298.49082726167,93298.49082726167,1441501.1822344584,1441501.1822344584,0.7035724739182599,8.23657247391826,14418.020476544643,14418.020476544643,0.04547768072150605,0.9090000000000454,8.126000000000046,6362.44579072555,6362.44579072555,0.11510441543243183,8.789096105513032,0.6563347873432628,5.353334787343262,9949.245732873907,9949.245732873907,0.03932385145586255,0.14570363014860757,4.842703630148607,5021.620990613777,5021.620990613777,0.015587085295773184,2.816504707523649,8.27747284346533,56.68387284346533,100018.3183501013,100018.3183501013,0.6395586708339089,1.5566000000000497,49.96300000000005,74852.23230894633,74852.23230894633,0.15806034819608017,48.61961679302229,0.0,0.5005461112411763,0.0,0.18806373171835267,0.03243518603794499,0.032435186037945214,0.0,0.0,0.0,0.0,0.0,0.0
1,2,MEX_2042low-CHL2040low-WECC_2040low,356801.23095523595,339810.69614784373,144.84988212843524,77733.70294158325,74032.0980396031,28.10096681449116,1258122.919994363,1198212.3047565361,473.11838218680003,379910.9161654542,361819.9201575754,94404.13441219501,89908.69944018572,1452222.6914922919,1383069.2299926588,0.8657785270762788,9.102351000994538,15933.555314739322,15174.81458546602,0.0924662930970429,1.0392225337170535,9.165222533717099,7176.129895484986,6834.409424271415,0.23399162238051094,8.444635609970065,0.8177752362786885,6.17111002362195,11469.092165649228,10922.944919665932,0.08048700731157418,0.17331505801576763,5.016018688164375,5201.339304966769,4953.656480920732,0.032367668073176786,2.6620461813080465,9.515164759892832,66.19903760335816,116807.76357267382,111245.4891168322,1.254852040802696,1.6285220274356538,51.5915220274357,77292.0079252594,73611.43611929467,0.3068170579135563,45.99337931807962,0.0,0.4767105821344536,0.0,0.17910831592224064,0.0325686351280235,0.03256863512802374,0.0,0.0,0.0,0.0,0.0,0.0
2,3,MEX_2042low-CHL2040low-WECC_2040low,369474.7062331415,335124.4500980875,149.99490754005598,76330.00900068365,69233.56825458835,27.593527243774137,1215907.5973733733,1102864.0338987513,457.2432678998544,395379.57904738747,358620.9333763151,95107.90331860584,86265.67194431368,1431859.7659386252,1298739.0167243765,1.0653805908180778,10.167731591812617,17798.491150897997,16143.756145939225,0.1408136281718242,1.188100632106973,10.353323165824072,8106.3816633544575,7352.727132294292,0.3572190824077626,8.328177709387571,1.0189256305881442,7.190035654210095,13362.779350357505,12120.434784904766,0.12341761678412158,0.20615896326242672,5.222177651426802,5415.1149675691095,4911.668904824589,0.05052413980623945,2.4895006472984873,10.937922977226334,77.13696058058449,136107.65625019447,123453.65646276141,1.8424629823276621,1.7037671809347599,53.29528920837046,79844.51231506157,72421.32636286764,0.44672394052464376,42.33343594120356,0.0,0.45401007822328915,0.0,0.17057934849737202,0.03253959129603089,0.032539591296031144,0.0,0.0,0.0,0.0,0.0,0.0
3,4,MEX_2042low-CHL2040low-WECC_2040low,366936.83944223635,316973.83819651126,148.9646148346857,73782.82583342523,63736.3790808122,26.672712887260722,1196597.050813648,1033665.5227847082,449.9815175555232,396200.1210200833,342252.56107986893,95174.48972858835,82215.30264860239,1430880.0834424584,1236048.0150674514,1.3110001782151792,11.478731770027796,20093.38110349841,17357.418078823805,0.19023842186759526,1.3583068748173586,11.711630040641431,9169.900474355594,7921.304804539979,0.485375654436441,7.8771168530214934,1.2695535333080739,8.45958918751817,15722.261911355503,13581.48097298823,0.167923822195377,0.24522692153830009,5.467404572965102,5669.401983812253,4897.4425948059625,0.07025960414429827,2.2918327189878447,12.573419596476146,87.71038017706064,154764.38512561866,133691.2947851149,2.3982146335865693,1.7824890040948957,53.077778212465354,79518.64750319601,68691.1974976318,0.5782131427380902,39.677251092091026,0.0,0.4323905506888468,0.0,0.16245652237844954,0.03271951428464051,0.03271951428464078,0.0,0.0,0.0,0.0,0.0,0.0
4,5,MEX_2042low-CHL2040low-WECC_2040low,373991.9518196713,307684.1043142898,151.82876469632814,72930.33811740504,59999.969656597845,26.364536020456267,1209502.2318828753,995060.4794363461,454.8345238017871,406474.23776424583,334407.3613477888,97150.27764382835,79925.77384429601,1455002.1798421668,1197033.8941837335,1.6132464605540364,12.767978230581832,22350.191436490968,18387.557806873443,0.2402919991039411,1.552896712885497,12.940526753526928,10132.094508091104,8335.699226631787,0.6190845740805621,7.646257676314407,1.5818290614641473,9.898418248982317,18396.345350701067,15134.718847147898,0.21365285205453804,0.2916984160936145,5.616102989058717,5823.594175727125,4791.085340554295,0.09180047936680043,2.1574789089119446,14.453464398881646,96.92884457594229,171030.3045255263,140707.0547975597,2.917072790394435,1.8648481349288741,49.70762634739423,74469.64343377,61266.359949831596,0.7016961783796597,38.19539650316413,0.0,0.41180052446556836,0.0,0.15472049750328526,0.03310807035961525,0.03310807035961554,0.0,0.0,0.0,0.0,0.0,0.0
5,6,MEX_2042low-CHL2040low-WECC_2040low,383614.3407955812,300571.8738458867,155.7351467041004,73743.52206041828,57779.97914188176,26.658504455407382,1194876.1432026674,936216.7238882033,449.3343685275064,420723.56842009997,329647.9247071313,101925.42668695917,79861.23883769507,1462507.7210146668,1145913.0680771442,1.9851745146467537,14.659152745228585,25660.669546559115,20105.80603882939,0.29031047046777986,1.77536331855409,14.621890072081019,11448.558077967398,8970.244822421302,0.759006628578462,7.469511636944124,1.9709158487965481,11.848334097778864,22020.29055658836,17253.473844325283,0.26003895829839163,0.3469764470302425,5.942079436088959,6161.61406995768,4827.785851492059,0.11539941166007987,2.077652489983784,16.61462353394193,110.44546810988422,194880.29726278377,152693.81223454265,3.3930358643887084,1.951012633659174,48.56063898105341,72751.28054922004,57002.53195440173,0.8175649111639909,35.936678946448694,0.0,0.39219097568149364,0.0,0.14735285476503357,0.033212038569431494,0.033212038569431786,0.0,0.0,0.0,0.0,0.0,0.0
6,7,MEX_2042low-CHL2040low-WECC_2040low,386428.8369626694,288359.14784592896,156.87774208406105,67896.85564393873,50665.679064721575,24.54491700585078,1159474.9601236335,865218.0672588949,436.0217182294528,429195.7010480417,320272.4402922998,101004.15841602876,75370.85813436566,1449077.4755909585,1081323.9232053098,2.4428492173784435,17.02000196260703,29793.307542033956,22232.22480459589,0.34680436522826347,2.0297002928228873,16.569590364903906,12973.556543345912,9681.067641780583,0.9039330818341897,7.166013183119184,2.455707369190597,14.30404146696946,26584.25620317401,19837.581286941215,0.313178410877677,0.4127298886501088,6.354809324739068,6589.592577540949,4917.255438923495,0.1410103363944003,1.8218364878092579,19.09893071698273,125.01219882686695,220583.19717215968,164602.57796919852,3.8886260454646506,2.041158325657915,46.06959730671133,69019.31829516964,51503.277977219645,0.9246518523477105,33.211395511732704,0.0,0.3735152149347558,0.0,0.14033605215717482,0.03333157611958045,0.033332696772716344,0.0,0.0,0.0,0.0,0.0,0.0
7,8,MEX_2042low-CHL2040low-WECC_2040low,389515.74736903637,276821.5694468551,158.13092892791298,68362.78713375804,48584.156491621514,24.71335263721494,1156186.9368188495,821680.4701374905,434.7852537776653,436285.8940402417,310060.23949352815,102635.89407014583,72941.41371686547,1458769.6969363752,1036720.3885722571,3.0060391440741148,18.812041106681143,32930.250385170104,23402.91414525063,0.4106941401206526,2.3204733564285362,17.67606372133244,13839.896286043264,9835.755901428154,1.054361816767865,6.879292822323797,0.4909567258133894,14.776998192782852,27463.25273020948,19517.62098000496,0.31043734656959554,0.4909438736926248,6.827753198431692,7080.009721537057,5031.630726236146,0.1688769479859898,1.7469890991257264,21.954704768779223,138.09130359564617,243661.1909449316,173165.45928183346,4.405401849292801,2.135469160232228,39.32946646694355,58921.569172599135,41874.45915293671,1.0233968303854262,31.540204846227574,0.0,0.35572877612833886,0.0,0.13365338300683316,0.03382531380865674,0.033829888136150746,0.0,0.0,0.0,0.0,0.0,0.0
8,9,MEX_2042low-CHL2040low-WECC_2040low,389778.3742149787,263817.346136245,158.2375470233065,67297.89181883939,45549.86216453885,24.328389786185905,1086460.7547609662,735359.4041216181,408.5646532886161,444323.0794083416,300735.3496013636,102670.88225200833,69491.69444237177,1436060.3356950835,971982.1614465624,3.6990704425888215,22.204111549269967,38868.0286605383,26307.411721911467,0.48301712837970756,2.6529023112106245,20.021966032543066,15676.676532833231,10610.591743212934,1.2108057413721496,6.556124868831825,0.6117186841181647,15.289716876901014,28416.147399189995,19233.167076980888,0.30973843969829207,0.5839797255891231,7.312732924020816,7582.907391111299,5132.410200922387,0.19926619753632205,1.637881943712488,25.237489398066444,163.0715929937126,287738.74620289943,194752.90941090474,4.944940238124255,2.2341375859871455,41.306404052930695,61883.32470062181,41885.07001058295,1.1142186156689462,28.226770727208304,0.0,0.33878931059841794,0.0,0.12728893619698395,0.03362671105442178,0.03363770860954214,0.0,0.0,0.0,0.0,0.0,0.0
9,10,MEX_2042low-CHL2040low-WECC_2040low,401842.95924004435,259031.55444547744,163.13538247676232,70243.8653916862,45279.82194108367,25.393368070690748,1052304.177892468,678324.6556427238,395.72003840064065,465597.93798560835,300128.5821981441,106561.09726338251,68690.23341792828,1448915.2188255417,933983.6688986048,4.551877564937292,26.30898911420726,46053.56718064311,29686.54002827787,0.5649409097182423,3.032954743190313,22.607920775733376,17701.411564929942,11410.48772439467,1.373793146375938,6.437193159524559,0.6413766922889382,15.500093569189954,28807.135351783672,18569.336298452665,0.30869279191306703,0.6946462481221722,7.576379172142988,7856.294249936323,5064.237321939564,0.23247045572179292,1.628171837357487,29.01113350534626,190.4897264990589,336117.8612481313,216664.57026060185,5.508830909089178,2.3373649435319743,42.050768996462665,62998.49748199784,40609.39318522025,1.1975159238323942,26.037491906845958,0.0,0.32265648628420757,0.0,0.12122755828284186,0.033521097833839,0.03356839244994008,0.0,0.0,0.0,0.0,0.0,0.0
10,11,MEX_2042low-CHL2040low-WECC_2040low,401038.70747561665,246202.97770213656,162.80888199646122,68826.90166604302,42253.747132930366,24.88113143297954,1002220.1647499112,615276.2421057735,376.8858951743686,467086.6593182209,286750.69070753315,106746.2510468,65532.938283419644,1460492.4587421669,896615.6771181466,5.6012962412466765,31.208285355453935,54629.72598342593,33537.91281852516,0.6577778039718555,3.4674531494689065,25.373373925202284,19866.689161568764,12196.423780261615,1.5438679303061615,6.118390198875797,0.799137857987533,16.121231427177484,29961.528534462952,18393.779463646442,0.3098278181590587,0.8262845247639928,8.224663696906982,8528.530138413573,5235.777685193897,0.26880982652462077,1.519360239405909,33.34903301948515,222.71355951854403,392976.6012693669,241253.54385066664,6.098669105715476,2.4453618763314906,43.37093087279416,64976.302326634475,39889.813164392166,1.273668371278471,23.617378553230097,0.002558142477947667,0.3072918916992453,0.030029023900905075,0.11545481741223035,0.033377245548390826,0.033519983170925687,1.224612113477955e-07,487.1143027370309,487.1143028594921,9151.228623271392,295.20092334337585,9446.429546614769
