fast_slow_2055,linear_red_2055,scenario_2055,slow_fast_2055
143.99999999999997,135.26668153476726,135.26668153476726,128.95722544215087
99.44103937433114,103.94604426547838,103.94604426547838,103.42005217338581
102.7630912017602,109.02007286714557,109.02007286714557,108.44378416598326
108.26527167486573,111.6025567061779,111.6025567061779,106.11642704509616
103.83207566740683,106.88182762519399,106.88182762519399,101.95401686045601
114.50653983000005,118.14964320738214,118.14964320738214,112.04562995706688
106.31568414674145,105.65184615490516,105.65184615490516,114.85930171857912
104.26730082999995,106.31882937271638,106.31882937271638,117.52914681067159
97.71379227176132,108.57887542231562,108.57887542231562,114.39392215929162
72.73734648324596,114.06218526214424,114.06218526214424,115.4116851929508
90.57788346999997,111.72413793000004,111.72413793000004,112.49232457709947
86.45992865999999,108.4965517199999,108.4965517199999,121.30084079724071
82.56456599000003,105.26896551999991,105.26896551999991,121.37459936710994
78.89179548000001,102.04137930999985,102.04137930999985,125.19096313999974
53.64769590061806,90.41329134862373,90.41329134862373,122.18596907999967
72.21403092,95.58620690000005,95.58620690000005,118.95838287999997
55.95282090170806,87.0597039833339,87.0597039833339,115.50820451999995
66.42663496000002,89.13103447999997,89.13103447999997,111.83543400999993
45.39831910857678,70.2526347652762,70.2526347652762,99.6278802406648
28.029111952879532,47.28302186784445,47.28302186784445,70.59777384803394
59.414982160000015,79.4482758600001,79.4482758600001,99.48156956000007
33.51619048528059,52.783812509647866,52.783812509647866,75.16238842671828
54.87228286103264,72.99310345000002,72.99310345000002,90.13269917000001
49.902550730960535,61.663692580095564,61.663692580095564,81.40174939057871
26.386818992864967,37.2741728495963,37.2741728495963,49.7478956090338
52.18073722000001,63.3103448300001,63.3103448300001,74.43995244000007
26.588792153196255,41.251085224467936,41.251085224467936,51.33125420646163
40.7604819128169,55.59413053681968,55.59413053681968,62.865160520000046
40.26833145620129,50.287707500039005,50.287707500039005,56.743876339999986
34.55261962006941,37.75658065039138,37.75658065039138,46.370277533356
