fast_slow_2055,linear_red_2055
110.31875426336867,115.73658264296746
108.30231962030523,108.30715896195005
109.38152419490476,109.38656383477165
113.63135006123079,113.6366217319537
102.86034099925082,105.79219735845115
104.91877487014506,108.71888588972598
103.29182336462348,102.93988091430593
104.26730083417284,105.96831581679572
99.48156956608433,112.52817394899289
94.72376941390503,110.62545539821573
90.57788347516082,111.72413793000398
78.55049699581367,108.49655172000247
78.31898805561586,105.26896552000363
78.89179548573821,102.04137931000429
69.09569735484125,98.81379310000351
70.53662153197018,95.58620690000383
40.991491443442754,70.3537185632324
48.242443155095735,74.83697846177473
63.866825215771506,85.90344828000453
43.222473283489556,68.47929814618782
59.41498216530742,79.44827586000417
33.19835860282074,58.71081223969489
37.967614408424474,60.53409352235865
54.40665874586309,69.76551724000463
33.293362300571495,48.946124326081566
47.71869966591537,63.31034483000401
16.8401634444566,25.610274328766558
26.419401409569538,34.91308241810942
50.51129608587501,53.627586210004594
26.435712596458508,30.347074723744413
