RE_PV_MY_y1,RE_PV_MY_y2,RE_PV_MY_y3,RE_PV_MY_y4,RE_PV_MY_y5,RE_PV_MY_y6,RE_PV_MY_y7,RE_PV_MY_y8,RE_PV_MY_y9,RE_PV_MY_y10,RE_PV_MY_y11,RE_PV_MY_y12,RE_PV_MY_y13,RE_PV_MY_y14,RE_PV_MY_y15,RE_PV_MY_y16,RE_PV_MY_y17,RE_PV_MY_y18,RE_PV_MY_y19,RE_PV_MY_y20,RE_PV_MY_y21,RE_PV_MY_y22,RE_PV_MY_y23,RE_PV_MY_y24,RE_PV_MY_y25,RE_PV_MY_y26,RE_PV_MY_y27,RE_PV_MY_y28,RE_PV_MY_y29,RE_PV_MY_y30,RE_WIND_MY_y1,RE_WIND_MY_y2,RE_WIND_MY_y3,RE_WIND_MY_y4,RE_WIND_MY_y5,RE_WIND_MY_y6,RE_WIND_MY_y7,RE_WIND_MY_y8,RE_WIND_MY_y9,RE_WIND_MY_y10,RE_WIND_MY_y11,RE_WIND_MY_y12,RE_WIND_MY_y13,RE_WIND_MY_y14,RE_WIND_MY_y15,RE_WIND_MY_y16,RE_WIND_MY_y17,RE_WIND_MY_y18,RE_WIND_MY_y19,RE_WIND_MY_y20,RE_WIND_MY_y21,RE_WIND_MY_y22,RE_WIND_MY_y23,RE_WIND_MY_y24,RE_WIND_MY_y25,RE_WIND_MY_y26,RE_WIND_MY_y27,RE_WIND_MY_y28,RE_WIND_MY_y29,RE_WIND_MY_y30,PP_CO2_MY_y1,PP_CO2_MY_y2,PP_CO2_MY_y3,PP_CO2_MY_y4,PP_CO2_MY_y5,PP_CO2_MY_y6,PP_CO2_MY_y7,PP_CO2_MY_y8,PP_CO2_MY_y9,PP_CO2_MY_y10,PP_CO2_MY_y11,PP_CO2_MY_y12,PP_CO2_MY_y13,PP_CO2_MY_y14,PP_CO2_MY_y15,PP_CO2_MY_y16,PP_CO2_MY_y17,PP_CO2_MY_y18,PP_CO2_MY_y19,PP_CO2_MY_y20,PP_CO2_MY_y21,PP_CO2_MY_y22,PP_CO2_MY_y23,PP_CO2_MY_y24,PP_CO2_MY_y25,PP_CO2_MY_y26,PP_CO2_MY_y27,PP_CO2_MY_y28,PP_CO2_MY_y29,PP_CO2_MY_y30,EL_Demand_MY_y1,EL_Demand_MY_y2,EL_Demand_MY_y3,EL_Demand_MY_y4,EL_Demand_MY_y5,EL_Demand_MY_y6,EL_Demand_MY_y7,EL_Demand_MY_y8,EL_Demand_MY_y9,EL_Demand_MY_y10,EL_Demand_MY_y11,EL_Demand_MY_y12,EL_Demand_MY_y13,EL_Demand_MY_y14,EL_Demand_MY_y15,EL_Demand_MY_y16,EL_Demand_MY_y17,EL_Demand_MY_y18,EL_Demand_MY_y19,EL_Demand_MY_y20,EL_Demand_MY_y21,EL_Demand_MY_y22,EL_Demand_MY_y23,EL_Demand_MY_y24,EL_Demand_MY_y25,EL_Demand_MY_y26,EL_Demand_MY_y27,EL_Demand_MY_y28,EL_Demand_MY_y29,EL_Demand_MY_y30,EL_Demand_MY_y31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6975451066800056,5.622746367480009,7.932987880440011,9.384671515557587,9.38494229334929,9.375583676109363,9.633783593194735,9.849018848690758,9.81651817134975,9.915091155414938,9.835765733095064,10.262066356823329,10.678473171350216,10.779628181925023,10.892080194421498,10.94613896842958,11.472006157069615,11.932418671753796,12.120766873585831,12.33371470030093,12.294275313657542,12.660472643051145,13.100534856622843,13.66274486745896,14.116389654325449,14.16671363784313,14.331086407586684,14.564611588661519,15.66702460994529,15.96385241166939,6.477568923320189,4.590365482520196,2.767926339560202,1.433088584442638,0.6379298766509466,1.719646683890886,1.3817089468055255,1.254645971309516,1.853299828650536,1.2605684845853649,1.1771109669052549,1.9488720231770087,1.3674879986501378,1.9075148080753508,1.9836076655788948,1.391652521570829,1.792879572930819,1.2456685582466571,1.1606791864146488,1.6496982396995683,1.0679859363429889,0.49177583694941046,1.464624413377741,0.7784369625416502,0.9451974056751978,1.0663711821575472,0.22834573241402722,7.476030237234713e-13,7.854208132093205e-13,8.2512720487583e-13,10.17511403,10.21311185,10.70091422,10.8177601,10.02287217,11.09523036,11.01549254,11.10366482,11.669818,11.17565964,11.0128767,12.21093838,12.04596117,12.68714299,12.87568786,12.33779149,13.26488573,13.17808723,13.28144606,13.98341294,13.36226125,13.15224848,14.56515927,14.44118183,15.06158706,15.23308482,14.55943214,14.29512801,15.42469613,15.48330683,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6621520129900054,5.56892514739001,7.857052908670012,9.294840952679547,9.295109138572172,9.285840102502247,9.541568516578867,9.754743529037043,9.72255394986656,9.820183388211635,9.74161727295176,10.16383732498167,10.576258271865433,10.676445021428353,10.787820637424154,10.841361958041396,11.362195518655525,11.81820094085047,12.004746263917959,12.215655742982236,12.176593872194982,12.539285941743387,12.975135856964423,13.531964364394122,13.981266839813337,14.031109119548617,14.193908504608068,14.42519837052804,15.517059037149014,15.811045587747541,6.070618304010187,4.131880484610194,2.319633971330203,0.9869152973206798,0.2683126404280679,1.341720887498004,0.9950464534213975,0.7919434909632344,1.369042000133728,0.8367631717886673,0.7664270370485581,1.5324040450186698,0.8654579881349204,1.389167228572018,1.4498961125762393,0.9237766319590153,1.3435688113449091,0.7869940291499836,0.6104809660825248,1.0827234470182685,0.5654641878055444,0.01006092825716846,0.9760948430361632,0.28141457560648986,0.3424677801873062,0.44719910045206296,7.115860889568313e-13,7.47601190098352e-13,7.854184375193312e-13,8.251261352968348e-13,9.732770317,9.700805632,10.17668688,10.28175625,9.563421779,10.62756099,10.53661497,10.54668702,11.09159595,10.65694656,10.50804431,11.69624137,11.44171626,12.06561225,12.23771675,11.76513859,12.70576433,12.60519497,12.61522723,13.29837919,12.74205806,12.54934687,13.9512307,13.81337894,14.32373462,14.47830822,13.88366282,13.63983659,14.75413683,14.7066391,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7547509304000055,5.70973755440001,8.055721503200012,9.529864569029524,9.530139536105246,9.52063612890532,9.782830733956668,10.001395958318247,9.968392453299657,10.068490489416217,9.987937799816343,10.42083384770554,10.843683016318817,10.946403026247623,11.060594817385935,11.115489950818231,11.649492987656338,12.117028681745667,12.308290874812727,12.52453328090013,12.484483715736978,12.856346593289597,13.303217140685252,13.8741252703666,14.334788531101628,14.385891091985359,14.552806921899652,14.789945040736523,15.909413822840698,16.21083393606086,5.643240126600189,3.7281901836001965,1.7463406508002022,0.3912161839707002,2.3750140239707546e-13,0.7629366410949294,0.3913550360435949,0.2594910016820309,0.734119496700633,0.2179467205840896,0.13241755018397652,0.8968287322947979,0.28797917368153814,0.6750492737527499,0.7478329626144594,0.2406108591821801,0.6450167523441005,0.05458389825479042,4.788108116169364e-13,0.2843052891003756,5.287782929344907e-13,5.556527225257824e-13,0.19644626931533465,6.135035529100343e-13,6.446158843153927e-13,6.772841844975332e-13,7.115845173518927e-13,7.476006851592003e-13,7.854178428880182e-13,8.251257877294203e-13,9.397991057,9.437927738,9.802062154,9.921080753,9.210584187,10.28357277,10.17418577,10.26088696,10.70251195,10.28643721,10.12035535,11.31766258,11.13166219,11.6214523,11.80842778,11.35610081,12.29450974,12.17161258,12.2733727,12.80883857,12.29905579,12.08634509,13.49966341,13.3382385,13.79644856,13.97042116,13.40097045,13.13660174,14.24663703,14.30811031,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.842554928540006,5.84325847094001,8.244102721820013,9.752718288598183,9.75299968571655,9.743274043496626,10.011600009866205,10.235276332382906,10.201501047891595,10.303939853859447,10.221503457899578,10.66452268159677,11.097260082026922,11.202382176069406,11.319244316320766,11.375423159986612,11.921913736616949,12.400382646777107,12.596117462810538,12.817416648475024,12.7764305333222,13.156989339849657,13.61430985355191,14.198568540243791,14.67000430675577,14.722301889424955,14.89312100813017,15.135804548043227,16.281451853485883,16.589920607628212,5.345141575460188,3.421047588060195,1.3663197201802022,2.2577737728920609e-13,2.3750125958151164e-13,0.2993781465036233,2.6274269783789997e-13,2.763159370604178e-13,0.2821511521086949,3.055341940062906e-13,3.2124792581842356e-13,0.3879929584035668,3.5507246021512604e-13,0.19185959393096527,0.24770842367962492,4.12418425630398e-13,0.08456376338348645,4.555870126611018e-13,4.788034309930176e-13,5.031814795863729e-13,5.287767581338738e-13,5.556524909784608e-13,5.83873037716562e-13,6.135030384780758e-13,6.446153289498698e-13,6.772832851579516e-13,7.115843057580477e-13,7.476005584373432e-13,7.854176972237479e-13,8.251256668731152e-13,9.187696504,9.264306059,9.610422442,9.718200788,9.016396591,10.04265219,9.94652266,10.07212599,10.4836522,10.05727032,9.906986963,11.05251564,10.92688229,11.39424177,11.56695274,11.10310337,12.0064775,11.89925397,12.0475897,12.55841349,12.02505068,11.83152756,13.18339718,13.03977483,13.52671476,13.68473469,13.10241628,12.85964155,13.92784654,14.04489595,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.866157487410006,5.87915017701001,8.294741404530013,9.812623510990573,9.812906636566222,9.8031212554363,10.073095390676686,10.29814562551688,10.264162879283218,10.367230906691855,10.284288152351987,10.730028583033155,11.165424035243658,11.271191832590146,11.38877178835651,11.445295705675049,11.995143053059923,12.476550916814638,12.673488016902365,12.896146513534337,12.854908644740059,13.237805000580824,13.697934565694926,14.285782010466887,14.76011353010132,14.812732346115679,14.984600706375105,15.22877490878853,16.38145925299155,16.69182274958118,5.268361083590187,3.401050824990195,1.3082627264702034,2.2577558426482988e-13,2.375012442731452e-13,0.2008805745639499,2.6274164860380323e-13,2.763157927048048e-13,0.06952986071707165,3.0553392693034214e-13,3.212477970161705e-13,0.2799501069671845,3.5507222732904267e-13,0.11425468741022882,0.01272583164388403,4.124179737774362e-13,4.3348137123765337e-13,4.555868844518681e-13,4.788033803088119e-13,5.031811357650411e-13,5.287766045058853e-13,5.556524564934132e-13,5.838727532699983e-13,6.135029838451877e-13,6.446152888839148e-13,6.77283154929581e-13,7.115842412734578e-13,7.476005338609336e-13,7.854176725750611e-13,8.251256562438209e-13,9.134518571,9.280201002,9.603004131,9.579190441,8.956744193,10.00400183,9.888952679,10.08940692,10.33369274,9.851431795,9.841442426,11.00997869,10.94562975,11.38544652,11.40149762,10.87586015,11.96026912,11.83038167,12.06825998,12.54871962,11.7789383,11.75325028,13.13265928,12.96430126,13.51627345,13.48898655,12.83425385,12.77456228,13.84723285,14.06899304,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.839499226410006,5.83861175601001,8.237546791530011,9.744962666986527,9.745243840330401,9.73552593220048,10.003638518607449,10.227136967748791,10.193388542264229,10.295745886162337,10.213375045822467,10.656041968821123,11.088435244932738,11.193473743083256,11.310242951444893,11.366377120196406,11.912433112949586,12.390521531875367,12.586100694364376,12.807223897016108,12.76627037511483,13.146526551132816,13.60348339136942,14.187277459976043,14.658338328196994,14.710594322434074,14.881277601221687,15.123768152713337,16.268504408873273,16.57672786043786,5.397749442590188,3.538181587990194,1.385239502470204,2.2577569586049308e-13,2.375012753749186e-13,0.2517274037997708,2.630162328805892e-13,2.7631852700398467e-13,0.13354926773606088,3.0553390420507437e-13,3.212481343136552e-13,0.3355040511792145,3.5507756166672736e-13,0.2154267669171154,0.0838017285555,4.1241793580002216e-13,0.02781237705084921,4.555871116236292e-13,4.788036436605375e-13,5.03181632706021e-13,5.287765859647347e-13,5.556525235845346e-13,5.838728862548513e-13,6.135030720984882e-13,6.446153418793546e-13,6.772831907478566e-13,7.115842328709507e-13,7.476005794775624e-13,7.854177106841948e-13,8.251256945786531e-13,9.237248669,9.376793344,9.622786294,9.572928714,9.101432989,9.987253336,10.00016742,10.19442183,10.32693781,9.72792868,10.00042279,10.99154602,11.05955659,11.40890051,11.39404468,10.73951423,11.94024549,11.96343042,12.19387164,12.57456995,11.63127087,11.94311432,13.11067286,13.11010248,13.54411694,13.48016906,12.67335639,12.98092477,14.00296384,14.2154292,
6.106099999999999e-05,6.106099999999999e-05,6.106099999999999e-05,6.106099999999999e-05,5.9201999999999986e-05,8.086994213852819e-05,8.086994213853165e-05,8.499225997094817e-05,9.632774431926361e-05,9.072474431929134e-05,8.841074431929304e-05,9.571287366507404e-05,9.22938736651116e-05,0.00010015208979716637,0.00010691495582091742,0.0001089562238197654,0.00010862071346082825,0.00010152020772393367,0.00011182429107816966,0.00011889536679111025,0.00012466778481850426,0.0001246677848185171,0.00013711780965617606,0.00013711780965619048,0.0001371178096562011,0.0001599527833144448,0.00016883794796641912,0.0001644816301343788,0.0001577811765440031,0.00015826459858507764,3.767906238750006,5.72974243875001,8.083945878750013,9.563253816216147,9.56352974667845,9.553993042928527,9.817106284379756,10.036437283349121,10.003318145817696,10.103766889758756,10.022931972258885,10.45734473353308,10.881675414849001,10.984755319063574,11.099347197518279,11.154434663923015,11.690308656981562,12.159482429423994,12.351414737013197,12.568414779381449,12.528224894823278,12.901390647295912,13.349826869739658,13.92273525792675,14.385012518459055,14.436294124493411,14.603794767955053,14.841763734199027,15.965154735723281,16.267630917536493,5.671115796250187,3.8475106562501953,1.7440193042502028,0.049688891784080896,2.3750184578051767e-13,0.6741000071295864,0.4014845056783689,0.3759051843911859,0.366754896438273,3.0553400823481796e-13,0.3581185469971152,0.7992525135935923,0.41429525127769035,0.667380188847002,0.3422893475262916,4.1241810985672324e-13,0.5378604523054138,0.06524813036873855,0.10310853869620414,0.2742334452522653,5.287766686306475e-13,5.556530140334143e-13,0.07697510245126976,6.135035702709252e-13,6.446158580640061e-13,6.772833773287214e-13,7.115842749072465e-13,7.476007813395395e-13,7.854178448017709e-13,8.251258299915216e-13,9.439083096,9.577314156,9.828026244,9.613003769,9.447924581,10.22817392,10.21867166,10.41242746,10.37016937,9.715578368,10.38113893,11.25669296,11.29606296,11.65223566,11.44174346,10.72587963,12.22827773,12.22483208,12.4546351,12.84276712,11.61650413,12.39778874,13.42693909,13.39655899,13.83299313,13.53660096,12.65726664,13.47510863,14.30892942,14.51942325,
0.010429566377999999,0.010429566377999999,0.010429566377999999,0.010429566377999999,0.010112038596,0.013813046453854328,0.013813046453854918,0.014517161805133169,0.016453327056890198,0.015496302762894933,0.015101058390895223,0.016348303649121664,0.01576431898712808,0.01710654703386717,0.01826168304703814,0.018610343240766908,0.01855303616163224,0.017340229363507223,0.01910022545442367,0.020308005436932598,0.021293967294391036,0.02129396729439323,0.023420502406037533,0.023420502406039993,0.023420502406041807,0.02732084589056604,0.028838482590214348,0.028094398707000357,0.026949923092720672,0.02703249432912321,3.6201340966800055,5.50502975748001,7.766904550440011,9.18819604884182,9.18846115768785,9.179298470447922,9.43209276953897,9.64282190596549,9.611001655823088,9.707510937070582,9.629846254750706,10.047221940203894,10.45491095111963,10.553948202124442,10.664045943445656,10.716972954574695,11.231830700726809,11.682604117915208,11.86700910225703,12.075498699020173,12.036885006902681,12.395415707679247,12.826264873287345,13.37670457611767,13.820851953184036,13.870122364594028,14.031053861342869,14.259690009395559,15.339023148500054,15.629636627135564,5.9124581199421895,4.181678244142196,2.263350383182203,0.256582625780403,0.5971121767163866,1.2450627030984736,0.8852889940074363,0.8853600422296509,0.5724901371203108,3.0553414484699697e-13,1.118302316858721,1.4242401061473242,0.966714659893599,1.3333113108420636,0.5716219035076985,4.1241833648764743e-13,1.2289595231119939,0.6595017627217391,0.7243478422890216,1.0248514655433996,5.28776752491732e-13,0.4374189450269119,0.852929624307202,0.1439504314769057,0.28803818441056916,6.772837538360731e-13,7.115843150394213e-13,7.476026092605594e-13,7.85418270343597e-13,8.251262644969709e-13,9.543021783,9.697137568,10.0406845,9.455208241,9.795685373,10.43817422,10.33119481,10.54269911,10.19994512,9.449360543,10.76324963,11.48781035,11.43738993,11.90436606,11.25392953,10.43197841,12.47934326,12.35944611,12.61045717,13.12065817,11.29819879,12.85412862,13.702615,13.54407551,14.13231064,13.31440037,12.31044324,13.97110269,14.46649254,14.70107823,
0.09518208407399999,0.09518208407399999,0.09518208407399999,0.09518208407399999,0.092284268868,0.12606032707765852,0.1260603270776639,0.1324862094330924,0.15015599905758054,0.14142202455562375,0.13781495387962642,0.14919753669532465,0.1438679884493832,0.15611740114411307,0.16665937855119567,0.16984131370266575,0.16931831907119796,0.15825002778843122,0.17431206621112974,0.1853344818774754,0.19433254574792772,0.19433254574794773,0.2137396846880477,0.21373968468807014,0.2137396846880867,0.24933491540108726,0.2631851387665014,0.25639449645565937,0.2459498077513624,0.2467033675908145,3.4306419835700055,5.21687476277001,7.360354097810011,8.70724958706276,8.707500819064975,8.698817743055045,8.938379790346124,9.138078531685366,9.107923879081104,9.199381483470804,9.12578207729092,9.521310671314597,9.90765962959499,10.001512879822949,10.105847670630608,10.156004273009144,10.643912331756338,11.071090488361662,11.245842987680073,11.44341941570498,11.406826916703245,11.74659070490404,12.15488752392983,12.676515039243505,13.097413988830416,13.144105392357678,13.296613099111319,13.513281528380451,14.536118109120954,14.811519730766031,6.598529212356189,4.989088533156196,3.291124288116204,1.0372466268634686,1.7942270620672633,2.2729289798675487,1.896099252576478,1.9288098688818196,1.3566179718616067,0.2828336529738787,2.376833738829775,2.5432659719904196,2.0982656119559846,2.583750069033314,1.4390326008185916,0.29853207328860587,2.4547356391729016,1.8830049838503675,1.9757725261092818,2.4144379324180534,5.287802162792978e-13,1.9607885393485711,2.199914591382707,1.4788841560690384,1.8148214564821423,0.46235356224191143,7.115845965997616e-13,1.3400407651646375,0.5656787831284684,0.5585445316439777,10.12435328,10.30114538,10.74666047,9.839678298,10.59401215,11.09780705,10.96053937,11.19937461,10.61469785,9.623637161,11.64043077,12.21377418,12.14979323,12.74138035,11.71153965,10.62437766,13.26796629,13.1123455,13.39592758,14.04319183,11.50657394,13.90171179,14.5685418,14.36913888,15.12597513,13.85579387,12.53748743,15.10971679,15.3477467,15.61676763,
0.7719487137669998,0.7719487137669998,0.7719487137669998,0.7719487137669998,0.7484467622939999,1.0223784054674596,1.0223784054675034,1.0744937974275548,1.2177998776196262,1.1469653245789766,1.117711147220998,1.2100265262065355,1.1668026574140107,1.2661482271826479,1.351646101904863,1.3774523318415564,1.3732107244319651,1.283444322461952,1.4137111685969717,1.5031055087085579,1.5760818876013412,1.5760818876015035,1.7334782725247448,1.7334782725249271,1.7334782725250615,2.022163825404715,2.134492339918064,2.0794186603647686,1.9947098195212516,2.000821364088391,3.291112247240005,5.004696061640009,7.0609966389200105,8.353111718739322,8.353352732731267,8.345022811411333,8.574841484298062,8.766418156106894,8.737489941804021,8.825227818082483,8.754621818322597,9.13406362721993,9.504699150948307,9.594735238289337,9.694826565068643,9.742943217624783,10.211007269589482,10.620811402369954,10.788456436010023,10.97799711240612,10.942892889290302,11.268837936856203,11.660528666474853,12.160940750384505,12.56472106161198,12.609513450536658,12.755818423162536,12.963674598354517,13.944910767538554,14.20911136155177,6.555605378993192,4.9964581245931985,3.424342227313209,1.2568834474939088,2.1471198449749784,2.2070936231214646,1.8984586302347042,1.8715734664658326,1.2443850205766493,0.05077075733885133,2.4876931444567303,2.3943063165738767,2.0349466416380437,2.485903014528395,1.310491023026894,4.124218461985442e-13,2.2536516559789903,1.8482890451685539,1.807508105393488,2.22935084888583,5.287769625868979e-13,1.9161765755428535,1.8003022710009882,1.1762810070911827,1.5464858458636057,6.77329338300902e-13,7.115843074718004e-13,1.0006853312814645,0.15746698294098269,0.12233310436066716,10.61866634,10.7731029,11.25728758,10.38194388,11.24891934,11.57449484,11.49567852,11.71248542,11.19967484,10.0229639,12.36002611,12.73839647,12.70644845,13.34678648,12.35696369,11.0652295,13.83786965,13.75254477,14.00967571,14.71045347,11.98403195,14.7610964,15.19430921,15.07070003,15.84468518,14.61938796,13.05772254,16.04377859,16.09708757,16.33226583,
