RE_PV_Openfield_Lim_[CL],RE_WIND_Onshore_Lim_[CL],BESSch_[CL],BESSdisch_[CL],PP_CO2_[CL],PP_CO2_Existing_[CL],EL_Demand_[CL]
0.0008019862697022848,17.90681859332715,0.2852346788382935,0.13277147500443565,0.0,0.0,7.992
0.0005605606629653432,16.975762619671343,0.28377163855198156,0.13321844756515666,0.0,0.0,7.948
0.0,16.617944529795796,0.2829875302091752,0.1334796309028011,0.0,0.0,7.752
0.0,16.491019633387133,0.2829699993993438,0.13349951958950998,0.0,0.0,7.523
0.0,16.227110840854426,0.28275130488947625,0.13358867262724036,0.0,0.0,7.308
0.0,16.040733146127973,0.28254889685983736,0.13367144081397853,0.0,0.0,7.136
0.0,15.979580847858278,0.2824923303418156,0.13370832107033992,0.0,0.0,6.89
0.0,15.840765451786053,0.28223260224516283,0.13382054525746237,0.0,0.0,6.627
1.7496361499999298e-10,15.657778056963675,0.28151686102909695,0.13407681631392193,0.0,0.0,6.66
4.481771233987624e-05,15.343448265857628,0.28025032960980867,0.1345160883778761,0.0,0.0,6.898
0.0004439040282812016,14.687294284423484,0.2783470477578794,0.13520729401155832,0.0,0.0,7.196
0.0066124624903049775,14.658868385227793,0.2806509088578515,0.1342271224791494,0.0,0.0,7.472
0.02541629436842568,15.02962847473715,0.28640552891582227,0.13278839521698768,0.0,0.0,7.621
0.05050501844292419,15.210613669616176,0.29049596591753546,0.1319814166187296,0.0,0.0,7.801
0.07227673536279514,15.351398565632675,0.29184682741740375,0.13147600937279896,0.0,0.0,7.807
0.08720950437138307,15.471900462223076,0.2918444153053029,0.13129287220233124,0.0,0.0,7.605
0.09323116025282234,15.780937353478889,0.29164815696824564,0.1312917963482036,0.0,0.0,7.549
0.08889876953939752,16.10216264438983,0.2913652426181043,0.13144515167740195,0.0,0.0,7.535
0.08544038040410266,16.50018883312769,0.2918241789494036,0.13142937909709448,0.0,0.0,7.619
0.07874656410022793,16.666229828429568,0.29250482568687364,0.13139003854167994,0.0,0.0,7.623
0.059621833305044676,16.668367328369087,0.29191801866398776,0.1317298236879198,0.0,0.0,7.759
0.03522090969320053,16.51909003259288,0.2889010311091123,0.13238662278889168,0.0,0.0,8.271
0.010835334515550297,14.768794382117441,0.28167470971677594,0.13382669686672097,0.0,0.0,8.369
0.0033928688176483998,13.511592517689927,0.27757190670632187,0.13553124931580607,0.0,0.0,8.023
0.0015169316971131097,16.272337639574733,0.28089087614834735,0.1341592086349738,0.0,0.0,8.654
0.00043963662303729935,15.838582351847826,0.2808606816742577,0.13424021893150379,0.0,0.0,8.179
0.0,15.781908753451404,0.2813521081978338,0.134067483671507,0.0,0.0,7.931
0.0,15.810076052654408,0.2821074237105004,0.133792341279132,0.0,0.0,7.68
0.0,15.74002185463659,0.2823890859045763,0.13368165447657765,0.0,0.0,7.642
0.0,15.819943052375224,0.28272924503045127,0.1335520187470302,0.0,0.0,7.68
0.0,15.775920153620849,0.28265230354934673,0.13357160925142145,0.0,0.0,7.902
0.0,15.651232357148885,0.28237014287774787,0.13367428526310243,0.0,0.0,8.14
0.0,15.469919562279127,0.2815139149799937,0.1339698020036319,0.0,0.0,8.772
7.403948098170434e-05,15.114458872336876,0.2803818027340871,0.13436608975395595,0.0,0.0,9.244
0.0008294370651678935,12.392834049345161,0.27496035829081095,0.13708163727535644,0.0,0.0,9.572
0.004807516500938831,12.621760742867687,0.2774315142039018,0.13553106834310524,0.0,0.0,9.785
0.018635937931141443,12.95207633352142,0.28456114792004344,0.132998293819117,0.0,0.0,9.941
0.03939767951712756,13.674233013088019,0.28924248027564087,0.13209518197953118,0.0,0.0,10.017
0.0607091126849228,14.64975168548575,0.2916903940522695,0.13153319010345557,0.0,0.0,10.152
