RE_PV_Openfield_Lim_[MX],RE_WIND_Onshore_Lim_[MX],BESSch_[MX],BESSdisch_[MX],PP_CO2_[MX],PP_CO2_Existing_[MX],EL_Demand_[MX],RE_PV_Openfield_Lim_[CL],RE_WIND_Onshore_Lim_[CL],BESSch_[CL],BESSdisch_[CL],PP_CO2_[CL],PP_CO2_Existing_[CL],EL_Demand_[CL],EL_Transport_[MX-CL],EL_Transport_[CL-MX]
7.896333574524038,3.0879112261070997e-06,0.0012718542676643596,0.0013074848134355145,16.40974565597463,9.656431427601955e-05,26.50649099,4.183760439701932e-08,10.542105141249587,0.060691770898371494,0.008273700524759807,4.151303440791381e-05,3.505762008174964e-05,8.703,4.3241082435246856e-05,0.000492809276718563
0.23005969001084026,3.2110289964928635e-06,0.0012763413668535816,0.0013061784440970689,24.79136218166314,9.681697507124644e-05,25.81700129,2.9243038370695553e-08,9.993973717707632,0.04173414142451613,0.009577775969701394,4.1516650925267375e-05,3.5060872456418525e-05,8.568,4.3137013846936236e-05,0.0004929245841285015
0.0,3.1357911748151e-06,0.0012914334236056643,0.0012870205457002793,24.16775456422597,9.687730462130798e-05,24.90265388,0.0,9.783318993907907,0.03383714148253146,0.010327836204579773,4.151323470802248e-05,3.5058269944613126e-05,8.361,4.311850361300727e-05,0.0004929424522867182
0.0,2.9927149460261496e-06,0.0013017689986358236,0.0012748066188836018,23.474427176279328,9.691174037694257e-05,24.17579126,0.0,9.708595748345964,0.03013873424045628,0.010813286711548546,4.1505974171404755e-05,3.505257976533961e-05,8.093,4.310330682780521e-05,0.0004929563951012411
0.0,2.851170169262113e-06,0.0013077307495528282,0.001268105652843387,22.924306102232514,9.693466511634007e-05,23.59250338,0.0,9.55322732128116,0.02809511911015901,0.011154012957410718,4.150512073910138e-05,3.505210246117904e-05,7.938,4.3096230909814885e-05,0.0004929550690349966
0.0,2.727145049949271e-06,0.0013098889819710652,0.0012656343247465706,22.547331035670297,9.695099878583084e-05,23.18647309,0.0,9.443503014668586,0.026894948334357946,0.011385489108298974,4.1504789120559933e-05,3.505206111227736e-05,7.812,4.309117390788736e-05,0.0004929533870461514
0.0,2.6400264622810127e-06,0.001308389098854916,0.001266992053588671,22.391803334393735,9.696360382247143e-05,23.01054225,0.0,9.40750142373113,0.02617376295689303,0.01153674525228338,4.150335238056103e-05,3.5051130666736864e-05,7.683,4.308671983312488e-05,0.0004929553547116586
0.0,2.497121380707218e-06,0.0013045567839114734,0.0012707750620258543,21.929270693106567,9.696091782180348e-05,22.51454415,0.0,9.325778001282268,0.02571964090081711,0.011638395960505324,4.150361246119255e-05,3.505165504293841e-05,7.519,4.308448314812514e-05,0.0004929533480409849
0.0,2.308518649253206e-06,0.0012958664200952968,0.0012799110371476692,21.96603458756615,9.696072854342643e-05,22.5071488,9.127411259745719e-15,9.218049632578087,0.025396638146707142,0.011716487573860667,4.1508526456089446e-05,3.505592513813699e-05,7.531,4.3084942941249214e-05,0.0004929449980290416
0.0,2.2199306262124774e-06,0.0012814545749219612,0.0012956017044748849,22.34121528186537,9.69606040886436e-05,22.86160901,2.3380272078114495e-09,9.032997347070387,0.02514506432078721,0.011783375139562397,4.151800949023643e-05,3.5063896549818163e-05,7.603,4.309158734851335e-05,0.0004929295377384542
