,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Discounted_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,,,lcoe,lcue,
10,11,fast_slow_2055,90.57788347,70.83001347,124817.9398,76627.38755,61.76246565,223263.208,137064.2424,7.374056241,0,17.319,0.381373403,30250.53637,18571.2052,21.73041145,266.2381951,10.20125639,240150.5807,147431.6243,,,0.059249875,0.234337704,
11,12,fast_slow_2055,86.45992866,72.25401668,127062.7877,74290.9804,61.93807614,213112.9619,124602.7351,6.703627147,5.45E-13,16.539,0.363212765,28888.13563,16890.2946,35.28951116,300.7477063,10.79950144,271347.0203,158650.9829,,,0.059525896,0.240491393,
12,13,fast_slow_2055,82.56456599,73.9275404,130432.3601,72629.61867,62.919107,203511.3778,113322.7502,6.096763961,0,16.41,0.345916919,28662.81551,15960.52819,30.77577123,331.3944775,11.16598495,291593.9957,162370.4477,,,0.060375247,0.242444696,
13,14,fast_slow_2055,78.89179548,75.53656677,133089.1172,70580.00037,67.0128309,194458.4557,103125.4709,5.548150333,6.16E-13,16.41,0.329444685,28662.81551,15200.50303,31.61103644,363.005514,11.47951382,328457.1356,174187.8318,,,0.059337742,0.245921065,
14,15,fast_slow_2055,75.44161712,77.30705207,136002.8616,68690.68691,65.66172267,185954.1955,93919.50488,5.052869362,4.49E-13,14.049,0.313756842,24538.93328,12393.8288,65.43205204,426.076566,12.57176911,374169.9735,188981.2626,,,0.060747455,0.261147415,
15,16,fast_slow_2055,72.21403092,78.74846388,138771.9774,66751.69386,66.97649483,177998.5973,85620.36873,4.606375838,0,13.595,0.29881604,23745.94618,11422.20612,13.14806527,438.7706313,12.282309,395777.2544,190375.6264,,,0.059799626,0.257484116,
16,17,fast_slow_2055,69.20903686,80.49675056,141260.651,64713.13181,64.14351381,170591.661,78150.00545,4.204470293,7.65E-13,13.435,0.284586705,23466.47936,10750.26458,35.6867828,474.2974141,12.48695189,427930.7451,196040.005,,,0.059577429,0.262327111,
17,18,fast_slow_2055,66.42663496,81.87527812,143982.3218,62819.0101,67.46665236,163733.3866,71436.33424,3.843274782,5.67E-13,13.272,0.271034957,23181.77254,10114.13057,29.19400893,503.328423,12.50101657,442878.6717,193226.4975,,,0.060468411,0.264495195,
18,19,fast_slow_2055,63.86682521,83.57353348,147451.0468,61268.95552,72.48656502,157423.7742,65412.82976,3.519210241,9.60E-13,13.272,0.258128531,23181.77254,9632.505308,49.48282428,552.8112473,12.87950112,500198.4593,207842.7914,,,0.058881368,0.27186427,
19,20,fast_slow_2055,61.52960761,85.50179653,150419.5114,59526.10846,70.43209891,151662.8238,60018.12939,3.228975361,2.77E-12,13.09,0.245836696,22863.87904,9048.013325,66.17170403,618.8009513,13.49689728,543415.7944,215048.0826,,,0.059735514,0.285113705,
