,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Discounted_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh
0,1,WECC,5700.85958482495,255.0679299,24156.538963400002,24156.538963400002,245.44081813227567,21870.670289926013,21870.670289926013,10.537288945686347,0.0,48.4064,0.0,1388.9112838767264,1388.9112838767264,0.0,48.4064,0.0,896.9573901709343,896.9573901709343
1,2,WECC,5672.5257770194685,248.265891,24047.839677,22902.704454285715,240.10918823247843,21761.971003554983,20725.686670052364,9.985635837631234,1.948261390850496e-13,48.40640000000019,1.3221914593397288e-14,1388.9112838767319,1322.7726513111731,0.0,48.4064,0.0,896.9573901709343,854.2451334961279
2,3,WECC,5670.996490165653,251.7987769,24041.9727497,21806.778004263037,243.96563903268742,21756.10407628537,19733.427733592172,9.507565482044708,1.1485105691073326e-12,48.40640000000134,8.056740472441409e-14,1388.911283876765,1259.7834774392427,0.0,48.4064,0.0,896.9573901709343,813.566793805836
3,4,WECC,5779.543112342598,269.8762238,24363.954071,21046.49957542382,257.6875388085423,22172.530292261014,19153.46532103316,9.228139591673774,2.1753832488702537e-12,46.406400000003515,1.8806357983877836e-13,1331.5258437748273,1150.222087269044,0.0,46.4064,0.0,859.8979356289343,742.8121676958724
4,5,WECC,5823.921623782605,248.1846119,24286.997444300003,19980.972902689722,237.85350673399353,22342.78317732517,18381.463013723842,8.856188880012148,3.6323112930577658e-12,41.171400000007154,3.3820268037030164e-13,1181.3194543079467,971.8744385789431,0.0,41.1714,0.0,762.8948133652493,627.6354509614814
5,6,WECC,5745.347194359365,253.5452862,23839.260842,18678.684658973903,246.5024371019617,22041.341716863797,17269.96797923561,8.320670572395723,5.971507982257667e-12,38.07340000001313,5.430903929844196e-13,1092.4294075901203,855.9470258664965,0.0,38.0734,0.0,705.4897182796914,552.7696544465996
6,7,WECC,5916.9314221642635,256.408525,24283.501764599998,18120.72290099723,248.89483088824738,22699.604215252937,16938.79416297943,8.161111027723491,1.4352524202664432e-11,33.54120000002748,1.011076091329549e-12,962.3882617753898,718.1489384791569,0.0,33.5412,0.0,621.5092883420652,463.77980011352224
7,8,WECC,5993.013411973006,249.3851395,24156.2537232,17167.398526964473,243.85970291971523,22991.483727342285,16339.618237012655,7.872428066592694,1.8430888629642994e-11,24.66560000004591,1.5522126031871323e-12,707.723155691263,502.96563365055374,0.0,24.6656,0.0,457.0468409755776,324.81465687629355
8,9,WECC,6073.310807613097,270.8532636,24452.1595253,16550.184053327735,263.5859445862696,23299.5351429321,15770.042501707136,7.598006477322499,2.618050024855981e-11,24.40840000007209,2.2556158251143525e-12,700.3433880948969,474.01997199915917,0.0,24.4084,0.0,452.2809951214764,306.1215801957198
9,10,WECC,6018.222677048328,262.3842804,24165.595100600003,15577.358067555877,256.42622528804515,23088.19607685907,14882.85705052812,7.170560526944446,3.271427681142763e-11,22.815400000104805,3.0496048562327613e-12,654.6358850545926,421.98412838231934,1.2705162427171468e-13,22.81540000000013,7.41183662954343e-15,422.76313957877574,272.5168892207079
10,11,WECC,6087.606074572704,249.1211072,24378.6415617,14966.371158047219,243.14987959831467,23354.377235730215,14337.561713205376,6.907837233422352,1.739152591752716e-11,21.690200000122196,3.3487889639679113e-12,622.3508364537063,382.06942685110766,4.0613587574147313e-13,21.690200000000534,2.917748487925675e-14,401.9134904534541,246.74001856620282
11,12,WECC,5978.9494442165105,254.6594517,23944.018783199997,13999.571880033676,249.88486482040872,22937.528986448597,13411.098141196315,6.461467084428383,2.7447394261624298e-11,21.31380000014964,3.8392802838098576e-12,611.5508966272973,357.5611434802215,7.543742878446724e-13,21.313800000001287,6.612673993295914e-14,394.93890110866363,230.91259593279221
12,13,WECC,6077.18551089444,250.1259669,24228.012668899995,13491.06402212347,245.7919705061742,23314.399981589613,12982.330292107295,6.254886734737297,4.4910112001467454e-11,19.34700000019455,4.641236286179168e-12,555.1180548322793,309.1105044365552,1.155631959678226e-12,19.347000000002446,1.1776131535548018e-13,358.4946335120823,199.62322615537823
13,14,WECC,6100.167310438071,253.7221318,24225.6164021,12847.361610576472,249.81774921210723,23402.566924312752,12410.880899868434,5.979562417556613,9.716380893323545e-11,17.429200000291715,6.391545565791699e-12,500.0911563212593,265.20901746605733,1.6209952105306158e-12,17.429200000004066,1.8380093872785392e-13,322.9583225517885,171.27169381780317
14,15,WECC,6148.577940142927,271.5746758,24517.2873516,12382.89613567553,264.999999999972,23588.288551910966,11913.688613581297,5.74001517402347,5.975932050353178,22.017732050644895,0.11208380241090372,631.7486218870841,319.07598326424943,2.164851946679742e-12,16.041800000006226,2.6422171808560245e-13,297.2501789360432,150.13153940277894
15,16,WECC,6152.464960435086,262.8884731,24212.0312501,11646.401010810983,258.7881864671958,23603.2006433167,11353.543079107116,5.470137055513806,1.6374162913426337e-11,15.237732050661267,0.1067464784868586,437.21197994177385,210.30643784219944,2.55953040154307e-12,9.261800000008789,3.498474303599168e-13,171.61862803871065,82.55149443753417
16,17,WECC,6161.367064606517,254.8464575,23961.6017582,10977.085850800808,252.94488477183677,23637.352508017615,10828.543533295186,5.217192274341621,1.9943144151332806e-11,9.211332050681207,0.10166331284494602,264.29817182699963,121.07803775521137,3.2519585305859937e-12,3.2354000000120404,4.49357188435093e-13,59.95107961281651,27.464280326454965
17,18,WECC,6299.450740301646,257.7660331,24412.0663251,10650.90367537768,256.2405348622455,24167.09411954373,10544.023113536752,5.080110336102008,2.4554056888004147e-11,7.5325320507057665,0.09682220270983416,216.1288334060855,94.29629411227387,4.076502885677325e-12,1.556600000016117,5.634674365186317e-13,28.843373470337244,12.584268304631012
