CHL_2050_highIR_MEX_FF_cost,USA_2040_lowIR_MEX_FF_cost
28.745785009340764,475.7524732893481
29.047839253785522,471.9033794407767
29.15663103893552,455.2813491101114
28.96350939535911,447.160999848898
29.503497722021642,451.02702488586965
30.76853059087346,444.3923097043475
29.71479222159922,429.7754540465582
29.248517110018252,427.0397724890861
27.761300229162234,399.40488516822916
27.239345538876982,385.5065470046947
26.557096219234552,368.47030264541337
27.203478758564756,350.8903602480731
26.934238917304143,333.95343901475826
27.298530291429916,317.0912303449928
27.197911861006105,308.99960887331724
28.21544182853954,306.3817370932909
29.357682460710883,303.8784806196521
29.27288974087184,295.5768156833167
29.85975406357889,289.19484314210695
30.178283157068982,279.3450352788063
30.75642224101335,278.35053714661296
30.18859603745708,276.6543256592857
31.24801480109554,272.4824584769277
29.84176228951091,267.0483381235954
28.864178315823537,260.1766884400664
27.562631548519786,257.0984977520835
26.973406088771284,254.66716932332338
25.185228068006147,252.36962500001954
23.70383600000569,249.73601522165524
21.685514000005554,247.8561619999946
