USA_maxRE,CHL_maxRE
5361.070307048826,22.192195424840975
5290.427435617554,20.545911171724583
5043.2111657134055,18.78563911504716
4867.366639894828,17.053994836011043
4787.885871763139,16.626756174595357
4524.826827336779,16.554829164324474
4122.068581707553,15.759986889450374
3899.332102540284,15.252006971491937
3550.524444963188,14.826500884406414
3387.924857409831,15.278028213613652
3236.67278752361,14.991548184656494
3058.6183497393395,15.291311308839795
2857.897335422027,14.85143289300322
2647.336491317422,14.955312256743127
2495.6852954798114,14.676539698666602
2365.030085227874,14.808813434592594
2233.1084650454013,15.35167306371477
2023.7455960813622,15.265302302410419
1812.2062977370815,15.13262198733537
1545.458652029818,14.756826815308159
1355.975371769724,14.333323586391998
1180.6896135858806,13.70642881477761
991.6379619600684,13.594521095654272
793.6324302239682,12.80500084790583
584.8995700523683,11.878195693319867
464.64930523621115,10.941067689054762
334.76875618988925,10.237724412014359
247.24228592829968,9.097855398391403
237.2621385553848,8.257717997381405
177.56523027174262,6.73826547587305
