RE_PV_Openfield_Lim_[CL],RE_WIND_Onshore_Lim_[CL],BESSch_[CL],BESSdisch_[CL],PP_CO2_[CL],PP_CO2_Existing_[CL],EL_Demand_[CL]
0.005637973179985447,18.50371306089948,3.049903259470022,1.3912744087411133,0.0,0.0,7.992
0.003940748243391607,17.541621861372654,2.9645556965895135,1.4105679591670404,0.0,0.0,7.948
0.0,17.171876491554503,2.912437512114089,1.4233186284544646,0.0,0.0,7.752
0.0,17.04072076161901,2.913152616246114,1.423337284221653,0.0,0.0,7.523
0.0,16.76801500175313,2.901984548301438,1.4264225860463986,0.0,0.0,7.308
0.0,16.57542471184785,2.8919213209067496,1.4291961080483258,0.0,0.0,7.136
0.0,16.51223400187893,2.892950893709061,1.4291164552459108,0.0,0.0,6.89
0.0,16.368791421949478,2.885637394354837,1.4312898823333255,0.0,0.0,6.627
1.2299963304975887e-09,16.179704442042475,2.851649417820551,1.4406519245379952,0.0,0.0,6.66
0.00031506906004054894,15.854896982202224,2.7880545836107333,1.4593645181515966,0.0,0.0,6.898
0.003120650690024882,15.17687118253569,2.6970170879393662,1.4894439482949777,0.0,0.0,7.196
0.0464856913171827,15.147497752550136,2.883378566016286,1.4361733445882368,0.0,0.0,7.472
0.1786768569454362,15.530616522361711,3.132573623978274,1.38056283185477,0.0,0.0,7.621
0.35505089076098645,15.71763456226973,3.1646076057050747,1.364241483777664,0.0,0.0,7.801
0.5081063241439479,15.863112292198183,3.1714500868393127,1.3716371621956025,0.0,0.0,7.807
0.613083870959793,15.987630922136939,3.1910574712269417,1.3791115751777085,0.0,0.0,7.605
0.6554161846679307,16.306969051979884,3.1953231800680317,1.3827424290060355,0.0,0.0,7.549
0.6249594255309263,16.63890186181663,3.17266403830546,1.3833042570704726,0.0,0.0,7.535
0.6006469080635342,17.050195601614348,3.1755200556366012,1.3805527612852744,0.0,0.0,7.619
0.5535892984525805,17.221771301529966,3.1858753503221533,1.3738180399986586,0.0,0.0,7.623
0.41914220955452264,17.223980051528876,3.1776880709525526,1.3632257750746122,0.0,0.0,7.759
0.24760342131377056,17.069726841604744,3.1837220966242694,1.3646282485422498,0.0,0.0,8.271
0.07617253275111667,15.26108795249427,2.9582604721369896,1.4187047656540077,0.0,0.0,8.369
0.023851908841546237,13.9619793231332,2.715729208974969,1.4851151453461113,0.0,0.0,8.023
0.01066404818547376,16.814749361730147,2.8318109796756166,1.4452520278381846,0.0,0.0,8.654
0.0030906507795249406,16.366535551950587,2.810985015073466,1.4510282348993648,0.0,0.0,8.179
0.0,16.30797283197939,2.8259588949894674,1.4463043297935425,0.0,0.0,7.931
0.0,16.337079041965072,2.867754967854285,1.4347932763855706,0.0,0.0,7.68
0.0,16.264689702000677,2.8806036096135808,1.431376175932042,0.0,0.0,7.642
0.0,16.347274941960062,2.8980978227869727,1.426699023583093,0.0,0.0,7.68
0.0,16.301784611982434,2.8896450081939546,1.4285861308118335,0.0,0.0,7.902
0.0,16.1729405520458,2.870240838751326,1.4334110735511432,0.0,0.0,8.14
0.0,15.985583992137949,2.8058845558470775,1.4508396882190127,0.0,0.0,8.772
0.0005204984471739796,15.618274602318598,2.7287191022737525,1.4742736357702302,0.0,0.0,9.244
0.0058309526042614026,12.80592887370177,2.396674501955431,1.6090520702502995,0.0,0.0,9.572
0.03379689917221708,13.042486463585426,2.6920411395632877,1.4916077314428764,0.0,0.0,9.785
0.13101086914948415,13.383812583417555,3.128312259097639,1.3832282873612833,0.0,0.0,9.941
0.27696616371460353,14.130041173050543,3.236212812953683,1.35509807779271,0.0,0.0,10.017
0.42678579675107114,15.13807716255477,3.2145413810568293,1.3572387724896187,0.0,0.0,10.152
