,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Fossil_Gen_GWh_loc2,Discounted_Fossil_Gen_GWh_loc2,Annual_Emissions_loc2,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,Total_Annual_Demand_loc2,Discounted_Annual_Demand_loc2,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_payments_BUSD_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_payments_BUSD_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,Annual_NPV_OPEX_PP_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_payments_BUSD_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_payments_BUSD_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,Annual_NPV_OPEX_PP_BUSD_loc1,RE_PV_MY_new_annual_installed_GWp_loc2,RE_PV_MY_total_capacity_GWp_loc2,RE_PV_MY_annual_payments_BUSD_loc2,RE_PV_MY_annual_generation_GWh_loc2,RE_PV_MY_discounted_annual_gen_GWh_loc2,RE_WIND_MY_new_annual_installed_GWp_loc2,RE_WIND_MY_total_capacity_GWp_loc2,RE_WIND_MY_annual_payments_BUSD_loc2,RE_WIND_MY_annual_generation_GWh_loc2,RE_WIND_MY_discounted_annual_gen_GWh_loc2,Annual_NPV_OPEX_PP_BUSD_loc2,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,MEX-CHL-USA,250874.1829594363,250874.1829594363,101.84689030767636,6792.973777135411,6792.973777135411,2.455680399355777,1330465.7759356296,1330465.7759356296,5700.85958467554,380826.37951620005,380826.37951620005,95662.35763519666,95662.35763519666,1469522.786940167,1469522.786940167,66.15670214430772,73.68970214430772,4.27625225437137,130414.4402515375,130414.4402515375,0.0,7.217,0.0,4387.6082548721615,4387.6082548721615,23.203353181918246,0.0,4.696999999999999,0.0,8406.091652207915,8406.091652207915,14.664510492547054,19.361510492547055,1.568780239963542,86999.07830193022,86999.07830193022,0.4293159427149571,0.0,48.4064,0.0,84492.10310250086,84492.10310250086,0.0,48.4064,0.0,54564.90790206518,54564.90790206518,10.537288945410186,0.020442959322923126,0.02056256608401026
1,2,MEX-CHL-USA,256584.6869453775,244366.36851940711,104.165172189841,6842.994492526099,6517.137611929617,2.473763038031664,1323853.2360129643,1260812.6057266325,5672.52577686251,388939.7322089083,370418.79257991264,94660.7533720725,90153.09844959286,1462910.2470175,1393247.854302381,1.4776851872274892,75.16738733153521,4.156516157295146,133029.61551962138,126694.87192344893,0.0,7.217,0.0,4387.6082548721615,4178.674528449677,22.601445424359966,0.0,4.696999999999999,0.0,8406.091652207915,8005.8015735313475,0.15399493549450452,19.515505428041557,1.5096459045863921,87691.0396784119,83515.2758842018,0.41188309707395215,0.0,48.4064,0.0,84492.10310250086,80468.66962142938,0.0,48.4064,0.0,54564.90790206518,51966.57895434779,9.98563583735493,0.020715021781104386,0.02085700431125154
2,3,MEX-CHL-USA,258198.85763677268,234193.97518074617,104.82047383708527,6967.970035967325,6320.154227634762,2.518942071912289,1323496.3312688821,1200450.1870919566,5670.996490000783,389046.3338850417,352876.4933197657,93417.19250621833,84732.14739793046,1462553.3422734167,1326578.9952593348,1.214685468376161e-12,75.16738733153642,3.958586816471627,133029.6155196235,120661.782784239,0.0,7.217,0.0,4387.6082548721615,3979.690027094931,21.660600764467205,0.0,4.696999999999999,0.0,8406.091652207915,7624.572927172711,0.10574198114730865,19.621247409188868,1.4478612917907225,88166.18106271542,79969.32522695276,0.3994337471865158,0.0,48.4064,0.0,84492.10310250086,76636.82821088513,0.0,48.4064,0.0,54564.90790206518,49491.979956521696,9.5075654817683,0.020779776298994492,0.020958115422460517
3,4,MEX-CHL-USA,264773.6415235226,228721.42664811367,107.48962570202137,7038.392464109428,6080.028043718326,2.5443999909529524,1348828.9260721449,1165169.1403279514,5779.543112169486,402612.668651725,347791.960826455,97103.42841490915,83881.59241110821,1482140.5393191667,1280328.7241716157,4.557428185671281,79.7248155172077,3.965208038234887,141095.25330245736,121883.38477698508,0.0,7.217,0.0,4387.6082548721615,3790.180978185648,21.15444475068402,7.656331972090816e-15,4.697000000000007,3.038475820023771e-16,8406.09165220793,7261.4980258787855,0.45857832419813466,20.079825733387,1.4203202480922665,90226.75849286161,77941.26637975304,0.3842577723629985,0.0,46.4064,0.0,81001.15549629586,69971.84364219489,0.0,46.4064,0.0,52310.45775076017,45187.740201498906,9.228139591397367,0.02094567442923993,0.021117010694332684
4,5,MEX-CHL-USA,271427.57686125056,223304.13921051458,110.1909105232082,7464.757345306341,6141.274341704406,2.698532174600275,1359185.9765781772,1118205.6666332872,5823.921623600771,420769.9638900833,346168.4906104623,99042.39623622083,81482.42449285704,1477459.011194917,1215509.1849136248,7.5828954925806,86.98371100978831,4.054240937094653,153941.88946683536,126648.37343850378,0.0,6.893,0.0,4190.630968662022,3447.6424688577463,20.6533998355805,2.7218187499963685e-14,4.554000000000034,1.2138199245993077e-15,8150.168487152468,6705.163784351143,0.17710310460337622,20.11392883799038,1.3677956963949724,90379.99750119571,74355.84761591781,0.3881285383957179,0.0,41.171400000000006,0.0,71863.60013705428,59122.36168020878,0.0,41.1714,0.0,46409.43447971933,38181.156600156784,8.85618887973564,0.021326916215991823,0.02149501675876701
5,6,MEX-CHL-USA,258124.44257692556,202247.25496410634,104.79026370406926,6017.751834522441,4715.066025661904,2.175435341435359,1340848.2877313124,1050589.7187019123,5745.347194168392,410439.9262943583,321590.4220150153,99874.38535972167,78254.19428929628,1450221.7012216668,1136286.6500875792,8.186734457346926,95.07644546713523,4.114642914930473,168264.23578725345,131839.43162013157,0.0,6.799,0.0,4133.483237477599,3238.6922752224573,18.705848611630184,2.0385545328570407,6.571554532857075,0.05850110221448689,11760.93031736831,9214.996645670266,1.7507181408108803e-13,20.092928837990552,1.3026625679952257,90285.6360284672,70741.15828455148,0.29799217282183144,0.0,38.07340000000001,0.0,66456.12229504273,52070.110740193915,0.0,38.0734,0.0,42917.29119534789,33626.82064550147,8.320670572119147,0.02104900886520735,0.02135254887347855
6,7,MEX-CHL-USA,277197.86299022194,206849.31327807397,112.53346204241437,6858.440479102632,5117.873882422271,2.4793468085170445,1380892.5897144412,1030443.3115463413,5916.931421963821,436501.7686079,325724.34039433347,103563.26067107334,77280.49963864742,1477246.3573465,1102343.9764773315,2.2192167939772313e-13,94.99444546713545,3.9187075380290275,168119.11396168746,125453.07130711897,0.0,6.717,0.0,4083.6309613379944,3047.2682975324437,19.131492985089054,3.803115023922784e-13,6.571554532857455,0.05571533544237861,11760.930317368991,8776.187281591237,0.6096834148079594,20.702612252798513,1.2865809108000479,93025.18959608185,69416.82875163769,0.3234496293690883,0.0,33.5412,0.0,58545.285924621574,43687.39375744625,0.0,33.5412,0.0,37808.481707475636,28213.271173572604,8.161111027447024,0.021615358146228145,0.02184015894893514
7,8,MEX-CHL-USA,288295.9447271937,204886.54546984195,117.03892808900936,6817.343058019201,4844.958432426434,2.464489967503119,1398648.593364221,993993.4427167078,5993.013411762616,446654.4960193917,317429.01133966027,102914.88944122416,73139.69051828358,1469505.4348280001,1044350.0770570055,3.245378038703464e-14,93.78044546713548,3.732102417170503,165970.60303196055,117952.20892525208,0.0,5.503,0.0,3345.574092637038,2377.637046204164,18.949956590505675,6.969151078302579e-13,6.553554532858152,0.05306222423085405,11728.716212677935,8335.379638744675,0.36638100199700024,21.050993254795515,1.2511225108062256,94590.6059970031,67223.7776877644,0.3062013729293511,0.0,24.665600000000005,0.0,43053.158637805034,30597.076047018407,0.0,24.6656,0.0,27803.682826014305,19759.55829330786,7.872428066316325,0.022183121182720443,0.022415814507829653
8,9,MEX-CHL-USA,294111.65405917855,199066.34429861628,119.39991997509665,7809.534173035279,5285.800127418428,2.8231700321547772,1417388.3878102556,959344.2521523626,6073.310807392652,451514.5030317167,305602.78817868675,104751.753264775,70900.10985111675,1487506.3711224168,1006802.8632441038,1.0888456773477491e-14,93.47344546713549,3.554383254448098,165427.2810752669,111967.69538512392,0.0,5.196,0.0,3158.93203440706,2138.089542860057,18.411646184179027,8.253333811179623e-13,6.454554532858978,0.050535451648451434,11551.538636871754,7818.536041430007,0.043820533165740444,20.995813787961254,1.194429025390997,94342.662389627,63854.82742388295,0.3340625680528452,0.0,24.4084,0.0,42604.22277564706,28836.214963197013,0.0,24.4084,0.0,27513.76053655648,18622.396128572953,7.598006477046711,0.0222938660534486,0.022513506292409287
9,10,MEX-CHL-USA,302440.0404126381,194955.5466712574,122.78097832623786,7558.232080299238,4872.103789804278,2.7323235717244194,1404531.927954865,905373.8038722787,6018.222676816679,459173.775251575,295987.5096205521,105831.5332960325,68219.94997962323,1470073.7019531669,947622.6157763158,4.846889547520811e-15,93.02644546713549,3.3851269089981892,164636.19014809394,106125.95610159001,0.0,4.749,0.0,2887.176333987515,1861.0996075813648,18.031438511624593,1.3673843056555266e-12,6.023554532860345,0.048129001569982954,10780.189796741857,6949.006461499924,0.9310229940152975,21.495836781976553,1.1947723488884947,96589.46744266497,62262.431926270474,0.3079169595156308,0.0,22.815400000000004,0.0,39823.68300730479,25670.701143139846,0.0,22.8154,0.0,25718.090991042045,16578.110760926305,7.170560526668443,0.022751649463408217,0.02297396958871814
