RE_PV_MY_y1,RE_PV_MY_y2,RE_PV_MY_y3,RE_PV_MY_y4,RE_PV_MY_y5,RE_PV_MY_y6,RE_PV_MY_y7,RE_PV_MY_y8,RE_PV_MY_y9,RE_PV_MY_y10,RE_PV_MY_y11,RE_PV_MY_y12,RE_PV_MY_y13,RE_PV_MY_y14,RE_PV_MY_y15,RE_PV_MY_y16,RE_PV_MY_y17,RE_PV_MY_y18,RE_PV_MY_y19,RE_PV_MY_y20,RE_PV_MY_y21,RE_PV_MY_y22,RE_PV_MY_y23,RE_PV_MY_y24,RE_PV_MY_y25,RE_PV_MY_y26,RE_PV_MY_y27,RE_PV_MY_y28,RE_PV_MY_y29,RE_PV_MY_y30,RE_WIND_MY_y1,RE_WIND_MY_y2,RE_WIND_MY_y3,RE_WIND_MY_y4,RE_WIND_MY_y5,RE_WIND_MY_y6,RE_WIND_MY_y7,RE_WIND_MY_y8,RE_WIND_MY_y9,RE_WIND_MY_y10,RE_WIND_MY_y11,RE_WIND_MY_y12,RE_WIND_MY_y13,RE_WIND_MY_y14,RE_WIND_MY_y15,RE_WIND_MY_y16,RE_WIND_MY_y17,RE_WIND_MY_y18,RE_WIND_MY_y19,RE_WIND_MY_y20,RE_WIND_MY_y21,RE_WIND_MY_y22,RE_WIND_MY_y23,RE_WIND_MY_y24,RE_WIND_MY_y25,RE_WIND_MY_y26,RE_WIND_MY_y27,RE_WIND_MY_y28,RE_WIND_MY_y29,RE_WIND_MY_y30,PP_CO2_MY_y1,PP_CO2_MY_y2,PP_CO2_MY_y3,PP_CO2_MY_y4,PP_CO2_MY_y5,PP_CO2_MY_y6,PP_CO2_MY_y7,PP_CO2_MY_y8,PP_CO2_MY_y9,PP_CO2_MY_y10,PP_CO2_MY_y11,PP_CO2_MY_y12,PP_CO2_MY_y13,PP_CO2_MY_y14,PP_CO2_MY_y15,PP_CO2_MY_y16,PP_CO2_MY_y17,PP_CO2_MY_y18,PP_CO2_MY_y19,PP_CO2_MY_y20,PP_CO2_MY_y21,PP_CO2_MY_y22,PP_CO2_MY_y23,PP_CO2_MY_y24,PP_CO2_MY_y25,PP_CO2_MY_y26,PP_CO2_MY_y27,PP_CO2_MY_y28,PP_CO2_MY_y29,PP_CO2_MY_y30,EL_Demand_MY_y1,EL_Demand_MY_y2,EL_Demand_MY_y3,EL_Demand_MY_y4,EL_Demand_MY_y5,EL_Demand_MY_y6,EL_Demand_MY_y7,EL_Demand_MY_y8,EL_Demand_MY_y9,EL_Demand_MY_y10,EL_Demand_MY_y11,EL_Demand_MY_y12,EL_Demand_MY_y13,EL_Demand_MY_y14,EL_Demand_MY_y15,EL_Demand_MY_y16,EL_Demand_MY_y17,EL_Demand_MY_y18,EL_Demand_MY_y19,EL_Demand_MY_y20,EL_Demand_MY_y21,EL_Demand_MY_y22,EL_Demand_MY_y23,EL_Demand_MY_y24,EL_Demand_MY_y25,EL_Demand_MY_y26,EL_Demand_MY_y27,EL_Demand_MY_y28,EL_Demand_MY_y29,EL_Demand_MY_y30,EL_Demand_MY_y31,HVDC MEX-USA_y0,HVDC USA-MEX_y0,HVDC MEX-USA_y1,HVDC USA-MEX_y1,HVDC MEX-USA_y2,HVDC USA-MEX_y2,HVDC MEX-USA_y3,HVDC USA-MEX_y3,HVDC MEX-USA_y4,HVDC USA-MEX_y4,HVDC MEX-USA_y5,HVDC USA-MEX_y5,HVDC MEX-USA_y6,HVDC USA-MEX_y6,HVDC MEX-USA_y7,HVDC USA-MEX_y7,HVDC MEX-USA_y8,HVDC USA-MEX_y8,HVDC MEX-USA_y9,HVDC USA-MEX_y9,HVDC MEX-USA_y10,HVDC USA-MEX_y10,HVDC MEX-USA_y11,HVDC USA-MEX_y11,HVDC MEX-USA_y12,HVDC USA-MEX_y12,HVDC MEX-USA_y13,HVDC USA-MEX_y13,HVDC MEX-USA_y14,HVDC USA-MEX_y14,HVDC MEX-USA_y15,HVDC USA-MEX_y15,HVDC MEX-USA_y16,HVDC USA-MEX_y16,HVDC MEX-USA_y17,HVDC USA-MEX_y17,HVDC MEX-USA_y18,HVDC USA-MEX_y18,HVDC MEX-USA_y19,HVDC USA-MEX_y19,HVDC MEX-USA_y20,HVDC USA-MEX_y20,HVDC MEX-USA_y21,HVDC USA-MEX_y21,HVDC MEX-USA_y22,HVDC USA-MEX_y22,HVDC MEX-USA_y23,HVDC USA-MEX_y23,HVDC MEX-USA_y24,HVDC USA-MEX_y24,HVDC MEX-USA_y25,HVDC USA-MEX_y25,HVDC MEX-USA_y26,HVDC USA-MEX_y26,HVDC MEX-USA_y27,HVDC USA-MEX_y27,HVDC MEX-USA_y28,HVDC USA-MEX_y28,HVDC MEX-USA_y29,HVDC USA-MEX_y29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.234410156981353,4.343058696375123,4.70064168424671,4.700641684337008,4.673094684310722,4.669049320675664,4.669049320692464,4.665581866199898,4.646510866502297,4.563484593647283,4.529195320866438,4.5043452299394255,4.453681866392511,6.83404302985275,7.315208260041666,7.535904927699991,7.742029226760391,8.252721885768741,8.20642848817654,9.361931683243471,10.099669341338045,10.645680614331246,11.41487978628993,11.699518746161292,12.01745671438579,12.384516685800536,13.444540453481153,13.981846863023302,14.172268391296186,14.27172225997785,6.125618053199061,6.434934953814337,6.366242565952239,5.6963303458718855,6.6494382559086525,6.4455062195546855,6.5466297395494175,7.052220764054102,6.569375803764402,6.855064506632768,10.893924262098137,10.710070352967143,11.24074376645317,9.269207522929005,8.041851202672937,8.05224228494412,8.528169425809722,8.147061826723663,8.791816044234274,8.081921099081677,6.535213240514227,7.194222007407458,6.1578571653295135,5.986314015332919,6.5414436169769425,5.238241965424127,4.413532087598597,5.149131897904258,4.514952249471581,5.05016679062209,10.36002821,10.77799365,11.06688425,10.39697203,11.32253294,11.11455554,11.21567906,11.71780263,11.21588667,11.4185491,12.44091085,12.23220685,12.7122169,13.12104182,12.37485073,12.60593848,13.28798992,13.41757498,14.0160358,14.46164405,13.65267385,14.85769389,14.59052822,14.70362403,15.5766916,14.64054992,14.87586381,16.14877003,15.70501191,16.33968032,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53163584330874e-10,2.9822087331860017,5.808458425014e-10,2.982208733139083,6.099121432638613e-10,2.982208733089819,6.404296036862758e-10,2.982208733038098,6.724727193060057e-10,2.9822087329837896,7.061190003929714e-10,2.9822087329267633,7.414473506577064e-10,2.9822087328668894,7.785411384422684e-10,2.982208732804022,8.174905758137319e-10,2.9822087327380076,8.583853234036605e-10,2.9822087326686986,7.203368401417764e-10,2.982208732044356,7.563768196877643e-10,2.9822087319403723,7.94214375836377e-10,2.982208731831212,8.339475826337804e-10,2.982208731716576,8.756661637602665e-10,2.9822087315962023,9.194662819011789e-10,2.98220873146984,9.654532662871732e-10,2.982208731337182,1.0137480144836632e-09,2.9822087311978414,1.0644507708923065e-09,2.982208731051578,1.1176961606567488e-09,2.9822087308979452
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.039727410592182,5.16903916873654,5.594628735813951,5.594628735921422,5.561842735991027,5.55702800873467,5.557028008754664,5.552901099739403,5.5302031001691585,5.431386554866658,5.390576009473934,5.3609998277254345,5.300701100744721,8.133768979826064,8.706444160006455,8.969113812730159,9.214439664844672,9.822257919708148,9.76716025648575,11.14242172368313,12.020465314050817,12.670319219785316,13.585807801998742,13.924580550741812,14.302985247955004,14.739854169644165,16.001477545700773,16.640971061838293,16.867607726692658,16.985976134452603,4.93838655158822,5.0990936414529004,4.9022819243849804,4.380302872287457,5.093091014228325,4.937833401495662,5.245193921487202,5.610582340514579,5.230401250097522,5.441004325413375,9.299002593490616,9.171406775181108,9.792363842100936,7.293713472955669,6.148287582708129,6.0160814099139355,6.314884617725425,6.082897502784249,6.568045485925055,5.556618418642015,3.961399097801499,4.293544061953427,3.1734315196207925,3.219214740752503,3.453674573407831,2.2886060815806974,1.1450706753797109,1.537843929089848,1.2406600740758957,1.5629524261480499,9.978113962,10.26813281,10.49691066,9.974931608,10.65493375,10.49486141,10.80222193,11.16348344,10.76060435,10.87239088,11.70736987,11.55019787,12.11085621,12.44527372,11.87252301,12.00298649,12.54711555,12.92294669,13.35299701,13.71683141,12.99965568,13.98165455,13.77703059,14.16158656,14.77445109,14.04625152,14.16433949,15.19660626,15.12605907,15.56671983,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.531639008406386e-10,2.9822087331860003,5.808463126361156e-10,2.982208733139082,6.099128193507148e-10,2.982208733089817,6.40429303471315e-10,2.982208733038099,6.724715039571944e-10,2.9822087329837936,7.061173859563397e-10,2.982208732926768,7.41445021447577e-10,2.982208732866896,7.785384575363014e-10,2.982208732804029,8.17487611341505e-10,2.9822087327380165,8.583799630346801e-10,2.982208732668714,7.203291745104941e-10,2.98220873204441,7.563688893534294e-10,2.9822087319404273,7.942006947276672e-10,2.982208731831307,8.339325410742825e-10,2.9822087317166788,8.756501857391057e-10,2.9822087315963106,9.194390294002781e-10,2.98220873147002,9.653602189585976e-10,2.9822087313377903,1.0136730506026863e-09,2.982208731198333,1.064350515549965e-09,2.9822087310522187,1.1176047181677206e-09,2.98220873089853
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.395425852334072,5.533864292761718,5.989491505429421,5.989491505544477,5.954391505642241,5.949236960208636,5.949236960230041,5.944818778495772,5.920518778971954,5.814727870113888,5.771036961118101,5.739373324850037,5.674818779750871,8.70784148730573,9.320935454578912,9.602144043747936,9.864784725853596,10.515502127536564,10.456515731580204,11.928841647112954,12.868856592562032,13.56457647532216,14.544679239136242,14.907362197502804,15.312474283862413,15.780176935638583,17.130844308000487,17.81547257621132,18.058105008686145,18.18482772904307,4.2164855258463145,4.2525294904277064,4.1290852647694996,3.659830281664388,4.3426278545771,4.196482860021683,4.456537140011814,4.694919431758193,4.488829191294717,4.740671680166136,8.525274421846435,8.408782888056493,8.850054053094766,6.27108339547599,5.146243748135669,5.033096628896156,5.2471238567165015,4.915373634955832,5.252221700830601,4.275810935212201,2.733994759290342,2.9296231264166517,1.756227732483457,1.716694633991724,1.9116788175006343,0.7897741655867113,6.422922476136929e-10,6.744656348261875e-10,7.081056844157347e-10,7.435203859838647e-10,9.611911378,9.786393783,10.11857677,9.649321787,10.29701936,10.14571982,10.4057741,10.63973821,10.40934797,10.55539955,11.31410265,11.16594748,11.5426641,11.99671615,11.48497047,11.65303194,12.12969985,12.44866703,12.7265287,13.22244385,12.62064262,13.51199087,13.31869824,13.6418481,14.24194437,13.58774237,13.75136935,14.68613062,14.5709239,14.83639266,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.531639844583163e-10,2.9822087331860003,5.808463699563355e-10,2.9822087331390814,6.099128265371972e-10,2.982208733089817,6.404285962115912e-10,2.982208733038101,6.724699589875622e-10,2.9822087329837976,7.061156672163032e-10,2.9822087329267735,7.41442634894218e-10,2.9822087328669027,7.785351790468888e-10,2.9822087328040383,8.174837548826173e-10,2.9822087327380262,8.583740032976775e-10,2.9822087326687297,7.203205573503594e-10,2.982208732044471,7.563595008389607e-10,2.982208731940493,7.941797130934066e-10,2.9822087318314514,8.339054205555507e-10,2.982208731716862,8.756233791710103e-10,2.9822087315964905,9.19380830177244e-10,2.9822087314703647,4.018435727736099e-10,2.982208733602202,4.2197349978275985e-10,2.9822087335760634,4.4307159741690406e-10,2.982208733548702,4.6525016393675055e-10,2.982208733519916
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.295510570577137,5.431385336484943,5.878575009174197,5.878575009287122,5.844125009306279,5.8390659184064635,5.8390659184274725,5.8347295548638005,5.810879555277998,5.707047737093248,5.664165918909198,5.633088646206449,5.569729555504916,8.546585182518871,9.148325559146919,9.424326582465113,9.682103548810124,10.320770629663427,10.262876574243865,11.70793719826587,12.630544461596653,13.31338064434637,14.275333359123106,14.631299967202331,15.02890997877497,15.48795147135636,16.813606487925988,17.485556456371576,17.72369569618328,17.848071699773826,4.306732092603252,4.237630410704481,4.022397964024718,3.5039971949217392,4.197785160913053,4.152052453823852,4.556240911814382,4.677395595390162,4.310708364988665,4.868935663186774,8.35183797405533,8.344919796700077,8.816700527340721,6.174345800262845,5.001358683567655,5.233638410178976,5.2449715137599675,5.097582902828967,5.293218838166932,4.21236175405928,2.9969181302557035,2.846058677392436,1.8226220224965732,1.9790343942921322,1.888964752588073,0.7063748198689566,6.426920005300129e-10,6.744984935490822e-10,7.083713533686497e-10,7.43574895826401e-10,9.602242663,9.669015747,9.900972973,9.382572204,10.04191017,9.991118372,10.39530683,10.51212515,10.12158792,10.5759834,11.03379516,10.99579971,11.40422135,11.73872225,11.16747551,11.67575626,11.94486633,12.4361448,12.57388668,12.93809022,12.64525386,13.17723059,13.11574665,13.62812563,13.935666,13.21211756,13.7781856,14.32228096,14.55626687,14.65844492,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.531637712445319e-10,2.9822087331860008,5.808461528354247e-10,2.982208733139082,6.099126502785846e-10,2.982208733089817,6.404282702734905e-10,2.9822087330381017,6.724694278618836e-10,2.982208732983799,7.061161119181399e-10,2.982208732926772,7.4144256160593e-10,2.982208732866903,7.785358380699324e-10,2.9822087328040365,8.174838914302211e-10,2.9822087327380262,8.583736524801819e-10,2.9822087326687305,7.203230540493719e-10,2.9822087320444535,7.563587396177411e-10,2.982208731940498,7.941815300024834e-10,2.982208731831439,8.339129184170691e-10,2.982208731716812,8.756230038849513e-10,2.982208731596493,9.193753311583314e-10,2.9822087314703887,4.018878155575042e-10,2.9822087336020804,4.2198030589282245e-10,2.9822087335760514,4.431348959818202e-10,2.982208733548573,4.6526447425187023e-10,2.982208733519886
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76595951571756,4.8882468050909855,5.290717510696941,5.290717510798573,5.259712510801515,5.25515932898958,5.255159329008489,5.251256601799384,5.229791602162261,5.1363429657528865,5.097749329369441,5.069779783924068,5.012756602266388,7.691926667814624,8.233493007029645,8.481893928130587,8.713893197948098,9.288693570981177,9.23658892107954,10.537143483299182,11.367490020679856,11.982042585438043,12.847800029136405,13.168169976555468,13.526018987135888,13.939156330649686,15.132245846112621,15.737000817992573,15.95132613392196,16.063264537205075,4.601816806462827,4.761205936098441,4.531126807501977,3.9390685464102884,4.772044059417825,4.7256522802407375,4.886316221233362,5.239599708454583,4.726976017104405,5.386122424527141,8.907098053595092,8.896885478982464,9.350599690579255,6.935188354967094,5.734339655684923,6.116987834513499,6.20085963462199,5.825995761511204,6.294066151331246,5.279754149025945,4.19598335117244,4.164072936300686,3.236625242483107,3.1093945449388394,3.2804817842269363,2.0400233605751925,1.5584262449675916,1.55300730293553,1.2317163968465688,1.5477311533955547,9.367776322,9.649452741,9.821844318,9.229786057,10.03175657,9.980811609,10.14147555,10.49085631,9.956767619,10.52246539,11.02263865,10.98445653,11.38114756,11.64490629,10.98562393,11.61667303,11.9325441,12.1324806,12.54844634,12.8346889,12.58126464,13.16390679,13.10221654,13.29535579,13.82429204,12.99697096,13.70846336,14.30779939,14.2008338,14.62878696,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.531635864495344e-10,2.9822087331860017,5.808458365557811e-10,2.982208733139083,6.099121627985482e-10,2.982208733089819,6.404284586839232e-10,2.982208733038101,6.724703874040264e-10,2.9822087329837963,7.061174189315188e-10,2.982208732926768,7.414445799741038e-10,2.9822087328668974,7.785376159101478e-10,2.9822087328040316,8.174868749453959e-10,2.9822087327380182,8.583790414671053e-10,2.982208732668716,7.203305758853803e-10,2.982208732044402,7.563684094394042e-10,2.9822087319404322,7.942016603794714e-10,2.9822087318313018,8.339313787085909e-10,2.9822087317166868,8.756488531349803e-10,2.982208731596321,9.194343421620039e-10,2.9822087314700534,9.653936965900487e-10,2.982208731337581,1.0136758732551616e-09,2.982208731198319,1.064351502060939e-09,2.982208731052216,1.1176055651052079e-09,2.982208730898529
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.422250897235446,4.535719144997241,4.909164708919315,4.909164709013618,4.880395709066472,4.876170890897812,4.876170890915357,4.872549618253427,4.852632618624837,4.76592325509711,4.730112891504759,4.704160437013033,4.651249619072329,7.137204899880713,7.639714881681421,7.870201773689224,8.085469858893257,8.618817122333889,8.570470124417152,9.777232070403498,10.547696172718721,11.117928803092012,11.921250069157555,12.218515768278357,12.550557637894578,12.933900589510124,14.04094758872153,14.602089203161169,14.800957934115191,14.904823630565476,5.100224866944946,5.2029898111921895,4.884242748279603,4.161573475195241,5.208474861152868,5.193536549332512,5.432780969326502,5.7153457820005436,4.932559765641823,5.891023305182921,9.337489901459783,9.360339795893506,9.81738084377332,7.456195012901007,6.138813271033143,6.877145548954868,6.935562243676831,6.696227970158494,7.076256487993639,6.002505711921624,5.176570619133552,5.103133058646694,4.2798723724619085,4.278608233215882,4.215918123468182,2.8213150117146397,2.8249239623583597,2.7693777877665804,2.6165971366527843,2.841486490034695,9.522475764,9.738708956,9.793407457,9.070738184,10.08887057,10.06970744,10.30895186,10.5878954,9.785192384,10.65694656,11.08539406,11.0822915,11.48642173,11.61119118,10.79631942,11.76513859,12.03882337,12.33283636,12.66451788,12.79752905,12.74205806,13.23885313,13.21891371,13.51491527,13.78426703,12.77300687,13.88366282,14.38925826,14.43534634,14.76410139,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.531636143638249e-10,2.982208733186002,5.808457621278701e-10,2.982208733139084,6.09911979520902e-10,2.9822087330898195,6.404285108410914e-10,2.982208733038101,6.724706389555793e-10,2.982208732983795,7.061182173674287e-10,2.982208732926767,7.414455710342171e-10,2.9822087328668947,7.785392151349509e-10,2.982208732804027,8.174882639069247e-10,2.9822087327380142,8.583813760495337e-10,2.98220873266871,7.203340960409726e-10,2.9822087320443798,7.563720144699862e-10,2.9822087319404087,7.942081816780561e-10,2.9822087318312582,8.339402417798142e-10,2.982208731716627,8.756568576538022e-10,2.982208731596266,9.194483825401931e-10,2.9822087314699615,9.654345293728513e-10,2.9822087313373142,1.0137205402506215e-09,2.98220873119803,1.0644220428932626e-09,2.982208731051771,1.1176642710588136e-09,2.9822087308981584
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.420252593358817,4.533669567675336,4.906946380946341,4.906946381040601,4.878190381080444,4.873967472000779,4.873967472018316,4.870347835718359,4.850439836080609,4.763769654331868,4.7279754725415115,4.702034745310772,4.64914783643698,7.133979776623087,7.636262686810715,7.866645427593155,8.081816238567576,8.6149224958037,8.566597344678476,9.772813985314475,10.542929934293708,11.112904890893542,11.91586315629778,12.212994528531043,12.544886356783563,12.928056085367649,14.034602837903426,14.595490886570898,14.794269753750738,14.898088515906997,5.342732457821581,5.431236646514103,4.817223503252575,4.182576985168256,5.446751379138903,5.45856242822955,5.695357708223548,5.963468554535618,4.955017339186053,6.1827230959481705,9.599016330423034,9.651716697595774,10.086273346408673,7.377331166158629,6.164624265903849,7.200357345050945,7.2534328540025195,7.011613196688691,7.374283167732319,5.916447637010647,5.527534937558577,5.417935140845173,4.630276985321692,4.625475852963205,4.124137194579212,2.853611965857116,3.20848386317644,3.112672804356823,2.9878790370172013,3.191141724693136,9.762985051,9.964906214,9.724169884,9.089523366,10.32494176,10.3325299,10.56932518,10.83381639,9.805457175,10.94649275,11.34478307,11.37154271,11.75321245,11.52910221,10.81867822,12.08479404,12.35304036,12.64432696,12.95867178,12.70705289,13.08825614,13.5486313,13.56393141,13.85626165,13.68681482,12.79945932,14.26087797,14.72595496,14.79994006,15.10702151,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53163990927344e-10,2.982208733186002,5.808461063103031e-10,2.982208733139084,6.099122468669931e-10,2.9822087330898204,6.404284855257411e-10,2.9822087330381017,6.724707113420428e-10,2.982208732983796,7.061186559975617e-10,2.982208732926767,7.414458661634872e-10,2.9822087328668947,7.785395067150456e-10,2.982208732804027,8.174884213453558e-10,2.982208732738015,8.583807712213183e-10,2.982208732668712,7.203348467053479e-10,2.9822087320443793,7.563724311721267e-10,2.9822087319404083,7.942089127477604e-10,2.982208731831255,8.339410523828495e-10,2.982208731716623,8.756556191371806e-10,2.9822087315962764,9.194486586949305e-10,2.9822087314699606,9.65438965533779e-10,2.9822087313372867,1.0137243912147451e-09,2.982208731198004,1.0644273614495888e-09,2.9822087310517347,1.1176689743479493e-09,2.982208730898126
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.494189902738203,4.609503996221964,4.9890245891512714,4.989024589247109,4.9597875893394,4.955494043903891,4.955494043921721,4.951813862174802,4.93157286257896,4.843452953714726,4.807060044716565,4.780685408442331,4.726913863303771,7.253309443584417,7.763994010949357,7.998230350507236,8.21700031118734,8.75902380594346,8.709890322811388,9.936283279405274,10.719280913305234,11.298789808026148,12.115179109877742,12.417280581382741,12.754723945043635,13.144302931508074,14.269358827550246,14.839628818155571,15.041732647945656,15.147287980529692,5.300218472442196,5.607275923967482,4.696817353047646,3.8350015389617456,5.559341770879955,5.665625216326448,5.647849766320146,6.155838868079183,4.587475257687696,6.407680806565325,9.733300148247986,9.890675204464227,10.305582379541892,7.212559399197298,5.720888561765205,7.405092382136873,7.463271351382768,6.908209146548938,7.55853452959942,5.70289333291985,5.715430268547066,5.486867743712581,4.809804011741744,4.465787820111529,3.860352846319158,2.2635038197167585,3.370608263529638,3.145495062772183,2.78805150282235,3.3237884500704697,9.794408375,10.21677992,9.685841942,8.824026128,10.51912936,10.62111926,10.60334381,11.10765273,9.51904812,11.25113376,11.55815146,11.68915188,12.05028751,11.48366011,10.50267384,12.421114,12.69806293,12.68502422,13.28621612,12.65696788,13.45250245,13.80344882,13.94277439,13.90085967,13.63286806,12.42559802,14.65775836,15.00291515,14.84757542,15.4888677,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.531643446250218e-10,2.982208733186002,5.80846436390731e-10,2.982208733139084,6.099125441707751e-10,2.9822087330898204,6.404284523427677e-10,2.982208733038102,6.724700040188438e-10,2.9822087329837976,7.061188591124128e-10,2.9822087329267672,7.414459760096617e-10,2.982208732866895,7.785388226197944e-10,2.9822087328040303,8.174880282582137e-10,2.982208732738017,8.58379798164194e-10,2.9822087326687154,7.203347628984124e-10,2.9822087320443833,7.563716401723483e-10,2.9822087319404162,7.942085170653861e-10,2.9822087318312582,8.339385442643066e-10,2.9822087317166406,8.756530499002798e-10,2.982208731596295,9.19438970667467e-10,2.9822087314700263,9.654381930382362e-10,2.982208731337292,1.0137205574866451e-09,2.982208731198026,1.0644186293494173e-09,2.9822087310517875,1.1176658608992056e-09,2.9822087308981398
0.06006401008300358,0.06006401008300419,0.06006401008300419,0.06006401008300544,0.05823536340600798,0.057966820887010516,0.057966820887011224,0.057736641585012384,0.05647065542401238,0.05095913991501326,0.048682922373013256,0.04703330404201326,0.04367012868501326,0.03868291047501326,0.03475707460201326,0.030997479336014103,0.02016626440301542,0.011419450927017403,0.002352943976020499,2.2696112915418794e-14,4.173098465228187e-14,6.25002856134983e-14,9.327819041579664e-14,1.210799709810946e-13,1.5148500337755235e-13,1.81359767269551e-13,2.1193266662656664e-13,2.399861273466505e-13,2.72992126017538e-13,3.144254267007486e-13,4.472208538113914,4.5869586231356285,4.9646229570469265,4.964622957142295,4.935528957234452,4.9312564117988975,4.931256411816641,4.927594230069412,4.907452230471814,4.81976332160743,4.7835484126092105,4.757302776334826,4.703794231195306,7.217833052274141,7.7260198293974165,7.959110504330633,8.176810447414992,8.716182871270457,8.66728970308532,9.887684294827038,10.66685223820141,11.243526718579904,12.05592300916412,12.356546883428592,12.692339790438298,13.080013321651233,14.199566498758777,14.76704726308104,14.96816259036662,15.073201645200097,6.091228141983505,6.258130556970826,5.087707883068992,3.998462088983553,6.167580219578909,6.403614907544449,6.511688917538236,6.870719238599578,4.7699320253708315,7.188670578757624,10.41377854798235,10.716345492529738,11.09694091296537,7.715079550032577,5.961108948715137,8.305523098977488,8.405922280752122,8.013412300294945,8.493964075349492,6.308890057498077,6.734260213650861,6.384860703158771,5.882126802455278,5.703223118065555,4.523112220924336,2.6081894095733804,4.4933850623208444,4.134036447846411,4.118462220400997,4.441464125399677,10.62350069,10.90515319,10.11239485,9.023149056,11.16134454,11.39283814,11.50091215,11.85605011,9.733854911,12.05939304,12.26380115,12.53847284,12.86219654,11.98938678,10.73967712,13.31342235,13.62069026,13.75880589,14.18139799,13.21436562,14.41890372,14.64617869,14.95584108,15.07756127,14.23324328,12.705994,15.71074283,15.91887498,16.10441608,16.53245704,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.531646002910703e-10,2.9822087331860017,5.808468156481167e-10,2.982208733139083,6.099129191907618e-10,2.9822087330898195,6.404290453885608e-10,2.982208733038101,6.724705739035229e-10,2.9822087329837963,7.061199344278157e-10,2.9822087329267646,7.414472642944469e-10,2.982208732866892,7.785406391824212e-10,2.982208732804025,8.174894347359758e-10,2.982208732738013,8.58381346882203e-10,2.9822087326687114,7.203366653959336e-10,2.9822087320443713,7.563737359999277e-10,2.9822087319404016,7.942117683960361e-10,2.9822087318312356,8.339432384562301e-10,2.9822087317166086,8.756566268523153e-10,2.9822087315962715,9.194451335294993e-10,2.9822087314699863,9.654477987015636e-10,2.982208731337228,1.0137316110471884e-09,2.9822087311979524,1.064436434071513e-09,2.98220873105167,1.1176778967618139e-09,2.982208730898059
