RE_PV_MY_y1,RE_PV_MY_y2,RE_PV_MY_y3,RE_PV_MY_y4,RE_PV_MY_y5,RE_PV_MY_y6,RE_PV_MY_y7,RE_PV_MY_y8,RE_PV_MY_y9,RE_PV_MY_y10,RE_PV_MY_y11,RE_PV_MY_y12,RE_PV_MY_y13,RE_PV_MY_y14,RE_PV_MY_y15,RE_PV_MY_y16,RE_PV_MY_y17,RE_PV_MY_y18,RE_PV_MY_y19,RE_PV_MY_y20,RE_PV_MY_y21,RE_PV_MY_y22,RE_PV_MY_y23,RE_PV_MY_y24,RE_PV_MY_y25,RE_PV_MY_y26,RE_PV_MY_y27,RE_PV_MY_y28,RE_PV_MY_y29,RE_PV_MY_y30,RE_WIND_MY_y1,RE_WIND_MY_y2,RE_WIND_MY_y3,RE_WIND_MY_y4,RE_WIND_MY_y5,RE_WIND_MY_y6,RE_WIND_MY_y7,RE_WIND_MY_y8,RE_WIND_MY_y9,RE_WIND_MY_y10,RE_WIND_MY_y11,RE_WIND_MY_y12,RE_WIND_MY_y13,RE_WIND_MY_y14,RE_WIND_MY_y15,RE_WIND_MY_y16,RE_WIND_MY_y17,RE_WIND_MY_y18,RE_WIND_MY_y19,RE_WIND_MY_y20,RE_WIND_MY_y21,RE_WIND_MY_y22,RE_WIND_MY_y23,RE_WIND_MY_y24,RE_WIND_MY_y25,RE_WIND_MY_y26,RE_WIND_MY_y27,RE_WIND_MY_y28,RE_WIND_MY_y29,RE_WIND_MY_y30,PP_CO2_MY_y1,PP_CO2_MY_y2,PP_CO2_MY_y3,PP_CO2_MY_y4,PP_CO2_MY_y5,PP_CO2_MY_y6,PP_CO2_MY_y7,PP_CO2_MY_y8,PP_CO2_MY_y9,PP_CO2_MY_y10,PP_CO2_MY_y11,PP_CO2_MY_y12,PP_CO2_MY_y13,PP_CO2_MY_y14,PP_CO2_MY_y15,PP_CO2_MY_y16,PP_CO2_MY_y17,PP_CO2_MY_y18,PP_CO2_MY_y19,PP_CO2_MY_y20,PP_CO2_MY_y21,PP_CO2_MY_y22,PP_CO2_MY_y23,PP_CO2_MY_y24,PP_CO2_MY_y25,PP_CO2_MY_y26,PP_CO2_MY_y27,PP_CO2_MY_y28,PP_CO2_MY_y29,PP_CO2_MY_y30,EL_Demand_MY_y1,EL_Demand_MY_y2,EL_Demand_MY_y3,EL_Demand_MY_y4,EL_Demand_MY_y5,EL_Demand_MY_y6,EL_Demand_MY_y7,EL_Demand_MY_y8,EL_Demand_MY_y9,EL_Demand_MY_y10,EL_Demand_MY_y11,EL_Demand_MY_y12,EL_Demand_MY_y13,EL_Demand_MY_y14,EL_Demand_MY_y15,EL_Demand_MY_y16,EL_Demand_MY_y17,EL_Demand_MY_y18,EL_Demand_MY_y19,EL_Demand_MY_y20,EL_Demand_MY_y21,EL_Demand_MY_y22,EL_Demand_MY_y23,EL_Demand_MY_y24,EL_Demand_MY_y25,EL_Demand_MY_y26,EL_Demand_MY_y27,EL_Demand_MY_y28,EL_Demand_MY_y29,EL_Demand_MY_y30,HVDC CHL-USA_y0,HVDC USA-CHL_y0,HVDC CHL-USA_y1,HVDC USA-CHL_y1,HVDC CHL-USA_y2,HVDC USA-CHL_y2,HVDC CHL-USA_y3,HVDC USA-CHL_y3,HVDC CHL-USA_y4,HVDC USA-CHL_y4,HVDC CHL-USA_y5,HVDC USA-CHL_y5,HVDC CHL-USA_y6,HVDC USA-CHL_y6,HVDC CHL-USA_y7,HVDC USA-CHL_y7,HVDC CHL-USA_y8,HVDC USA-CHL_y8,HVDC CHL-USA_y9,HVDC USA-CHL_y9,HVDC CHL-USA_y10,HVDC USA-CHL_y10,HVDC CHL-USA_y11,HVDC USA-CHL_y11,HVDC CHL-USA_y12,HVDC USA-CHL_y12,HVDC CHL-USA_y13,HVDC USA-CHL_y13,HVDC CHL-USA_y14,HVDC USA-CHL_y14,HVDC CHL-USA_y15,HVDC USA-CHL_y15,HVDC CHL-USA_y16,HVDC USA-CHL_y16,HVDC CHL-USA_y17,HVDC USA-CHL_y17,HVDC CHL-USA_y18,HVDC USA-CHL_y18,HVDC CHL-USA_y19,HVDC USA-CHL_y19,HVDC CHL-USA_y20,HVDC USA-CHL_y20,HVDC CHL-USA_y21,HVDC USA-CHL_y21,HVDC CHL-USA_y22,HVDC USA-CHL_y22,HVDC CHL-USA_y23,HVDC USA-CHL_y23,HVDC CHL-USA_y24,HVDC USA-CHL_y24,HVDC CHL-USA_y25,HVDC USA-CHL_y25,HVDC CHL-USA_y26,HVDC USA-CHL_y26,HVDC CHL-USA_y27,HVDC USA-CHL_y27,HVDC CHL-USA_y28,HVDC USA-CHL_y28,HVDC CHL-USA_y29,HVDC USA-CHL_y29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3248328903296,9.3248328903296,9.3248328903296,8.9395601623296,7.9311087967896,7.3343213411176,6.461254812196801,4.751491499878401,4.7019454270576,4.3950756992056,4.1783212624328,4.1058129350232,3.7269357343080003,3.3574977154288006,3.0902340240151998,1.7841594760952,0.6232556920856003,0.2998577642024018,6.2444009240890085e-15,1.3455154842445567e-14,2.409293901271278e-14,3.902995076987238e-14,5.947863265276114e-14,8.718742781559114e-14,1.2480074344178885e-13,1.765797769339148e-13,2.500250939406683e-13,3.6020509538933943e-13,5.438378520695833e-13,9.544971655049717e-13,150.74652620976156,144.45192280976607,147.00329990977087,141.7118734377759,151.25469630332117,155.82480655899874,154.45141298792532,149.7185306002498,146.494895473077,147.13540490093573,155.60815273774676,159.77029246513038,151.20195746585367,154.16474128474138,148.50931657616385,150.03749912409316,163.37319000811257,161.46473273600594,155.103371600219,157.57002770023013,151.94987470024302,160.02500120025525,163.935362000268,161.58802750028147,157.39324970029546,151.32778670031013,151.30062510032556,158.9958745003418,160.13058620035866,153.14472190037614,160.0713591,153.7767557,156.3281328,150.6514336,159.1858051,163.1591279,160.9126678,154.4700221,151.1968409,151.5304806,159.786474,163.8761054,154.9288932,157.522239,151.5995506,151.8216586,163.9964457,161.7645905,155.1033716,157.5700277,151.9498747,160.0250012,163.935362,161.5880275,157.3932497,151.3277867,151.3006251,158.9958745,160.1305862,153.1447219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4279532296637979e-11,4.288571390855595e-11,3.301641400817061e-11,2.4936525094038617e-11,3.28997369131864e-11,2.518780735133175e-11,3.2787592816136766e-11,2.54295414352799e-11,3.268436606817472e-11,2.5659627827383546e-11,3.258356845149869e-11,2.5881567243327577e-11,3.2487309430131224e-11,2.609443940998272e-11,3.2395598870147874e-11,2.6298319940481058e-11,3.230812388306989e-11,2.6493547524839494e-11,3.222480416779884e-11,2.668037186879969e-11,2.7411794160163186e-11,2.4126954391095334e-11,2.7559969736466508e-11,2.4408309957798754e-11,2.7698069343758965e-11,2.4679772235163955e-11,2.7831576028294893e-11,2.4940672157063653e-11,2.795898125806544e-11,2.5191480333957128e-11,2.8080750093791562e-11,2.543233353223932e-11,2.8196821492781286e-11,2.5663560945240368e-11,2.8307492679238533e-11,2.58853821432799e-11,2.8413162206478745e-11,2.609799859389526e-11,2.8513885078929387e-11,2.630170578205222e-11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0982673322528,11.0982673322528,11.0982673322528,10.6397218782528,9.4394791524078,8.7291922441618,7.690082390852401,5.6551493750912005,5.5961804297068,5.2309489755958,4.972971303175401,4.8866730487326,4.4357394492690005,3.9960402134284005,3.6779472319886,2.1234781429286,0.7417889809358003,0.35688592684820214,7.431986353039798e-15,1.601411062209807e-14,2.8675031620142846e-14,4.6452824699724864e-14,7.079051962655291e-14,1.037690855470893e-13,1.485358537006351e-13,2.1016243325009162e-13,2.9757587776214567e-13,4.2871035761040934e-13,6.472671348272331e-13,1.1360272977800557e-12,140.26727786783837,133.0840061678429,137.14449006784767,132.55173842185263,141.23899684770294,145.56610245595454,144.47101520926972,139.177136125037,138.11367967042779,138.30038602454556,146.2740721970041,150.08664845142093,140.82678705089268,145.37906358674178,140.41468116819044,141.68366395725974,154.3453352192623,152.60980087336011,145.42611880021897,149.4204209002302,143.928589700243,151.47282320025516,155.02935900026793,152.79972650028134,149.25278600029537,143.8343218003101,143.3136134003255,150.4986958003417,151.42155120035855,143.5896737003759,151.3655452,144.1822735,148.2427574,143.1914603,150.678476,154.2952947,152.1610976,144.8322855,143.7098601,143.531335,151.2470435,154.9733215,145.2625265,149.3751038,144.0926284,143.8071421,155.0871242,152.9666868,145.4261188,149.4204209,143.9285897,151.4728232,155.029359,152.7997265,149.252786,143.8343218,143.3136134,150.4986958,151.4215512,143.5896737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4279925329774641e-11,4.288516624664422e-11,3.3017171210512866e-11,2.4936115700382574e-11,3.290073962712635e-11,2.5187103615043608e-11,3.279001608986434e-11,2.5428128854333157e-11,3.26845166265622e-11,2.5659498784206857e-11,3.258373880471333e-11,2.5881429511771417e-11,3.248754128292357e-11,2.6094256820164342e-11,3.2395842755029425e-11,2.629811318567195e-11,3.2308466383427135e-11,2.6493293842514617e-11,3.2225129204397526e-11,2.6680143804356567e-11,2.7411887798093306e-11,2.4126861041370675e-11,2.7558254433440518e-11,2.4408611476532872e-11,2.7698163192039987e-11,2.4679677972152878e-11,2.783168693409815e-11,2.4940567140699352e-11,2.7959144077445308e-11,2.5191355826005634e-11,2.8080793724296855e-11,2.543225175330496e-11,2.819685198913052e-11,2.5663486135705188e-11,2.8307586448183038e-11,2.5885282293191377e-11,2.8413193649647132e-11,2.6097925949055633e-11,2.8513932390636922e-11,2.6301618622810067e-11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.881570887088,11.881570887088,11.881570887088,11.390661797087999,10.105707254013,9.345289073603,8.232839984754001,6.054283625152,5.991152716178,5.600143625993,5.323958171959,5.231569081221,4.748809082115001,4.278076355714,3.9375327199809997,2.2733509048809997,0.7941436348930003,0.38207454474700225,7.956527811228036e-15,1.7144369013095696e-14,3.0698883950478654e-14,4.973141419753658e-14,7.578683698061093e-14,1.1109299396969653e-13,1.590193515963892e-13,2.2499546764449705e-13,3.1857845734561825e-13,4.58968265179008e-13,6.929505403949426e-13,1.2162068604181737e-12,133.55661171300312,126.93056531300763,131.12455501301244,127.78593200301746,136.2199440460977,139.4285081265132,137.969741815368,133.38365457497613,133.68930568395658,132.67841917414827,141.55383572818673,144.1959915189325,135.1033456180466,139.82039614445608,136.11496178019797,136.27092529530728,148.743147165305,146.5945500554612,140.00965390021884,144.1421887002301,138.66127930024288,147.0970513002551,149.48159270026787,146.8162024002813,143.98047550029534,139.80143040031004,138.06880900032544,146.15106460034164,145.49199540035846,138.24160810037583,145.4381826,138.8121362,143.0061259,139.1765938,146.3256513,148.7737972,146.2025818,139.4379382,139.6804584,138.2785628,146.8777939,149.4275606,139.8521547,144.0984725,140.0524945,138.5442762,149.5372908,146.9766246,140.0096539,144.1421887,138.6612793,147.0970513,149.4815927,146.8162024,143.9804755,139.8014304,138.068809,146.1510646,145.4919954,138.2416081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.314063069967908e-11,2.4672478972395746e-11,3.301729152478881e-11,2.493600550428122e-11,3.290106589073338e-11,2.5186963511085287e-11,3.279031153343179e-11,2.542797243607283e-11,3.2684597421678796e-11,2.565943134151465e-11,3.2583800888237756e-11,2.5881388929675346e-11,3.248761440503053e-11,2.6094183227644413e-11,3.2395941177336895e-11,2.6298040352751206e-11,3.230854729456027e-11,2.6493254946037453e-11,3.2225215179662393e-11,2.668012080877141e-11,2.741191684520092e-11,2.412681350513261e-11,2.7558209638002384e-11,2.4408589823325795e-11,2.7698191981838767e-11,2.467962562192826e-11,2.7831727623054155e-11,2.4940512656999722e-11,2.7959189319127263e-11,2.5191302274353305e-11,2.8080813089033468e-11,2.543221587697913e-11,2.819686577149982e-11,2.5663464487542584e-11,2.8307612437872204e-11,2.5885240417581358e-11,2.841321293589157e-11,2.6097880065416105e-11,2.851395352162827e-11,2.6301578841297243e-11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.661541822582398,11.661541822582398,11.661541822582398,11.179723640582399,9.918564549197399,9.1722281852794,8.0803800030492,5.9421672749696,5.8802054567644,5.4964372748014,5.2253663656082,5.1346881837558,4.6608681835770005,4.1988527288572,3.8646154560037993,2.2312518190237998,0.7794372730214002,0.37499909105060225,7.809184721021017e-15,1.6826880735549025e-14,3.0130386166710833e-14,4.8810462191576166e-14,7.438337720234174e-14,1.0903571654665459e-13,1.5607454913697167e-13,2.2082888540261373e-13,3.126788569806893e-13,4.5046885386506805e-13,6.801181244963478e-13,1.1936845138121445e-12,130.4363927775087,123.83350507751324,127.95137737751801,124.87646525952302,134.56291215091332,136.37371101483683,134.76439799707285,130.16372722515857,130.66855114337014,130.67978592533987,139.80129403455123,141.0508301163977,131.8493446165846,136.48049417131296,133.04783604417517,134.20664508116445,145.51343042717667,143.22604450915767,136.6639484002189,140.7220259002301,136.55312100024298,145.24315450025517,146.23837810026797,143.44430570028132,140.56414970029536,136.66701640031002,135.96965850032547,144.3090903003416,142.15051150035848,134.9381522003758,142.0979346,135.4950469,139.6129192,136.0561889,144.4814767,145.5459392,142.844778,136.1058945,136.5487566,136.1762232,145.0266604,146.1855183,136.5102128,140.6793469,136.9124515,136.4378969,146.2928677,143.6010436,136.6639484,140.7220259,136.553121,145.2431545,146.2383781,143.4443057,140.5641497,136.6670164,135.9696585,144.3090903,142.1505115,134.9381522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4787347639810138e-11,3.152340609059064e-11,3.301729643981482e-11,2.4935988532028534e-11,3.290117285874483e-11,2.5186897030640836e-11,3.279043359740446e-11,2.5427895149017068e-11,3.268462670712767e-11,2.565942958007047e-11,3.258383272641323e-11,2.588137384889053e-11,3.248764445622746e-11,2.6094167362248426e-11,3.239602284993844e-11,2.6297973533319952e-11,3.230858939105057e-11,2.649323973438039e-11,3.2225243510910434e-11,2.6680107841332024e-11,2.741193690818669e-11,2.412680316282629e-11,2.7558167476294055e-11,2.4408607457476658e-11,2.7698205714916467e-11,2.4679611444679625e-11,2.7831757776711366e-11,2.4940485179199328e-11,2.795920780974037e-11,2.519129256655104e-11,2.808081905400582e-11,2.5432219683524108e-11,2.8196867890715003e-11,2.5663467984397358e-11,2.8307620876758e-11,2.5885241580945662e-11,2.8413225831992396e-11,2.60978720506214e-11,2.851396674536964e-11,2.630157837171136e-11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.495387645164799,10.495387645164799,10.495387645164799,10.061751281164799,8.9267080983948,8.2550053705588,7.272342006098401,5.3479505499392,5.2921849135288,4.9467935496028,4.7028297312164,4.6212193675116,4.194781367154,3.7789674577144003,3.4781539120075995,2.0081266380476,0.7014935460428002,0.337499182101202,7.028266252160464e-15,1.5144192668978864e-14,2.7117347562546702e-14,4.3929415992679497e-14,6.694503951298369e-14,9.813214493724924e-14,1.4046709428806016e-13,1.9874599695401718e-13,2.8141097141241163e-13,4.054219686655483e-13,6.121063123290262e-13,1.0743160629264217e-12,130.24080055492627,124.16987715493082,127.40053625493563,123.85630671894062,135.3605373017159,136.6797054295575,134.20353239402365,129.92442105018893,129.11070018660573,130.21415355053844,140.12886656896308,140.9503846326419,131.47943243300753,135.17026904245566,131.28271048817132,133.41254316214068,144.97700905415525,141.88739341810705,135.82700790021892,138.99139060023003,135.53503490024292,145.0478992002551,145.62424180026795,142.06965680028128,138.83545600029535,134.51928630031003,134.95592240032545,144.11509080034165,140.7882612003585,134.11178070037596,140.7361882,134.6652648,137.8959239,133.918058,144.2872454,144.9347108,141.4758744,135.2723716,134.4028851,135.1609471,144.8316963,145.571604,135.6742138,138.9492365,134.7608644,135.4206698,145.6785026,142.2248926,135.8270079,138.9913906,135.5350349,145.0478992,145.6242418,142.0696568,138.835456,134.5192863,134.9559224,144.1150908,140.7882612,134.1117807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4279355854900712e-11,4.288597330241211e-11,3.3017203995725325e-11,2.493606033037985e-11,3.290110362201812e-11,2.5186913174669882e-11,3.279039270197292e-11,2.542793653728087e-11,3.268461572233456e-11,2.565943808457459e-11,3.258383097417806e-11,2.588136845849209e-11,3.248762647969158e-11,2.6094201269968545e-11,3.2395967057313824e-11,2.6298043499885575e-11,3.230859324878673e-11,2.6493226648008453e-11,3.222523767515906e-11,2.668010340941164e-11,2.7411933740304573e-11,2.4126819939651644e-11,2.7558071376582133e-11,2.440871349300919e-11,2.7698199419931514e-11,2.4679639197634694e-11,2.7831736947807123e-11,2.4940522412350444e-11,2.7959198843331303e-11,2.5191310969107877e-11,2.8080813569389076e-11,2.5432221794157536e-11,2.8196865048854256e-11,2.5663463585833942e-11,2.830761767943843e-11,2.5885253973139954e-11,2.8413216968689383e-11,2.6097891565385513e-11,2.8513963742816152e-11,2.630157977811338e-11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.738487554835201,9.738487554835201,9.738487554835201,9.3361239188352,8.2829371016052,7.6596758294412,6.747879593901601,4.962270250060801,4.9105262864712005,4.590043650397201,4.3636738687836,4.287949032488401,3.8922646328460004,3.5064381422856004,3.2273184879923997,1.8633057619523998,0.6509036539572003,0.31315961789880187,6.521405949237636e-15,1.4052032837760076e-14,2.5161714906229657e-14,4.076134063833049e-14,6.21171371841126e-14,9.105510958815852e-14,1.30336972376465e-13,1.844129519886466e-13,2.6111634324973265e-13,3.7618398955708454e-13,5.679627953140448e-13,9.968391795026671e-13,133.2896684452559,126.28256364526042,127.91681234526521,124.40222498127024,138.36370689850554,139.01877337067506,137.03200890622045,131.67199995006735,129.31199901366332,132.64863014974404,142.8363239313959,143.0350558676651,133.14789346731558,135.20033625788446,131.35270571218652,135.6390833382359,146.78028604624086,144.22794518230947,137.19449050021893,138.74885500023012,137.618512200243,147.41973620025522,147.376276100268,144.38334090028138,138.5931925002954,134.33877030031,137.0304975003255,146.47167440034175,143.0810771003586,135.46199470037604,143.028156,136.0210512,137.6552999,133.7383489,146.646644,146.6784492,143.7798885,136.6342702,134.2225253,137.2386738,147.1999978,147.3230049,137.0401581,138.7067744,134.5800242,137.5023891,147.4311897,144.5411048,137.1944905,138.748855,137.6185122,147.4197362,147.3762761,144.3833409,138.5931925,134.3387703,137.0304975,146.4716744,143.0810771,135.4619947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4279335321847781e-11,4.2885948589117884e-11,3.30170689943865e-11,2.4936159853263988e-11,3.2900546711999036e-11,2.5187060319123997e-11,3.279032259936501e-11,2.542802028282838e-11,3.268460428274812e-11,2.5659463648662802e-11,3.2583829791377346e-11,2.58813754351054e-11,3.248760020292043e-11,2.60942362651347e-11,3.239595694966484e-11,2.6298065263478726e-11,3.230859696013085e-11,2.6493230233068362e-11,3.222521567306937e-11,2.668011701857694e-11,2.7411923323192397e-11,2.4126839475505446e-11,2.755787811302372e-11,2.440894213477699e-11,2.7698188785333367e-11,2.4679664710516942e-11,2.7831728502110004e-11,2.4940544018269525e-11,2.795918705173571e-11,2.5191334954089784e-11,2.8080806319954086e-11,2.5432244637374957e-11,2.8196860326026718e-11,2.5663486605168497e-11,2.8307609892591493e-11,2.5885278469472546e-11,2.8413212669165762e-11,2.6097914170507157e-11,2.851395885490805e-11,2.6301602217112266e-11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7340869774176,9.7340869774176,9.7340869774176,9.3319051594176,8.2791942508026,7.6562146147206,6.744830396950801,4.960027925030401,4.908307343235601,4.5879695251986,4.361702034391801,4.2860114162442,3.8905058164230004,3.5048536711428007,3.2258601439962,1.8624637809762,0.6506095269786003,0.3130181089494019,6.5184590900267345e-15,1.4045683077796936e-14,2.5150344960559864e-14,4.074292161442004e-14,6.208906801324811e-14,9.101396407590578e-14,1.3027807637910516e-13,1.8432962041714079e-13,2.6099835134626705e-13,3.760140014803954e-13,5.677061472219235e-13,9.963887329669398e-13,140.3735220226735,132.44203042267807,130.1235346226828,126.50985804068785,145.98335964930814,145.30419008539567,144.15171960317127,137.85705717509776,131.42524725689896,139.70841197494272,150.48294336578763,149.3465541839406,139.35083398377,137.42106482902727,133.4708161561828,142.71119491924017,153.0947740732194,151.38242609128486,143.4026558002439,140.96867220023,144.69575360024288,155.07579560027594,153.68811820026787,151.5298714002813,140.8105193002953,136.45162800031005,144.07749940032542,154.07849740034163,150.16314960035854,141.59176310037603,150.107609,142.1761174,139.8576216,135.8417632,154.2625539,152.9604047,150.89655,142.8170851,136.3335546,144.2963815,154.8446454,153.6325656,143.2413398,140.9259185,136.6966763,144.5736587,153.7453836,151.6954442,143.4026558,140.9686722,144.6957536,155.0757956,153.6881182,151.5298714,140.8105193,136.451628,144.0774994,154.0784974,150.1631496,141.5917631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4279277146558335e-11,4.2885997744680645e-11,1.5349908495481063e-11,4.1711880288605335e-11,1.517209140185734e-11,4.2029719618374437e-11,3.279036603161746e-11,2.5427997563946354e-11,3.268460444878909e-11,2.565946884622259e-11,1.6516793160939005e-11,4.079617246471044e-11,3.2487408455431026e-11,2.6094403591987792e-11,1.7405972933750413e-11,4.001525790945525e-11,1.7851071799894967e-11,3.962943208637875e-11,3.2225227448460867e-11,2.6680111680389236e-11,2.7411922285442972e-11,2.4126822330294368e-11,1.6497819526480145e-11,3.613709301841132e-11,2.7698176636051532e-11,2.467967524331217e-11,2.7831742156402796e-11,2.494052356244049e-11,2.7959192013139717e-11,2.5191334418347063e-11,2.8080809571393594e-11,2.5432244569272033e-11,2.8196842676341953e-11,2.5663509920344264e-11,2.830762379089446e-11,2.58852757856229e-11,2.8413217063146623e-11,2.6097921303095143e-11,2.8513974707609723e-11,2.6301599263418756e-11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.896908487087998,9.896908487087998,9.896908487087998,9.487999397087998,8.417679854012999,7.784279673603,6.857650784754,5.042994025152,4.990408316178,4.664712225993,4.434659971959,4.357703281221,3.955582082115,3.563479155714,3.2798189199809995,1.8936171048809998,0.6614922348930002,0.31825394474700186,6.627492978076547e-15,1.4280624405975367e-14,2.5571033325550828e-14,4.142442610693512e-14,6.312762826151776e-14,9.253634938706085e-14,1.324572302249884e-13,1.8741289131280036e-13,2.653640556682309e-13,3.823035659275057e-13,5.772021350998089e-13,1.0130552696535981e-12,152.16312961300318,143.9777084130077,135.62761301301242,131.00986530301745,159.78250014609773,158.07120332651326,156.05414821536812,149.52533057497615,136.01610448395655,149.95466917414828,164.40020352822052,162.2266060189651,151.07190561807806,143.0726256444864,138.10226188019797,153.02287789533545,166.0451460653322,163.45605185548732,155.20207710024397,146.68059090023007,155.04732470026457,169.08689810027604,166.644545200288,163.59554920028137,146.51602980029537,141.12863320031005,154.38484040034257,167.99949400034785,162.12000110035854,153.24218090037604,162.0600381,153.8746169,145.5245215,140.4978647,168.20018,165.855483,162.911799,154.5683246,141.0065128,154.6193814,168.8348635,166.5843093,155.0274877,146.6361048,141.3820808,154.916495,166.7066383,163.7743058,155.2020771,146.6805909,155.0473247,169.0868981,166.6445452,163.5955492,146.5160298,141.1286332,154.3848404,167.999494,162.1200011,153.2421809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4279238249210598e-11,4.2886040234600166e-11,1.4724734303969147e-11,4.245490720058625e-11,1.517206585956084e-11,4.202971087832005e-11,1.5623117926424133e-11,4.160629540495448e-11,3.2684617794357633e-11,2.565946619274689e-11,1.6516554258928657e-11,4.079630982028572e-11,1.696252200511743e-11,4.040131357312245e-11,1.7405833452417275e-11,4.0015363065594266e-11,1.7845578056050994e-11,3.9638906103235094e-11,3.2225276600449516e-11,2.6680073365973307e-11,1.604995346236764e-11,3.639638674876863e-11,1.6497684070634228e-11,3.6136249560602865e-11,1.694388379200619e-11,3.588607711297058e-11,2.7831810149274607e-11,2.4940415089094703e-11,2.7959209721854305e-11,2.519132455931327e-11,2.8080810947420647e-11,2.5432244926291373e-11,1.8715790802500125e-11,3.49423330850002e-11,2.4624363821842997e-11,2.899358932973836e-11,2.8413218555085297e-11,2.6097938059934384e-11,2.8514060134681756e-11,2.630154899549601e-11
