fast_slow_2055,linear_red_2055
143.99999999999997,135.26668153476726
99.44103937433114,103.94604426547838
102.7630912017602,109.02007286714557
108.26527167486573,111.6025567061779
103.83207566740683,106.88182762519399
114.50653983000005,118.14964320738214
106.31568414674145,105.65184615490516
104.26730082999995,106.31882937271638
97.71379227176132,108.57887542231562
72.73734648324596,114.06218526214424
90.57788346999997,111.72413793000004
86.45992865999999,108.4965517199999
82.56456599000003,105.26896551999991
78.89179548000001,102.04137930999985
53.64769590061806,90.41329134862373
72.21403092,95.58620690000005
55.95282090170806,87.0597039833339
66.42663496000002,89.13103447999997
45.39831910857678,70.2526347652762
28.029111952879532,47.28302186784445
59.414982160000015,79.4482758600001
33.51619048528059,52.783812509647866
54.87228286103264,72.99310345000002
49.902550730960535,61.663692580095564
26.386818992864967,37.2741728495963
52.18073722000001,63.3103448300001
26.588792153196255,41.251085224467936
40.7604819128169,55.59413053681968
40.26833145620129,50.287707500039005
34.55261962006941,37.75658065039138
