,year,total_fossil_gen,total_curtailment
0,1,75502.623151153,4.872589488513768e-05
1,2,71391.0702681728,5.1206472562626004e-05
2,3,65704.49737394729,97.32684978314501
3,4,59422.684470657194,1817.1410872160923
4,5,56708.389760751816,6747.648306401898
5,6,56594.29565608445,14278.919068787218
6,7,54072.572570092205,28204.18930811083
7,8,53027.5462897731,44789.41942116646
8,9,51693.43816802752,67162.22405789839
9,10,52299.53620384573,92525.900908031
10,11,51436.013866722285,128159.73948851114
11,12,52317.143668152494,169525.29541000564
12,13,51050.277675195444,225924.77922801313
13,14,50478.78990669524,294489.17677109275
14,15,49741.49312141757,381552.94813267695
15,16,49751.14042856658,487378.84151239693
16,17,50315.9699446022,619470.8651666883
17,18,48855.136176068925,789065.9640879303
18,19,47687.52783724759,998030.9484477062
19,20,46067.79089318857,1260902.5099745162
20,21,44699.138626685395,1584020.1052466673
21,22,42104.0533757793,1989215.882470119
22,23,40669.041661590345,2435251.550843901
23,24,36459.64783066665,2931442.224862073
24,25,31941.411202664964,3474154.1583537385
25,26,28749.398501751075,3855580.3553077728
26,27,30163.138971018518,3852188.7878834186
27,28,30571.011841090793,3852861.5347690983
28,29,31848.054966677537,3851265.1715662554
29,30,32410.213483345135,3850139.807381352
