,year,total_fossil_gen,total_curtailment
0,1,1261958.0312173222,0.002480859402567148
1,2,1245088.722481308,0.0026054098270833492
2,3,1189410.350855051,0.0027371193282306194
3,4,1149654.4787355901,0.0028748614713549614
4,5,1132635.8213501931,0.0030189650133252144
5,6,1075354.174227893,50.52133649936877
6,7,987912.9055260535,7860.702260187594
7,8,939260.7071857111,27526.941815740895
8,9,868744.9917067447,96514.03725365154
9,10,843795.3292461974,182872.05710038194
10,11,824601.6276642093,290686.7246450328
11,12,801919.9041501982,414774.4850461846
12,13,777591.6685875057,561897.3449762445
13,14,751153.8160296158,738697.8308733795
14,15,739834.2453862295,933815.7278028647
15,16,735868.7896445913,1124711.9225121657
16,17,734472.5491506725,1336949.4923238074
17,18,718845.3860131929,1605806.54651124
18,19,704710.5877045189,1882879.556355543
19,20,684327.1841041583,2218642.1980907614
20,21,678307.2044364215,2549319.2467835536
21,22,671629.3911926335,2909997.4002336143
22,23,658982.9275733414,3300292.681184437
23,24,642535.1068780334,3742281.131781144
24,25,621484.4279763389,4214792.984688884
25,26,610153.6483735658,4724743.979021969
26,27,597050.41734112,5256565.216224529
27,28,585658.2293092986,5847519.965039936
28,29,566760.2551074238,6509479.277860656
29,30,547072.0247118314,7221985.482834504
