MEX_2050_highIR,MEX_2042_highIR
144.2421500000005,143.31047800010487
146.34412365587218,145.06355500009752
152.46118083972075,150.76917900010494
152.56165269869965,150.40594218125617
156.7325189923786,153.951398571075
162.13540691584285,158.50754699960467
164.9708231827542,160.19204957957422
168.10610696877941,161.75670553120455
170.2537393314004,161.75226192355333
177.28281854627005,165.820617998133
175.61811768435166,162.57922354222066
178.26671000247933,163.2281002304155
174.7045436698563,157.1352396310606
173.54815168911594,152.78439467178492
163.1510496327556,143.83890801945583
154.23088250817668,143.0960709865196
155.40614588416537,132.49043827306897
157.37442574574024,121.12179200008704
158.83338195267353,108.62571776493425
162.83385029847383,94.7860124582626
163.00440193486216,82.84549481406457
156.61013432482386,71.4884769451035
154.16871734754685,62.45195089429095
148.38423758651763,55.159969595446896
141.61951933912084,49.81190700007602
130.01326580023166,43.21663200007038
122.80677121843972,38.79666200006931
109.8660649915804,34.370825000068436
97.56852600000033,30.733047656995566
84.19489100000027,28.62048100006602
