,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,MEX-WECC,253379.97441295628,253379.97441295628,102.86416145247898,46989.067303364056,46989.067303364056,16.98668879736802,374416.17568612914,374416.17568612914,93476.79041948917,93476.79041948917,59.999999999756376,67.53299999975637,118215.69954277074,118215.69954277074,2.6714400429333446e-14,7.217000000000026,5868.250173035064,5868.250173035064,23.435113833454317,2.1422236255686329e-13,4.697000000000213,8128.265860908735,8128.265860908735,17.284364718993668,21.981364718993667,38359.457256364876,38359.457256364876,2.969709053572609,0.08790793730322122,0.056433468335291274
1,2,MEX-WECC,260534.4771302922,248128.07345742112,105.76866061163042,46806.49426531001,44577.61358600953,16.92068809639237,379874.37278915837,361785.1169420556,94258.17065420083,89769.68633733412,1.0658543564406892e-10,67.53299999986297,118215.69954295731,112586.3805171022,6.052061205124204e-14,7.217000000000087,5868.250173035114,5588.809688604871,22.949365514076874,4.825660507060957e-14,4.697000000000262,8128.265860908821,7741.205581817924,0.5640084438588504,22.545373162852517,39343.70268748398,37470.19303569903,2.8173051786358037,0.08802927935216205,0.05706211185349768
2,3,MEX-WECC,273408.0486288631,247989.15975407083,110.9949186857624,44613.756687531044,40465.99246034562,16.128006883812525,395341.54777322913,358586.43788955023,95288.08910061957,86429.10576019915,8.735234916221215e-11,67.53299999995032,118215.69954311024,107225.1243021408,9.963579192572567e-14,7.217000000000186,5868.250173035195,5322.675893909473,22.936517385654035,9.97243126084079e-15,4.697000000000272,8128.265860908837,7372.576744588513,1.8562587607303338,24.40163192358285,42583.04107703635,38624.073539262,2.557450723493841,0.08838104611214408,0.05728781493801701
3,4,MEX-WECC,274524.73060567956,237144.78402391062,111.44825583452649,44413.983839481436,38366.469141113426,16.05578839992405,396162.01080828754,342219.64004603174,95073.26788676542,82127.86341584314,1.6657023960785918e-11,67.53299999996698,118215.69954313939,102119.16600206404,1.4763970427584668e-13,7.2170000000003345,5868.250173035316,5069.215137056746,21.933521074371484,8.284150478289987e-14,4.6970000000003544,8128.26586090898,7021.501661512994,3.4043014452133716e-10,24.40163192392328,42583.04107763043,36784.831942667464,2.4247608497183673,0.0884112051477617,0.05740173260210614
4,5,MEX-WECC,284717.97013907036,234238.1786511343,115.58638490141823,46927.53398311616,38607.398343789806,16.96444431749845,406435.13927540835,334375.19492426165,97140.76079378958,79917.9443082169,1.1287721963547015e-11,67.20899999997826,117648.5414626356,96789.74621696564,2.0210253430895083e-13,6.893000000000536,5604.8009481410145,4611.083610751499,21.664689143443432,1.5216978090082153e-13,4.5540000000005065,7880.801092310159,6483.554561986134,9.73262859256793e-11,24.258631924020605,42333.49322407122,34827.86964202876,2.4399875753275166,0.08834549192351167,0.058182659658394024
5,6,MEX-WECC,297945.8255108707,233448.3504778129,120.95647089099732,51697.3358989179,40506.21541351138,18.688742019466517,420683.0993580875,329616.2161381121,101838.64234628459,79793.24103593682,9.435532746052841e-12,67.1149999999877,117483.9955997842,92051.7846936962,2.709104968712797e-13,6.799000000000808,5528.368148326174,4331.621102084339,21.591637935692944,1.5064651368325253e-13,4.533000000000658,7844.460112306358,6146.3397598101365,3.35645033699345e-11,24.23763192405417,42296.846336519244,33140.6858637584,2.5599928141339197,0.08815925615712364,0.05899138460682767
6,7,MEX-WECC,306785.17489718826,228927.82096814245,124.54496388266178,51068.71105455822,38108.25847529848,18.461492252355963,429154.4170030792,320241.63350231334,101197.18405026916,75514.89683458139,3.0338580977776604e-12,67.03299999999074,117340.45559175577,87561.2546109246,3.48354956351051e-13,6.717000000001155,5461.69272721119,4075.599204743281,21.1735341613435,4.821734884799451e-14,4.533000000000706,7844.460112306443,5853.656914104955,6.304376475024404e-11,24.237631924117217,42296.846336629256,31562.55796556628,2.408441935638864,0.08831007460164984,0.05958708015988465
7,8,MEX-WECC,317764.2410043319,225829.11346474706,129.0021133920465,52411.83800970536,37248.11475130186,18.94703667602251,436243.92799642915,310030.41500969115,102477.20270712793,72828.63472791575,1.958320861606404e-12,65.81899999999268,115215.36327769878,81881.40762562011,4.476210784606413e-13,5.503000000001603,4474.571248748961,3179.9942468229096,20.88693470435443,7.253306124783322e-14,4.515000000000779,7813.310700874517,5552.774041617413,2.2290808945484745e-10,24.219631924340124,42265.434719066354,30037.25536467389,2.3540808522822765,0.08834293912185479,0.060703842765542505
8,9,MEX-WECC,326122.18909732945,220732.3344120353,132.3951728634646,52827.027939403866,35755.411888377734,19.097129081178323,444280.3402784083,300706.42207592586,102561.68769824333,69417.78727026445,1.407315525311703e-12,65.51199999999409,114677.96349152616,77618.55964835362,5.729178030119726e-13,5.196000000002176,4224.944977013004,2859.6090628477873,20.415533609769135,0.0,4.416000000000778,7641.988937998227,5172.398917425003,1.2604263269790803e-09,24.12063192560055,42092.67082253041,28489.97646560501,2.2597420313454735,0.08840685751340353,0.0612639623902732
9,10,MEX-WECC,347796.17444157245,224192.51507147794,141.19411734569627,58342.750608232884,37608.257238738224,21.09107937312801,465553.1524597542,300099.713048861,106579.42127470627,68702.04523900844,1.0002639607541995e-12,65.0649999999951,113895.49539895378,73418.0518512087,7.235774115689638e-13,4.7490000000029,3861.4826204462292,2489.146126959703,20.73556571896099,5.5334271467027785e-14,3.985000000000834,6896.1335864863995,4445.3091972781485,1.0884699547053264e-10,23.689631925709396,41340.537081760805,26648.478804135488,2.3768418574882553,0.08828242702455671,0.06266891916065317
10,11,MEX-WECC,314717.4082169631,193209.18802439107,127.76519677902412,98159.6415040601,60261.50488215207,35.48500488264223,467041.73056302086,286723.10834925075,106735.79417421001,65526.51867074607,4.790006662330735e-13,64.36299999999557,112666.6528911536,69167.55144195548,7.274386872759698e-13,4.047000000003627,3290.675966508813,2020.1895889478074,17.869917800375934,0.0,3.8070000000008335,6588.100517880546,4044.5222235856063,4.1843152764200035e-11,23.51163192575124,41029.91108208718,25188.80620489219,3.8085271085520094,0.08552643566142369,0.06154284702109076
11,12,MEX-WECC,331255.55166349496,193678.26045254784,134.47915379772576,104660.10264128695,61192.594408021214,37.83494108513316,482258.77962185425,281966.72042499855,112079.27607091668,65530.4314544661,4.224176204848607e-13,63.58299999999599,111301.27232693102,65075.54877852598,1.1900684679103298e-12,3.2670000000048174,2656.4463510231058,1553.16916401245,17.913302309256146,2.989129987853208e-15,3.6780000000008366,6364.863069284175,3721.403614481591,1.0882321955821734e-10,23.382631925860064,40804.79448695508,23857.718231951072,3.8673719665869406,0.08545768910202986,0.06267871307157673
12,13,MEX-WECC,338493.5380985805,188485.86782460086,137.4175446748045,104097.31757186276,57965.28155592553,37.631492594181104,488625.7698542333,272085.11214065354,111173.78134071667,61905.721370801184,3.838946561134036e-13,63.45399999999638,111075.459387464,61850.972028201795,1.6105144869991217e-12,3.138000000006428,2551.554530001619,1420.8010368253572,17.433057915097333,0.0,3.4150000000008367,5909.735557804742,3290.7618901201104,6.950509451535368e-10,23.119631926555112,40345.8358480929,22466.07106786767,3.6634057943344933,0.08560099542022581,0.06316479852944314
13,14,MEX-WECC,357750.56471655756,189722.76267460166,145.23528125685147,78744.90200066697,41760.102785425064,28.466518307947126,508220.45096948347,269520.15598369716,112974.79703528751,59912.94695263169,3.6219598729293097e-13,63.45399999999674,111075.45938746464,58905.6876459068,2.267214958654207e-12,3.138000000008695,2551.554530003463,1353.143844596556,17.547458319773906,0.0,3.0250000000008366,5234.831643443605,2776.142987551739,16.55158690609527,39.28121883265038,68549.2577031382,36353.13493086061,2.639238496038865,0.08720600885813157,0.061277074574118774
14,15,MEX-WECC,364652.1841716039,184174.1322148968,148.0371179037776,75823.13059978049,38295.833361742996,27.410289181212477,509221.18790452083,257191.30299688264,113159.62907680168,57153.30221955238,3.5951400093602917e-13,61.092999999997105,106942.55744883545,54013.25857878896,3.3748463622993233e-12,0.7770000000120701,631.7902708215407,319.09701880631985,17.034265488555796,0.0,2.7180000000008366,4703.561126241376,2375.6179898200276,2.532017847539563,41.50623668018994,72432.113845532,36583.1394711012,2.4202966684621594,0.08744803868959093,0.0618892827622187
15,16,MEX-WECC,389713.8027840589,187459.0025011846,158.21133308863887,78665.68989567111,37839.54187293986,28.437882894354797,533169.7841134876,256463.78234405874,117662.3769139529,56597.615097635564,3.6562092019439234e-13,60.638999999997466,106147.83594094198,51058.92401294828,5.622342278603098e-12,0.3230000000176924,262.63611001720136,126.33245949437493,17.338083141334565,5.035338211722916e-14,2.4240000000008872,4194.787406184605,2017.7644652314657,1.6180864225213776,42.830323102711326,74742.76366995143,35952.547283819214,2.391459046369799,0.08757065982167217,0.06302131897746628
