,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
16,17,MEX-WECC,396759.97348769126,181760.31531971376,161.07185291685101,82227.68902388819,37669.45176856896,29.725556265202652,539123.5874406751,246978.72718391134,121753.03351477502,55776.46749052352,3.3087439220271226e-13,60.1649999999978,105318.10467499147,48247.437225909925,1.239472197314106e-11,3.0087142004138114e-11,2.446430321074039e-08,1.1207379178331376e-08,16.81101156392032,7.569565657751897e-14,1.5770000000009627,2729.034546020933,1250.202169444759,2.071244474355036,44.05456757706636,76879.18032040555,35219.238306032275,2.3807093517735582,0.0874617932213933,0.06339022832071149
17,18,MEX-WECC,405773.2435559331,177037.5220845672,164.7309521399151,77805.61926352707,33946.33396218836,28.126964780622824,548695.5857853708,239394.06658485616,121064.52021838333,52820.04915847829,3.6566596340422063e-13,59.99999999999817,105029.2741710218,45823.92442298936,1.042360421135617,1.0423604211657038,847.5587809159653,369.7870886691318,16.374200417601624,1.1165613893382822e-13,0.8930000000010747,1545.356911603131,674.2341017089901,3.8566002164936077,47.22716779355997,82415.65287121867,35957.676354998934,2.145408306410303,0.0877773734494067,0.06337684501278022
18,19,MEX-WECC,397265.76182083355,165072.12950822228,161.27718679488018,80881.17975394489,33607.80077781379,29.238789124590348,557320.5149268375,231578.18533348237,122576.23604638335,50932.95787318439,4.110069578394666e-13,59.99999999999858,105029.27417102252,43641.8327837997,21.178665242012155,22.221025663177862,18068.24687445748,7507.729773581926,15.267521258215476,1.7248542127067445e-13,0.18400000000124664,318.41620575202734,132.30851033450162,0.5395228926088613,47.057690686168826,82119.90008516506,34122.51466104006,2.1240130091578315,0.08753543572486168,0.061560524905209836
19,20,MEX-WECC,409981.68393297325,162243.6740871452,166.43944426290136,72963.68326884577,28874.207098489907,26.376590392737548,578237.6129490834,228828.25866820314,124517.65061733333,49275.86259721409,9.123620045849251e-13,59.99999999999949,105029.2741710241,41563.650270286045,10.099070469007529,32.32009613218539,26279.951464626047,10399.869183301984,15.005917416320063,1.2057877495560084e-13,1.3679523836608478e-12,2.3672728676727046e-09,9.368102592622729e-10,6.702492110149303,53.576182796318136,93495.25473997247,36999.24712052905,1.8248498886245619,0.08806484877569723,0.06051966158704159
20,21,MEX-WECC,424487.06230818335,159984.70939961032,172.32816371112855,70995.91377337591,26757.613228143775,25.66523581681671,592841.7972196584,223435.8383796172,127432.48426498333,48027.96309585133,59.99999999975188,59.999999999995,105029.27417101624,39584.428828840886,1.2201014159128627e-11,32.32009613219756,26279.951464635935,9904.637317434186,14.796985772369954,1.2042772875795443e-12,2.3580073086835292e-12,4.080585545442782e-09,1.5379297760409704e-09,20.54086462819841,56.83268270552288,99178.13979599252,37379.19782001776,1.691081156018686,0.08829314478033672,0.06073762630145229
21,22,MEX-WECC,423939.97973488935,152170.01879187877,172.10606569301356,66591.24391211817,23902.418554198142,24.072934447962457,592294.7146458251,212599.6654393108,127470.38989519166,45754.523170684304,1.054144398414364e-10,59.999999999993825,105029.27417101421,37699.45602746678,2.729237512076733e-11,32.3200961322248,26279.951464658086,9432.987921373842,14.07420503806086,1.1188911288353757e-12,3.4286418324482954e-12,5.9333430606710206e-09,2.1297281884232443e-09,3.768397912402161,60.037072174066196,104770.087449048,37606.4229326007,1.5106328526253225,0.08851378515340028,0.06032353481294881
22,23,MEX-WECC,419884.42976924684,143537.43818789665,170.4596421845616,66948.03686572451,22886.177772050316,24.201916171069996,610227.1120079583,208606.05957348197,133687.71965480832,45701.12972986064,8.35731607113495e-11,59.999999999990045,105029.27417100758,35904.243835680376,27.041624196149154,59.36172032837385,48267.89879293857,16500.374979988148,13.275777657998558,1.6116005102468523e-12,5.0302699114343075e-12,8.704997060307862e-09,2.975802122875663e-09,5.954299394384713,64.13511280772057,111921.53671214491,38260.36289686333,1.446406435193579,0.08846210922814772,0.057891340522155776
23,24,MEX-WECC,399472.727441889,130056.857503458,162.17314421412888,63050.61462518305,20527.470934810557,22.792986338847566,620596.6214081334,202048.45240491748,132668.32425344168,43192.99956506396,1.4320570581289459e-11,59.99999999998771,105029.27417100349,34194.51793874189,38.76129247008874,98.12301279846244,79785.28291995247,25975.798743614654,12.028958750494834,1.5143384380674525e-12,6.46176684471886e-12,1.1182235223563526e-08,3.6406149234623534e-09,1.752405755706897,65.88751856308704,114979.64227238354,37434.07227466684,1.2973361630800277,0.08849722312928415,0.05433948790682439
24,25,MEX-WECC,404568.0991254185,125443.58506284253,164.2417020657479,61147.31302094289,18959.81956780284,22.104937099009927,638102.0321649875,197854.96366051,134118.43330885,41585.82234645809,7.894562766614708e-12,59.99999999998431,105029.27417099754,32566.207560704715,18.163442802444333,116.28645560090658,94554.24874624523,29318.23831709414,11.602277182462302,1.7570347332276787e-12,8.066631797045717e-12,1.3959490706503002e-08,4.3283901119754596e-09,1.971054681486582,67.85857324447629,118419.30986205675,36718.02794604154,1.1982605966851398,0.08864429347693445,0.05346013932135575
25,26,MEX-WECC,404565.2645053111,119469.24394105653,164.24055130069215,58919.4373574882,17399.07315853892,21.299553363044048,637968.5620221667,188393.88462118132,133877.9137434833,39534.518997564504,5.030384321544067e-12,59.999999999979906,105029.27417098984,31015.43577209745,3.620379434913922e-11,116.2864556009425,94554.24874627445,27922.13173057447,11.049710372108315,1.7444797511352144e-12,9.66046503449768e-12,1.6717655554695858e-08,4.936770021590172e-09,1.2067130639943464,69.06528630843707,120525.13262554073,35591.40572356252,1.0996214236196589,0.08876657544409805,0.053303281218299026
26,27,MEX-WECC,429013.31656996056,120656.02045557972,174.1656781012738,56639.90110792572,15929.447415102475,20.475494170218486,665572.8589337501,187186.20000946656,138849.59830930832,39050.16307605678,3.571703852831122e-12,59.999999999980446,105029.27417099077,29538.510259140694,1.1075810209333113e-10,116.28645560105292,94554.24874636425,26592.506410096183,11.15947533193657,1.704836227902129e-12,1.1317083913551813e-11,1.9584472390793794e-08,5.507951408799715e-09,6.967644138514441,76.03293044688846,132684.297942312,37316.22946965369,1.0067410766344769,0.08907401788958913,0.05377657350322545
27,28,MEX-WECC,427122.85110883473,114404.13767609012,173.3982096189513,52511.04022113623,14064.9938521852,18.982898573061433,663751.8832984334,177784.82617472723,138547.0738168792,37109.60082425291,2.3855169241469134e-12,59.99999999998087,105029.27417099153,28131.914532515148,5.687479998021004e-10,116.28645560162121,94554.24874682631,25326.196581167744,10.581238693661566,1.5973182904220082e-12,1.2841869142725988e-11,2.2223148082408395e-08,5.952432856766441e-09,3.3830541495544924,79.41598459622006,138588.0315228353,37120.57127694337,0.8889076114581054,0.08928328672164455,0.05337572716659659
28,29,MEX-WECC,363111.5696354349,92627.45098703705,147.41167770175815,52584.29712378101,13413.919609917873,19.00938116313819,680389.9604869292,173563.1496962495,141703.67852729585,36147.70675208214,2.413308944979669e-12,59.99999999998188,105029.27417099329,26792.299554776775,109.59693769082368,225.88339329244434,183669.15086242612,46852.831724477954,8.567112941791052,1.811373300748451e-12,1.465324244347444e-11,2.53577709825222e-08,6.468606029772925e-09,1.3046713083242685,80.7206559032839,140864.80022563005,35933.71423498979,0.8477597193468085,0.08878490166750276,0.04489454108665799
29,30,MEX-WECC,354324.11758171144,86081.74083945931,143.84425336641218,54050.97250736901,13131.484921929106,19.53958871433143,687950.9843993626,167135.1607491409,142897.5025869375,34716.42254625242,2.6967401644202697e-12,59.99999999998358,105029.27417099626,25516.47576645479,32.53279917787158,258.4161924703152,210122.05434099823,51048.38008173508,7.961700210241586,2.331423479876544e-12,1.6929331651883956e-11,2.9296595383011243e-08,7.1175000687253324e-09,0.7123907025020615,81.4330466056771,142107.9860354115,34524.61240462058,0.8299098470659196,0.08861328708786935,0.043554823369612625
