,year,total_fossil_gen,total_curtailment
0,1,1261958.0287400945,1.5459954738616943e-07
1,2,1245088.719885097,1.6111880540847778e-07
2,3,1189410.348135177,1.708976924419403e-07
3,4,1149654.4758887987,1.778826117515564e-07
4,5,1132635.818373116,1.8719583749771118e-07
5,6,1075354.1711140191,50.51816446427256
6,7,987912.9022597526,7860.698919181945
7,8,939260.7037490751,27526.938299370697
8,9,868744.9880883163,96514.03355313675
9,10,843795.325447985,182872.05322185392
10,11,824601.6236726833,290686.72058088006
11,12,801919.8999636031,414774.4807999802
12,13,777591.6641943579,561897.340563341
13,14,751153.8114224883,738697.8263102863
14,15,739834.2405552134,933815.7231101952
15,16,735868.7845778893,1124711.9177563419
16,17,734472.5438366696,1336949.487574195
17,18,718845.3804396009,1605806.5418285213
18,19,704710.5818596407,1882879.5518867928
19,20,684327.1779752017,2218642.1940813786
20,21,678307.1980019936,2549319.2435336937
21,22,671629.3844380724,2909997.3982146913
22,23,658982.9204797454,3300292.680964591
23,24,642535.0994231624,3742281.1339613404
24,25,621484.420158316,4214792.990368297
25,26,610153.6401436856,4724743.990339361
26,27,597050.4086900735,5256565.235668402
27,28,585658.2201411859,5847519.995641026
28,29,566760.2454813785,6509479.317640128
29,30,547072.0142434599,7221985.542387073
