,year,total_fossil_gen,total_curtailment
0,1,355615.0460836867,5.820766091346741e-11
1,2,361073.7682641574,0.0
2,3,376542.4311460906,0.0
3,4,377362.97311878664,5.820766091346741e-11
4,5,388457.9314822613,1.7462298274040222e-10
5,6,402945.4075461872,0.0
6,7,411625.2840407448,0.0
7,8,421791.0996435771,1.1641532182693481e-10
8,9,430606.0577805928,0.0
9,10,453013.3737770954,0.0
10,11,456280.58528488403,0.0
11,12,473475.198322495,0.0
12,13,480169.61769012216,2.3283064365386963e-10
13,14,499766.1837602719,0.0
14,15,506748.5202643857,0.0
15,16,531849.6119202417,0.0
16,17,538886.6197794046,0.0
17,18,548748.3695133373,0.0
18,19,557374.1283655041,0.0
19,20,578293.2385530582,0.0
20,21,592898.827721104,0.0
21,22,592351.6925559414,0.0
22,23,610285.8149053378,3.4924596548080444e-10
23,24,620656.3219174288,0.0
24,25,638163.41663737,0.0
25,26,638029.9336772709,0.0
26,27,665636.8860569295,2.3283064365386963e-10
27,28,663815.7352915703,0.0
28,29,680455.4130297037,0.0
29,30,688017.1643062296,3.4924596548080444e-10
