,year,total_fossil_gen,total_curtailment
0,1,78955.84269010217,5.820766091346741e-11
1,2,79498.95961951223,3.346940502524376e-10
2,3,79514.65150906175,3.637978807091713e-10
3,4,78739.15723258664,3.055902197957039e-10
4,5,80097.91968032137,3.2014213502407074e-10
5,6,83670.75035569754,2.9103830456733704e-10
6,7,81201.32257664774,3.055902197957039e-10
7,8,80986.73146200285,3.7834979593753815e-10
8,9,78979.26243665541,3.4924596548080444e-10
9,10,81258.59842206443,3.2014213502407074e-10
10,11,78448.49561482426,4.0745362639427185e-10
11,12,79937.47390662433,5.093170329928398e-10
12,13,74683.84557035,115.00487052353856
13,14,71158.74604222656,564.2627710370725
14,15,66324.68852304772,2341.7876769507857
15,16,64552.72036754997,5226.181759487226
16,17,63532.30826675385,9690.508882293434
17,18,59635.009639717435,19803.683466394054
18,19,56888.806103220806,31515.715592147666
19,20,53678.74831541844,48992.047566094334
20,21,51244.85227943324,70723.35625586734
21,22,47341.37804009266,100770.97254973934
22,23,45250.03112007368,134353.73476959747
23,24,42324.00284368315,156683.9725858957
24,25,40229.90127329506,181377.02923216415
25,26,38404.2843959106,212605.4151041959
26,27,37293.85095006123,247808.15118867476
27,28,35882.725872161674,294605.9459884704
28,29,35349.08977242229,350736.86944582465
29,30,34689.87255984043,420004.4850114518
