CHL_2050_lowIR,USA_2050_lowIR,CHL_2037_lowIR,MEX_2050_highIR,MEX_2050_lowIR,USA_2043_highIR,MEX_2043_lowIR,CHL_2050_highIR,USA_2040_lowIR,CHL_2035_highIR
28.298775305163094,477.7595689213424,28.363232491785894,144.24215000000032,144.0928312815118,478.63011943183795,143.44411716116022,28.56318279218232,475.75247339799733,27.792372000008864
28.060710740220348,476.1270741233818,28.208599059474068,146.412870593232,145.97687720459524,477.5729386427263,144.54811865609625,28.5928043802206,471.90337957385157,27.668747137842573
27.521418825630473,461.95828581616837,27.776970399005094,152.6303730000001,151.85608642876298,463.50251419588784,149.4882868053895,28.295141352629486,455.281349270864,27.1472737976987
26.55765085801085,456.55882572134203,26.951761372055334,152.88353985314018,151.70541570393993,457.47348700818685,148.20590774723217,27.495611093542518,447.16100004109035,26.02048451927377
26.1920694967376,463.44882477304225,26.764070503069803,157.2775069826069,155.62474277084118,462.6627055200892,150.759853672063,27.13087056094607,451.0270251138318,25.176666968552862
26.409891719152686,460.18169327052846,27.20978412245051,163.00636500000016,160.79842867318953,456.15771774105013,154.28451536317738,27.046096933841937,444.3923099729564,24.426733193595442
24.27308239499851,449.3223937518409,25.263140918823648,166.32916280769885,163.46489850033493,439.8953023910171,154.9573862075771,24.132211486473988,429.7754543614463,22.990285223630845
23.186067482455112,450.7873042604911,25.249894874010806,170.18256299998419,166.55258147412746,432.94923473597254,155.63255524709774,23.29406424121879,427.0397728567747,23.068947988982924
23.17876369166462,427.53924169107114,24.658241778818404,173.3794280580542,168.87009914205348,397.4948359203829,155.02789565348425,23.31461670114843,399.4048855795112,22.6117869595124
24.434235800302528,417.2785696287872,25.4713850579616,181.94153100000025,176.43534978008688,372.2280640278814,159.05047095564086,24.570535411756005,385.5065474572642,23.20784629016138
24.41879260393415,404.2916108115839,24.62162423127359,182.60638347468725,175.90060107972755,373.80491001026195,154.21711655661574,24.582215449841406,368.47030312417763,22.300847232780782
25.82752786834193,387.40355278290707,25.217095980867267,188.65866500000035,180.61752663552105,372.83000856010983,153.7139421610412,25.959319036947267,350.8903606790373,22.431800618409923
25.465775000825055,383.4172392172638,23.938763305729925,190.17119587584915,180.58035247985364,367.6330075070076,147.41279675035122,25.71111734091165,333.9534394005494,20.838735000008512
25.716238360461634,374.4631757212666,23.25430531184098,196.4294000000002,185.1807677678928,356.7133526522104,144.73028664271817,26.03371477573624,317.0912306882303,19.58817900000887
25.827336802319202,371.00760421238147,22.396910555347194,197.08860055323967,183.92654461317895,350.8507462514115,135.57674603934942,26.088434751188863,308.99960918559464,18.289922000008573
26.880348576464467,377.3212689640684,22.286550270017834,204.20550400000008,189.13085730206961,353.48229032708207,131.96976604718955,26.958995112008726,306.38173739712647,17.40292200000856
28.20518576367289,383.5784628813295,22.254860498513658,203.409419,185.90433586331855,355.29683245661744,124.56873671104454,27.899411119657895,303.87848092336986,16.638529000008518
27.80464329490416,374.87311951117863,21.093219883611372,202.62006999999994,182.48163768951997,341.9957698922132,120.68502058932489,27.848123791717367,295.5768159802358,15.6459840000085
28.05510473165054,371.38311180620354,20.277025901905937,200.08685500000004,176.91315920883508,333.037527356151,117.29167298242695,28.3657267371216,289.19484343930054,14.935364000008395
27.672881419409446,357.51628582872337,19.261562786642266,200.23215899999983,174.45278654369943,314.68509770030806,115.42362907469226,28.43982125793403,279.34503555743873,14.276228000007974
27.82364898334444,358.4916180170397,18.4385049632685,196.20449399999967,167.2837397396671,309.0650425500239,113.16472202082328,29.125319411904933,278.3505374231249,13.763283000008856
27.05204178367828,357.5182487840168,17.086247366516066,185.4243549999992,154.74469291948745,301.5605214510165,109.8235694529262,28.83335309526925,276.65432594683557,13.100087481858981
27.69926747328014,354.08362835222204,16.358022000006518,178.32165800000027,149.42319527677628,291.5143780000006,107.41318065803794,30.038378425792562,272.4824587745158,13.007245000008826
26.55351774420335,346.27712069118604,15.300254000004657,166.9970989999961,145.04662373586586,280.3303750000004,104.97751495411538,29.130655386349833,267.048338430154,12.606760406915312
25.859953371483154,336.5773181888227,14.543230000005158,155.3644556624215,142.57933852727663,270.0299778410403,102.33447022058597,28.545666673218808,260.176688749701,12.390680382474379
24.989997366754682,332.9246502218241,13.88174525064501,135.77300101971235,138.0670467927439,264.6681190000007,98.13646219797944,27.606579109619723,257.0984980718114,12.15914399480324
24.787361833144168,331.22472654511273,13.481839000005262,125.41176445778648,137.779462828417,259.6566690000006,96.05020700001957,27.297735313465477,254.66716965163192,12.176649000008672
23.648845536050793,329.14094640514156,12.966547954539307,110.61558355339241,134.53561467419448,255.62384600000064,92.70837500001326,25.410811139342485,252.36962500132395,11.94608226988283
22.856910523658936,321.63064585190784,12.778802000004463,97.56852600000009,133.21141119903118,251.73923264521707,90.4412250000123,23.7038360000022,249.73602427552933,11.989359000008106
21.685514000336532,316.91714300010705,12.540493000006421,84.19489100000015,130.77727199999995,249.77984300000037,88.4706670000113,21.685514000002186,247.8561619990737,11.927105000010409
