RE_PV_Openfield_Lim_[MX],RE_WIND_Onshore_Lim_[MX],BESSch_[MX],BESSdisch_[MX],PP_CO2_[MX],PP_CO2_Existing_[MX],EL_Demand_[MX]
22.991244185265813,7.460065899676159,1.5880312059755661,218.8810605951547,0.0,0.0,24.6446669
0.6698499322889369,7.757505370323408,59.9874377091143,81.46366556819588,0.0,0.0,23.8957202
0.0,7.575738775766284,60.15743363690308,81.25038805476623,0.0,0.0,23.1738763
0.0,7.230081787178461,60.49664136290768,81.04570202810817,0.0,0.0,22.5122237
0.0,6.888124624198142,60.675980620978955,80.90587496233242,0.0,0.0,21.9715276
0.0,6.588493094811387,60.706766450391754,80.90133718568143,0.0,0.0,21.6978045
0.0,6.3780238301521,60.67700998895848,80.88398713550714,0.0,0.0,21.5315602
0.0,6.032780315077638,60.83587200699124,80.8355782724601,0.0,0.0,20.9700946
0.0,5.577136126342447,60.90597026328111,81.31730845688661,0.0,0.0,20.8797037
0.0,5.363116861728089,60.77421116715414,81.95240000097264,0.0,0.0,21.3931379
0.0,4.106242219416144,60.66057334273811,83.84224491111374,0.0,0.0,22.0326325
0.0,4.321666826006636,60.72651353786618,84.24310118679304,0.0,0.0,22.5592635
0.0,4.383568671799027,60.906624880419415,84.61692789603704,0.0,0.0,22.7843043
0.0,4.619610118432213,61.21364215559722,84.97115653110146,0.0,0.0,23.0321202
4.590367319318095,4.778852143291625,63.37258582680897,82.07074047269569,0.0,0.0,22.9332566
25.72334932730331,5.197785877066503,72.81701423564638,69.03349955466408,0.0,0.0,23.1192155
53.86018674480384,4.855559933658824,88.71094343158818,56.14146565734928,0.0,0.0,23.4132785
76.83624364818498,4.76375311407783,103.71785512042885,47.981090875122035,0.0,0.0,24.071908
91.95418303182255,5.675513385744184,113.23621846970703,43.69816933811585,0.0,0.0,26.9259066
98.11674098669758,6.516185574411675,117.2499702101866,42.03119606439153,0.0,0.0,28.5218206
91.76840880273463,7.145335944906952,112.96487051917491,43.75153335585845,0.0,0.0,28.6278281
79.91264506622758,7.373522526970061,104.70055693591371,46.97337441087817,0.0,0.0,28.1410631
61.65438696839541,6.415416991926643,91.61679177676832,52.51131510519461,0.0,0.0,26.9572724
38.81543100527696,6.757277013539365,75.5502269826199,57.99444392235202,0.0,0.0,25.5794545
24.729133406449133,7.714039929587592,55.97650983586737,55.189809423495404,0.0,0.0,29.8070156
2.2601847489717337,7.244107883571442,39.71478803498816,61.45523134100817,0.0,0.0,28.5855657
0.0,6.195549620737774,37.769300653171676,62.082379083029586,0.0,0.0,27.7066029
0.0,5.3976577506664905,37.454490731884114,62.01937193606692,0.0,0.0,27.1532073
0.0,4.847340354956478,37.39778119803047,62.61901283618705,0.0,0.0,27.2438703
0.0,4.040278249209361,37.51022597603948,63.73358924730691,0.0,0.0,27.3917379
0.0,3.374816103399182,37.09378524119841,65.05009884412962,0.0,0.0,28.4146486
0.0,2.819082265047283,36.34772830798697,65.8202068511329,0.0,0.0,29.3510054
0.0,2.323145165461922,35.28508798758541,66.48745308325744,0.0,0.0,30.5664663
0.0,1.9773515600323355,34.4042098552477,67.1838045360113,0.0,0.0,31.7806757
0.0,1.8062597224255645,34.00168671578193,67.72274617525424,0.0,0.0,32.5378832
0.0,1.6958435001077063,33.872747167245464,68.03736242926918,0.0,0.0,32.8588329
0.0,1.5350871417144216,33.76874724049877,68.3911288865446,0.0,0.0,33.1327814
0.0,1.4261063019821014,34.09064817359748,68.59198090796775,0.0,0.0,32.8713385
4.96139984729704,1.3092711260321301,36.47081613982944,65.37892113202035,0.0,0.0,32.3322415
30.512261658337195,1.2999593673848555,53.016361006192525,55.051192137616226,0.0,0.0,31.878147
63.523589974759865,1.1372802590318511,91.54256368311283,62.78635944011343,0.0,0.0,31.6820251
90.948732012826,1.1304301698195416,109.76041237266341,54.049316785027436,0.0,0.0,32.0411547
108.16509198984788,1.4088020052181318,120.56288112765039,48.720401758443366,0.0,0.0,33.6258513
115.30298227414387,1.818396355061709,125.89478932891905,46.27744603927606,0.0,0.0,33.4306123
113.2891951376122,2.4032867937292335,125.44894679860037,46.75239029660293,0.0,0.0,32.7394695
102.98870885617937,2.9931827678085012,119.39455498363817,50.28449245085512,0.0,0.0,32.2603483
84.69413389212225,3.1630904166691765,108.44100932476495,57.239362620796044,0.0,0.0,31.4865632
58.852682357573784,3.8662406203869217,94.70245657814037,67.61209105554023,0.0,0.0,29.6481574
29.78315879212116,23.81981329325132,88.29928994635027,70.16339888381128,0.0,0.0,29.5548552
4.2939133084465855,23.028576248431214,74.77079589980299,82.38587452350446,0.0,0.0,28.4581139
0.0,22.65133563491621,72.50456681639683,84.01260981091025,0.0,0.0,27.7937272
0.0,21.88750558909014,71.89329290598991,83.77262551480237,0.0,0.0,27.608138
0.0,20.588415361447222,70.84497792663706,84.10361712810719,0.0,0.0,27.811166
0.0,19.51369187878013,69.69011545604931,84.72593713166286,0.0,0.0,28.5903599
0.0,18.49531544640666,68.1715958510072,85.98144829111867,0.0,0.0,30.379166
0.0,17.299656395563726,66.7280743504507,87.41316136122659,0.0,0.0,32.0565253
0.0,15.853027224791969,65.67206017428525,88.73042214740104,0.0,0.0,32.9434857
0.0,15.07657400922367,64.88233674813695,89.89323296346497,0.0,0.0,34.0828022
0.0,14.154455463710562,64.41463814871618,91.0280020700141,0.0,0.0,34.6833435
0.0,14.22836298621619,64.41079305081547,91.29822957777704,0.0,0.0,34.9886043
0.0,13.892423530939357,64.46497831385565,92.0862923975618,0.0,0.0,35.2654944
0.0,13.291485142099663,64.84816907112327,93.12509187796296,0.0,0.0,35.1003711
4.1429015977335295,12.575127486334667,67.25709420715062,92.11675243107712,0.0,0.0,34.8894748
28.903585390255913,12.556706478977384,79.89880166469085,79.9765940572346,0.0,0.0,34.9291112
64.41943164292256,12.157658345486634,100.1689442150364,66.18250970466272,0.0,0.0,34.7778355
93.25554689783169,11.548083205964248,116.7793783068587,55.82469553762415,0.0,0.0,34.6967896
113.30349386075738,11.349737893482864,128.46749956889832,48.971275969940194,0.0,0.0,34.9698468
124.4544138488168,11.15928443024143,134.1135670554082,45.82914426298509,0.0,0.0,36.5931692
124.09094419870262,11.415992382045419,134.18289883758823,45.77128910894536,0.0,0.0,36.3775629
115.32240318206466,11.335336666866919,129.6740194847501,48.07788517493965,0.0,0.0,35.0697449
