RE_PV_Openfield_Lim_[MEX],RE_WIND_Onshore_Lim_[MEX],BESSch_[MEX],BESSdisch_[MEX],PP_CO2_[MEX],PP_CO2_Existing_[MEX],EL_Demand_[MEX]
350.82938359021784,1354.14491428366,31501.37918013671,30583.435462200658,0.0,0.0,24.6446669
10.221414593712208,1408.1358778891802,27288.59342429259,26557.268416168892,0.0,0.0,23.8957202
0.0,1375.1417578751903,30002.213409829663,29384.113875254883,0.0,0.0,23.1738763
0.0,1312.3983907954,29202.858427203875,28627.970536546585,0.0,0.0,22.5122237
0.0,1250.3266129612703,26045.199010139368,25452.48829948125,0.0,0.0,21.9715276
0.0,1195.9377486892101,27615.53705078505,27118.623922415023,0.0,0.0,21.6978045
0.0,1157.73354403684,26895.919721723236,26419.589088748333,0.0,0.0,21.5315602
0.0,1095.0652303229099,24786.89482742406,24320.22029555054,0.0,0.0,20.9700946
0.0,1012.3570787869502,25775.426399839842,25418.880305479655,0.0,0.0,20.8797037
0.0,973.5084811158702,25467.246715624045,25143.191174943448,0.0,0.0,21.3931379
0.0,745.36164867935,24272.942648928034,24153.041554068815,0.0,0.0,22.0326325
0.0,784.4653428489601,25357.820681150733,25226.14933122506,0.0,0.0,22.5592635
0.0,795.70171405423,25731.914302391546,25598.535268855896,0.0,0.0,22.7843043
0.0,838.54775976173,25028.494867571073,24833.365474144637,0.0,0.0,23.0321202
70.04561058601227,867.45323874858,27326.681066967914,27088.571602894743,0.0,0.0,22.9332566
392.51928758849505,943.49773924525,28845.887533459856,28236.752418191412,0.0,0.0,23.1192155
821.8666185905281,881.3771726130501,26967.578469119973,25932.120862506366,0.0,0.0,23.4132785
1172.4642554906113,864.71247561117,31908.65677729391,30656.569258073385,0.0,0.0,24.071908
1403.1528303401124,1030.21443652233,33174.09818512389,31549.949229416234,0.0,0.0,26.9259066
1497.1889073451725,1182.812548144,28148.819819473254,26144.006708759094,0.0,0.0,28.5218206
1400.3180529895403,1297.01539648115,33565.341021836095,31682.10102640145,0.0,0.0,28.6278281
1219.4078660438686,1338.4356337503602,32740.571065491826,30979.508801038326,0.0,0.0,28.1410631
940.8003499704836,1164.52111944528,26794.219116192347,25344.89534432212,0.0,0.0,26.9572724
592.2947720287765,1226.5752642597201,30007.71116924112,28934.63835037211,0.0,0.0,25.5794545
377.34828788712247,1400.2460674892402,28702.127239486468,27643.08069811414,0.0,0.0,29.8070156
34.48874779860449,1314.94439606576,24706.513940917044,23984.42958774944,0.0,0.0,28.5855657
0.0,1124.6109783666002,25664.190501291545,25196.600452424314,0.0,0.0,27.7066029
0.0,979.77831434788,24338.426146698508,23984.900219412513,0.0,0.0,27.1532073
0.0,879.88516157092,22537.66626642764,22240.569235928033,0.0,0.0,27.2438703
0.0,733.3879240524201,22079.55183092891,21921.19376690308,0.0,0.0,27.3917379
0.0,612.59379267132,21139.84933823065,21082.4030681845,0.0,0.0,28.4146486
0.0,511.71745176229,20842.168310302797,20881.567735389333,0.0,0.0,29.3510054
0.0,421.69536479423004,19830.030654566795,19937.104120342305,0.0,0.0,30.5664663
0.0,358.92719913974,19482.51875577139,19646.338994609043,0.0,0.0,31.7806757
0.0,327.87075206724,20253.22352087932,20469.45182307769,0.0,0.0,32.5378832
0.0,307.82809186599,19538.76890296098,19757.57458954144,0.0,0.0,32.8588329
0.0,278.64773232433,19962.288601954457,20222.179300355045,0.0,0.0,33.1327814
0.0,258.86562156787,21188.691415912115,21500.060375192952,0.0,0.0,32.8713385
75.70729257389675,237.65779827921003,21873.790106966964,22145.960672770558,0.0,0.0,32.3322415
465.5945482236248,235.96753564818002,23872.700505616856,23795.826442449994,0.0,0.0,31.878147
969.323005518985,206.43816014414,24787.371797584077,24245.233210744784,0.0,0.0,31.6820251
1387.8103913497607,205.19473768729,29599.35272688186,28751.218122869424,0.0,0.0,32.0411547
1650.5193126127817,255.72456011167003,33186.77809176573,32109.821764794033,0.0,0.0,33.6258513
1759.438239678895,330.07378345889,31558.560598442862,30251.176586104062,0.0,0.0,33.4306123
1728.7093372281054,436.24260603848,40642.065154469914,39489.582870853395,0.0,0.0,32.7394695
1571.5315340750922,543.32002921386,44466.585432238375,43463.68125690329,0.0,0.0,32.2603483
1292.3698494804664,574.16152333693,39221.62828759164,38339.32004354362,0.0,0.0,31.4865632
898.048409549341,701.79675942556,53372.400443115854,53126.20366690443,0.0,0.0,29.6481574
454.46897767740967,4323.752559832321,66941.42304197108,63783.11180139821,0.0,0.0,29.5548552
65.52194161625934,4180.12787411976,52543.41681990489,49562.78626619596,0.0,0.0,28.4581139
0.0,4111.651473894561,76429.38586215224,74198.28920283949,0.0,0.0,27.7937272
0.0,3973.0016836859604,76923.84669255494,74847.519036646,0.0,0.0,27.608138
0.0,3737.19191355583,53788.46005563294,51361.1109479221,0.0,0.0,27.811166
0.0,3542.10900706595,73551.56152606683,71831.94968618467,0.0,0.0,28.5903599
0.0,3357.25416995456,70730.16658519524,69129.74193053077,0.0,0.0,30.379166
0.0,3140.21914041327,50208.76302608354,48306.587831993435,0.0,0.0,32.0565253
0.0,2877.62822489066,65336.36951568638,64092.45923951693,0.0,0.0,32.9434857
0.0,2736.68708748239,63078.5732567387,61922.57152195823,0.0,0.0,34.0828022
0.0,2569.30490137765,47205.04871369789,45814.41520160208,0.0,0.0,34.6833435
0.0,2582.72053296512,60255.16301268849,59185.69393242934,0.0,0.0,34.9886043
0.0,2521.74108439348,59445.880279819125,58418.520780174746,0.0,0.0,35.2654944
0.0,2412.65925133884,46101.46793491154,44843.71321952115,0.0,0.0,35.1003711
63.217614588219774,2282.62660961587,58995.281854079374,58136.248001431406,0.0,0.0,34.8894748
441.04733803441496,2279.2828437880203,59874.716795266424,58652.55576476344,0.0,0.0,34.9291112
982.9928868748347,2206.84796080068,46199.6623419227,44142.85440266303,0.0,0.0,34.7778355
1423.0106805399357,2096.19839199542,60975.18505263426,58957.501014020374,0.0,0.0,34.6967896
1728.9275251689896,2060.19491698854,60197.836202361425,57882.36503668514,0.0,0.0,34.9698468
1899.082317765287,2025.62396384625,43252.13966101736,40364.05242355293,0.0,0.0,36.5931692
1893.536039700656,2072.2213762641,55752.78065159032,53142.89622461783,0.0,0.0,36.3775629
1759.7345883714543,2057.5808183942804,51936.25366375437,49380.00208286339,0.0,0.0,35.0697449
1484.9069156053247,1772.79126006635,36738.37838880879,34366.22610421099,0.0,0.0,33.5873088
1059.8225497809717,1435.5062702986202,42983.11747703898,41553.209630429265,0.0,0.0,31.8184122
437.53408164940697,832.80110795154,38378.88307599192,38086.77429326252,0.0,0.0,28.3435113
63.019117866265326,913.2516849323799,31291.811126749755,31120.02297387973,0.0,0.0,27.2351237
0.0,907.78835341292,32622.779180136986,32554.906352470134,0.0,0.0,26.5277409
0.0,830.0023490314201,30330.852440711515,30283.510103993343,0.0,0.0,26.0155861
0.0,758.01242919907,27091.75740135016,27035.059195590045,0.0,0.0,25.8426182
0.0,710.75658037076,26854.113766268423,26839.72246149313,0.0,0.0,25.7518481
0.0,690.83731020473,25588.529671510438,25562.303985720195,0.0,0.0,25.9230194
0.0,690.5281226714401,24270.78105446415,24211.08017077897,0.0,0.0,25.9190642
0.0,665.80194336852,23894.86805306935,23851.656555927493,0.0,0.0,26.6546549
