Location,Hour,Total_Curtailment,PV_Curtailment,Wind_Curtailment
MX,0,0.0,0.0,0.0
MX,1,0.0,0.0,0.0
MX,2,0.0,0.0,0.0
MX,3,0.0,0.0,0.0
MX,4,0.0,0.0,0.0
MX,5,0.0,0.0,0.0
MX,6,0.0,0.0,0.0
MX,7,0.0,0.0,0.0
MX,8,0.0,0.0,0.0
MX,9,0.0,0.0,0.0
MX,10,0.0,0.0,0.0
MX,11,0.0,0.0,0.0
MX,12,0.0,0.0,0.0
MX,13,0.0,0.0,0.0
MX,14,0.0,0.0,0.0
MX,15,0.0,0.0,0.0
MX,16,0.0,0.0,0.0
MX,17,0.0,0.0,0.0
MX,18,0.0,0.0,0.0
MX,19,0.0,0.0,0.0
MX,20,0.0,0.0,0.0
MX,21,0.0,0.0,0.0
MX,22,0.0,0.0,0.0
MX,23,0.0,0.0,0.0
MX,24,0.0,0.0,0.0
MX,25,0.0,0.0,0.0
MX,26,0.0,0.0,0.0
MX,27,0.0,0.0,0.0
MX,28,0.0,0.0,0.0
MX,29,0.0,0.0,0.0
MX,30,0.0,0.0,0.0
MX,31,0.0,0.0,0.0
MX,32,0.0,0.0,0.0
MX,33,0.0,0.0,0.0
MX,34,0.012448739480376503,0.0,0.012448739480376503
MX,35,0.03442149606291167,0.0,0.03442149606291167
MX,36,0.06535303244370283,0.0,0.06535303244370283
MX,37,0.08855540594161937,0.0,0.08855540594161937
MX,38,0.0,0.0,0.0
MX,39,0.0,0.0,0.0
MX,40,0.0,0.0,0.0
MX,41,0.0,0.0,0.0
MX,42,0.0,0.0,0.0
MX,43,0.0,0.0,0.0
MX,44,0.0,0.0,0.0
MX,45,0.0,0.0,0.0
MX,46,0.0,0.0,0.0
MX,47,0.0,0.0,0.0
MX,48,0.0,0.0,0.0
MX,49,0.0,0.0,0.0
MX,50,0.0,0.0,0.0
MX,51,0.0,0.0,0.0
MX,52,0.0,0.0,0.0
MX,53,0.0,0.0,0.0
MX,54,0.0,0.0,0.0
MX,55,0.0,0.0,0.0
MX,56,0.0,0.0,0.0
MX,57,0.0,0.0,0.0
MX,58,0.0,0.0,0.0
MX,59,0.0,0.0,0.0
MX,60,0.0,0.0,0.0
MX,61,0.0,0.0,0.0
MX,62,0.0,0.0,0.0
MX,63,0.0,0.0,0.0
MX,64,0.0,0.0,0.0
MX,65,0.0,0.0,0.0
MX,66,0.0,0.0,0.0
MX,67,0.0,0.0,0.0
MX,68,0.0,0.0,0.0
MX,69,0.0,0.0,0.0
MX,70,0.0,0.0,0.0
MX,71,0.0,0.0,0.0
MX,72,0.0,0.0,0.0
MX,73,0.0,0.0,0.0
MX,74,0.0,0.0,0.0
MX,75,0.0,0.0,0.0
MX,76,0.0,0.0,0.0
MX,77,0.0,0.0,0.0
MX,78,0.0,0.0,0.0
MX,79,0.0,0.0,0.0
MX,80,0.0,0.0,0.0
MX,81,0.0,0.0,0.0
MX,82,0.0,0.0,0.0
MX,83,0.0,0.0,0.0
MX,84,0.0,0.0,0.0
MX,85,0.0,0.0,0.0
MX,86,0.0,0.0,0.0
MX,87,0.0,0.0,0.0
MX,88,0.0,0.0,0.0
MX,89,0.0,0.0,0.0
MX,90,0.0,0.0,0.0
MX,91,0.0,0.0,0.0
MX,92,0.0,0.0,0.0
MX,93,0.0,0.0,0.0
MX,94,0.0,0.0,0.0
MX,95,0.0,0.0,0.0
MX,96,0.0,0.0,0.0
MX,97,0.0,0.0,0.0
MX,98,0.0,0.0,0.0
MX,99,0.0,0.0,0.0
MX,100,0.0,0.0,0.0
MX,101,0.0,0.0,0.0
MX,102,0.0,0.0,0.0
MX,103,0.0,0.0,0.0
MX,104,0.0,0.0,0.0
MX,105,0.0,0.0,0.0
MX,106,0.0,0.0,0.0
MX,107,0.0,0.0,0.0
MX,108,0.0,0.0,0.0
MX,109,0.0,0.0,0.0
MX,110,0.0,0.0,0.0
MX,111,0.0,0.0,0.0
MX,112,0.0,0.0,0.0
MX,113,0.0,0.0,0.0
MX,114,0.0,0.0,0.0
MX,115,0.0,0.0,0.0
MX,116,0.0,0.0,0.0
MX,117,0.0,0.0,0.0
MX,118,0.0,0.0,0.0
MX,119,0.0,0.0,0.0
MX,120,0.0,0.0,0.0
MX,121,0.0,0.0,0.0
MX,122,0.0,0.0,0.0
MX,123,0.0,0.0,0.0
MX,124,0.0,0.0,0.0
MX,125,0.0,0.0,0.0
MX,126,0.0,0.0,0.0
MX,127,0.0,0.0,0.0
MX,128,0.0,0.0,0.0
MX,129,0.0,0.0,0.0
MX,130,0.0,0.0,0.0
MX,131,0.0,0.0,0.0
MX,132,0.0,0.0,0.0
MX,133,0.0,0.0,0.0
MX,134,0.0,0.0,0.0
MX,135,0.0,0.0,0.0
MX,136,0.0,0.0,0.0
MX,137,0.0,0.0,0.0
MX,138,0.0,0.0,0.0
MX,139,0.0,0.0,0.0
MX,140,0.0,0.0,0.0
MX,141,0.0,0.0,0.0
MX,142,0.0,0.0,0.0
MX,143,0.0,0.0,0.0
MX,144,0.0,0.0,0.0
MX,145,0.0,0.0,0.0
MX,146,0.0,0.0,0.0
MX,147,0.0,0.0,0.0
MX,148,0.0,0.0,0.0
MX,149,0.0,0.0,0.0
MX,150,0.0,0.0,0.0
MX,151,0.0,0.0,0.0
MX,152,0.0,0.0,0.0
MX,153,0.0,0.0,0.0
MX,154,0.0,0.0,0.0
MX,155,0.0,0.0,0.0
MX,156,0.0,0.0,0.0
MX,157,0.0,0.0,0.0
MX,158,0.0,0.0,0.0
MX,159,0.0,0.0,0.0
MX,160,0.0,0.0,0.0
MX,161,0.0,0.0,0.0
MX,162,0.0,0.0,0.0
MX,163,0.0,0.0,0.0
MX,164,0.0,0.0,0.0
MX,165,0.0,0.0,0.0
MX,166,0.0,0.0,0.0
MX,167,0.0,0.0,0.0
MX,168,0.0,0.0,0.0
MX,169,0.0,0.0,0.0
MX,170,0.0,0.0,0.0
MX,171,0.0,0.0,0.0
MX,172,0.0,0.0,0.0
MX,173,0.0,0.0,0.0
MX,174,0.0,0.0,0.0
MX,175,0.0,0.0,0.0
MX,176,0.0,0.0,0.0
MX,177,0.0,0.0,0.0
MX,178,0.0,0.0,0.0
MX,179,0.0,0.0,0.0
MX,180,0.02779158463950182,0.0,0.02779158463950182
MX,181,0.0,0.0,0.0
MX,182,0.0,0.0,0.0
MX,183,0.0,0.0,0.0
MX,184,0.0,0.0,0.0
MX,185,0.0,0.0,0.0
MX,186,0.0,0.0,0.0
MX,187,0.0,0.0,0.0
MX,188,0.0,0.0,0.0
MX,189,0.0,0.0,0.0
MX,190,0.0,0.0,0.0
MX,191,0.0,0.0,0.0
MX,192,0.0,0.0,0.0
MX,193,0.0,0.0,0.0
MX,194,0.0,0.0,0.0
MX,195,0.0,0.0,0.0
MX,196,0.0,0.0,0.0
MX,197,0.0,0.0,0.0
MX,198,0.0,0.0,0.0
MX,199,0.0,0.0,0.0
MX,200,0.0,0.0,0.0
MX,201,0.0,0.0,0.0
MX,202,0.0,0.0,0.0
MX,203,0.0,0.0,0.0
MX,204,0.0,0.0,0.0
MX,205,0.0,0.0,0.0
MX,206,0.0,0.0,0.0
MX,207,0.0,0.0,0.0
MX,208,0.0,0.0,0.0
MX,209,0.0,0.0,0.0
MX,210,0.0,0.0,0.0
MX,211,0.0,0.0,0.0
MX,212,0.0,0.0,0.0
MX,213,0.0,0.0,0.0
MX,214,0.0,0.0,0.0
MX,215,0.0,0.0,0.0
MX,216,0.0,0.0,0.0
MX,217,0.0,0.0,0.0
MX,218,0.0,0.0,0.0
MX,219,0.0,0.0,0.0
MX,220,0.0,0.0,0.0
MX,221,0.0,0.0,0.0
MX,222,0.0,0.0,0.0
MX,223,0.0,0.0,0.0
MX,224,0.0,0.0,0.0
MX,225,0.0,0.0,0.0
MX,226,0.0,0.0,0.0
MX,227,0.0,0.0,0.0
MX,228,0.0,0.0,0.0
MX,229,0.0,0.0,0.0
MX,230,0.0,0.0,0.0
MX,231,0.0,0.0,0.0
MX,232,0.0,0.0,0.0
MX,233,0.0,0.0,0.0
MX,234,0.0,0.0,0.0
MX,235,0.0,0.0,0.0
MX,236,0.0,0.0,0.0
MX,237,0.0,0.0,0.0
MX,238,0.0,0.0,0.0
MX,239,0.0,0.0,0.0
MX,240,0.0,0.0,0.0
MX,241,0.0,0.0,0.0
MX,242,0.0,0.0,0.0
MX,243,0.0,0.0,0.0
MX,244,0.0,0.0,0.0
MX,245,0.0,0.0,0.0
MX,246,0.0,0.0,0.0
MX,247,0.0,0.0,0.0
MX,248,0.0,0.0,0.0
MX,249,0.0,0.0,0.0
MX,250,0.0,0.0,0.0
MX,251,0.0,0.0,0.0
MX,252,0.0,0.0,0.0
MX,253,0.0,0.0,0.0
MX,254,0.0,0.0,0.0
MX,255,0.0,0.0,0.0
MX,256,0.0,0.0,0.0
MX,257,0.0,0.0,0.0
MX,258,0.0,0.0,0.0
MX,259,0.0,0.0,0.0
MX,260,0.0,0.0,0.0
MX,261,0.0,0.0,0.0
MX,262,0.0,0.0,0.0
MX,263,0.0,0.0,0.0
MX,264,0.0,0.0,0.0
MX,265,0.0,0.0,0.0
MX,266,0.0,0.0,0.0
MX,267,0.0,0.0,0.0
MX,268,0.0,0.0,0.0
MX,269,0.0,0.0,0.0
MX,270,0.0,0.0,0.0
MX,271,0.0,0.0,0.0
MX,272,0.0,0.0,0.0
MX,273,0.0,0.0,0.0
MX,274,0.0,0.0,0.0
MX,275,0.0,0.0,0.0
MX,276,0.0,0.0,0.0
MX,277,0.0,0.0,0.0
MX,278,0.0,0.0,0.0
MX,279,0.0,0.0,0.0
MX,280,0.0,0.0,0.0
MX,281,0.0,0.0,0.0
MX,282,0.0,0.0,0.0
MX,283,0.0,0.0,0.0
MX,284,0.0,0.0,0.0
MX,285,0.0,0.0,0.0
MX,286,0.0,0.0,0.0
MX,287,0.0,0.0,0.0
MX,288,0.0,0.0,0.0
MX,289,0.0,0.0,0.0
MX,290,0.0,0.0,0.0
MX,291,0.0,0.0,0.0
MX,292,0.0,0.0,0.0
MX,293,0.0,0.0,0.0
MX,294,0.0,0.0,0.0
MX,295,0.0,0.0,0.0
MX,296,0.0,0.0,0.0
MX,297,0.0,0.0,0.0
MX,298,0.0,0.0,0.0
MX,299,0.0,0.0,0.0
MX,300,0.039217364576430214,0.00616497506988992,0.0330523895065403
MX,301,0.0,0.0,0.0
MX,302,0.0,0.0,0.0
MX,303,0.0,0.0,0.0
MX,304,0.0,0.0,0.0
MX,305,0.0,0.0,0.0
MX,306,0.0,0.0,0.0
MX,307,0.0,0.0,0.0
MX,308,0.0,0.0,0.0
MX,309,0.0,0.0,0.0
MX,310,0.0,0.0,0.0
MX,311,0.0,0.0,0.0
MX,312,0.0,0.0,0.0
MX,313,0.0,0.0,0.0
MX,314,0.0,0.0,0.0
MX,315,0.0,0.0,0.0
MX,316,0.0,0.0,0.0
MX,317,0.0,0.0,0.0
MX,318,0.0,0.0,0.0
MX,319,0.0,0.0,0.0
MX,320,0.0,0.0,0.0
MX,321,0.0,0.0,0.0
MX,322,0.0,0.0,0.0
MX,323,0.0,0.0,0.0
MX,324,0.0,0.0,0.0
MX,325,0.0,0.0,0.0
MX,326,0.0,0.0,0.0
MX,327,0.0,0.0,0.0
MX,328,0.0,0.0,0.0
MX,329,0.0,0.0,0.0
MX,330,0.0,0.0,0.0
MX,331,0.0,0.0,0.0
MX,332,0.0,0.0,0.0
MX,333,0.0,0.0,0.0
MX,334,0.0,0.0,0.0
MX,335,0.0,0.0,0.0
MX,336,0.0,0.0,0.0
MX,337,0.0,0.0,0.0
MX,338,0.0,0.0,0.0
MX,339,0.0,0.0,0.0
MX,340,0.0,0.0,0.0
MX,341,0.0,0.0,0.0
MX,342,0.0,0.0,0.0
MX,343,0.0,0.0,0.0
MX,344,0.0,0.0,0.0
MX,345,0.0,0.0,0.0
MX,346,0.0,0.0,0.0
MX,347,0.0,0.0,0.0
MX,348,0.0,0.0,0.0
