,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Fossil_Gen_GWh_loc2,Discounted_Fossil_Gen_GWh_loc2,Annual_Emissions_loc2,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,Total_Annual_Demand_loc2,Discounted_Annual_Demand_loc2,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,RE_PV_MY_new_annual_installed_GWp_loc2,RE_PV_MY_total_capacity_GWp_loc2,RE_PV_MY_annual_generation_GWh_loc2,RE_PV_MY_discounted_annual_gen_GWh_loc2,RE_PV_MY_annual_CAPEX_BUSD_loc2,RE_WIND_MY_new_annual_installed_GWp_loc2,RE_WIND_MY_total_capacity_GWp_loc2,RE_WIND_MY_annual_generation_GWh_loc2,RE_WIND_MY_discounted_annual_gen_GWh_loc2,RE_WIND_MY_annual_CAPEX_BUSD_loc2,PP_CO2_MY_annual_OPEX_BUSD_loc2,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc2,EL_Transport_MY_annual_CAPEX_BUSD_target_loc2,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh,HVDC_MEX-CHL_annual_forward_GWh,HVDC_CHL-MEX_annual_reverse_GWh,HVDC_MEX-CHL_annual_total_GWh,HVDC_MEX-USA_annual_forward_GWh,HVDC_USA-MEX_annual_reverse_GWh,HVDC_MEX-USA_annual_total_GWh
0,1,MEX-CHL-WECC_CAGR,353009.29491129343,353009.29491129343,143.3104774365479,75502.62310291444,75502.62310291444,27.294424759572898,1261958.0287399981,1261958.0287399981,474.56057866570524,374452.1939849834,374452.1939849834,93298.49082726167,93298.49082726167,1441501.1822344584,1441501.1822344584,1.0820000000000825,8.615000000000084,15080.453283056486,15080.453283056486,0.0,0.9090000000001648,8.126000000000165,6362.445790725644,6362.445790725644,0.0,8.77263398784055,2.1550000000000593,6.852000000000059,12734.535475500294,12734.535475500294,0.0,0.18400000000010122,4.8810000000001015,5061.3322489103475,5061.3322489103475,0.0,2.7149233215345996,10.925600000000093,59.33200000000009,104690.9211855721,104690.9211855721,0.0,1.5566000000003222,49.96300000000032,74852.23230894672,74852.23230894672,0.0,48.44025893318485,0.0,0.0,0.0,0.0,0.031388114515897625,0.03138811451590115,0.0,0.0,0.0,0.0,0.0,0.0
1,2,MEX-CHL-WECC_CAGR,354785.0218585582,337890.4970081506,144.0313657538751,70369.76866302626,67018.82729812025,25.438882480989967,1245088.719884998,1185798.780842855,468.2168582014731,379910.9161654542,361819.9201575754,94404.13441219501,89908.69944018572,1452222.6914922919,1383069.2299926588,1.5809022624481954,10.195902262448278,17847.803569060907,16997.908161010386,0.0,1.1694450665252878,9.295445066525453,7278.0907379319615,6931.514988506629,0.0,8.396916741149546,3.2151423994951576,10.067142399495216,18709.921486176863,17818.972843977965,0.0,0.25373749003221513,5.134737490032316,5324.4442630585945,5070.899298151042,0.0,2.409862991985806,14.192908043854597,73.52490804385468,129734.21346315,123556.39377442856,0.0,1.7004440533150273,51.663444053315345,77399.75814420686,73714.0553754351,0.0,45.516886202652955,0.0,0.0,0.0,0.0,0.030697477625862033,0.030697477625865638,0.0,0.0,0.0,0.0,0.0,0.0
2,3,MEX-CHL-WECC_CAGR,365032.3356266867,331095.08900379745,148.1914472296947,62283.78136517602,56493.22572805081,22.515773814855237,1189410.3481350702,1078830.2477415602,447.27895082654123,395379.57904738747,358620.9333763151,95107.90331860584,86265.67194431368,1431859.7659386252,1298739.0167243765,2.3098446981641456,12.505746960612424,21891.158770660415,19855.926322594478,0.0,1.5045123912211955,10.799957457746647,8456.08465014211,7669.918050015518,0.0,8.228044056833365,4.796817006510961,14.863959406006177,27624.87133131645,25056.572636114695,0.0,0.3499060535207084,5.484643543553025,5687.27786125021,5158.52867233579,0.0,2.031383410729252,18.43730676038942,91.9622148042441,162266.7191755167,147180.69766486774,0.0,1.8575806105960626,53.52102466391141,80182.69862810358,72728.07131800777,0.0,41.41089905955978,0.0,0.0,0.0,0.0,0.029626320944230664,0.029633842192867663,0.0,0.0,0.0,0.0,0.0,0.0
3,4,MEX-CHL-WECC_CAGR,358429.65033938683,309625.00839165255,145.5109682889801,55329.64685993494,47795.829271080824,20.001833328807056,1149654.4758886872,993114.7615926462,432.3287153124168,396200.1210200833,342252.56107986893,95174.48972858835,82215.30264860239,1430880.0834424584,1236048.0150674514,3.374897143467002,15.880644104079426,27798.87539366383,24013.713761938303,0.0,1.9355826110444783,12.735540068791126,9971.59528713958,8613.83892637044,0.0,7.694491083540953,7.1565892066135515,22.02054861261973,40925.490002536826,35352.97700251534,0.0,0.4825232813443612,5.967166824897386,6187.628331383012,5345.105998387225,0.0,1.7186424289295235,23.95099577382871,113.9132105780728,200999.10588930896,173630.58493839452,0.0,2.0292380205837697,53.55026268449518,80226.50166453034,69302.66853646935,0.0,38.12071012373374,0.0,0.0,0.0,0.0,0.028518119040145364,0.02862594946738604,0.0,0.0,0.0,0.0,0.0,0.0
4,5,MEX-CHL-WECC_CAGR,358943.1552293267,295303.42211677367,145.7194348421392,52676.0355925868,43336.704844246415,19.04254489482687,1132635.8183729982,931822.290813394,425.9288321349843,406474.23776424583,334407.3613477888,97150.27764382835,79925.77384429601,1455002.1798421668,1197033.8941837335,4.931037458074262,20.487681562153686,35863.43873200155,29504.939799364707,0.0,2.4901623051018857,14.901702373893013,11667.643803029781,9598.999431742765,0.0,7.338585343023939,10.677240554037855,32.554789166657585,60503.5197811194,49776.39545754651,0.0,0.6654035124474849,6.489570337344871,6729.3324380198555,5536.238450456223,0.0,1.5583012327894097,31.113557202963406,139.79176778103624,246661.6487419308,202929.14885623235,0.0,2.2167581426581533,50.53202082715333,75704.71272731003,62282.45451416644,0.0,35.76799863287212,0.0,0.0,0.0,0.0,0.02740024717970117,0.027718629210122865,0.0,0.0,0.0,0.0,0.0,0.0
5,6,MEX-CHL-WECC_CAGR,358310.5206282577,280745.6686331764,145.46260543841245,51951.977885484535,40705.73407306785,18.780795861536273,1075354.1711138946,842568.131288737,404.388011401551,420723.56842009997,329647.9247071313,101925.42668695917,79861.23883769507,1462507.7210146668,1145913.0680771442,7.2047026559015785,27.598384218055266,48310.6377119236,37852.64876607006,0.0,3.203639188721663,18.011341562614675,14102.410080036578,11049.607307977212,0.0,6.976810611203063,15.929860238930205,48.463649405587795,90070.35356504103,70572.47884127528,0.0,0.9175968321028003,7.386167169447671,7659.054720460476,6001.069783894551,0.0,1.4636967857993706,40.41808745504723,177.11185523608344,312512.6959743686,244861.87464952,0.0,2.421606836258442,49.85562766341178,74691.37209074767,58522.64444253276,0.0,32.341977719518155,0.0,0.0,0.0,0.0,0.02560298877355332,0.02621955909296297,0.0,0.0,0.0,0.0,0.0,0.0
6,7,MEX-CHL-WECC_CAGR,345336.4109075392,257695.3468384387,140.19553206331193,49484.739767519226,36926.27471307965,17.888881880177482,987912.9022596212,737195.8182021049,371.50563480763265,429195.7010480417,320272.4402922998,101004.15841602876,75370.85813436566,1449077.4755909585,1081323.9232053098,10.526738196839172,38.043122414894434,66594.02557393024,49693.48720728006,0.0,4.12154020261471,22.050881765229384,17265.264566695754,12883.606246673182,0.0,6.403987064282042,23.766482168080703,72.2301315736685,134240.68489855918,100172.46592635085,0.0,1.265373462168978,8.65154063161665,8971.178365408448,6694.431422241196,0.0,1.3277949861329164,52.50514375027006,225.08479898635352,397160.6376112492,296367.3827235342,0.0,2.6453854196208195,47.9688130830326,71864.63463914451,53626.496841395536,0.0,28.29726148168778,0.0,0.0,0.0,0.0,0.023225734214756783,0.024393935765407472,0.0,0.0,0.0,0.0,0.0,0.0
7,8,MEX-CHL-WECC_CAGR,324620.7631833127,230701.91576697183,131.78564198800316,47962.10707097124,34085.77404904114,17.33844559247732,939260.7037489362,667515.0462792479,353.20992690549116,436285.8940402417,310060.23949352815,102635.89407014583,72941.41371686547,1458769.6969363752,1036720.3885722571,15.380539955250347,52.209662370144784,91392.38239084306,64950.85988128503,0.0,5.302436585734098,26.13931835096348,20466.403644415677,14545.090964993296,0.0,5.73317330872502,35.458294434077814,107.67042600774631,200106.9555834593,142212.27736234196,0.0,1.744960251325384,10.378500882942031,10761.942473709882,7648.311591999987,0.0,1.2256562632554213,58.16920543499999,274.3784044213535,484138.8780472409,344068.46181831777,0.0,2.88984318740813,41.98305627044073,62897.053439437026,44699.76159960443,0.0,25.62256505142892,0.0,0.0,0.0,0.0,0.02101445868176965,0.022949136284803377,0.0,0.0,0.0,0.0,0.0,0.0
8,9,MEX-CHL-WECC_CAGR,292825.31117940554,198195.6968045206,118.87770592888093,46039.70916992374,31161.487382557476,16.643492984054948,868744.9880881741,588000.803503219,326.69242151554545,444323.0794083416,300735.3496013636,102670.88225200833,69491.69444237177,1436060.3356950835,971982.1614465624,22.472394096975172,74.37505646711996,130192.63661951013,88119.50111038191,0.0,6.821681304453783,32.653999655417266,25567.228975875212,17304.90694887274,0.0,4.925361261289142,52.90184030105791,160.47326630880423,298241.7546233006,201861.758929551,0.0,2.4063143172658816,12.685815200207916,13154.502269315319,8903.484923768296,0.0,1.1205047633020015,63.9861259784999,338.10733039985337,596588.1460115145,403794.34014031064,0.0,3.156891085082869,44.8827473555236,67241.23514839773,45511.51469986244,0.0,22.570410842471023,0.0,0.0,0.0,0.0,0.01807891694811043,0.02132028058666822,0.0,0.0,0.0,0.0,0.0,0.0
9,10,MEX-CHL-WECC_CAGR,271012.27582606906,174696.92940196107,110.0223115925576,45286.960578581195,29192.37857735733,16.371372110038813,843795.3254478315,543917.9902465701,317.3100759299825,465597.93798560835,300128.5821981441,106561.09726338251,68690.23341792828,1448915.2188255417,933983.6688986048,32.834250157607244,106.7623066247272,186886.12622699185,120468.46328332365,0.0,8.776217323321674,40.983216978738945,32088.7886237716,20684.71925751139,0.0,4.341393392568134,70.38473857634935,230.4270048851536,428251.73208161746,276054.88488552585,0.0,3.3183269298430447,15.573142130050957,16148.503683607796,10409.469458029527,0.0,1.0496995488846128,70.3847385763498,406.8990689762032,717970.7132857528,462810.3233672479,0.0,3.4486166469171287,46.73836400244072,70021.23331366779,45136.31131855691,0.0,20.878292055614583,0.0,0.0,0.0,0.0,0.015605221704422426,0.020163751074556216,0.0,0.0,0.0,0.0,0.0,0.0
