,year,total_fossil_gen,total_curtailment
0,1,1275898.9179662478,1.318054273724556e-06
1,2,1282304.2668818035,1.092487946152687e-05
2,3,1256860.8549839342,1.1455267667770386e-05
3,4,1256381.7277116422,1.201569102704525e-05
4,5,1290385.5522269893,1.2612901628017426e-05
5,6,1299334.1764750923,1.3232463970780373e-05
6,7,1290184.8313620072,1.3879034668207169e-05
7,8,1316006.0464200238,1.4567514881491661e-05
8,9,1278365.0175841418,1.5274155884981155e-05
9,10,1276907.514651043,1.6026664525270462e-05
10,11,1267879.314057099,1.6812235116958618e-05
11,12,1247179.1884614236,7.746275514364243e-06
12,13,1211309.7744722117,1.3931887224316597e-05
13,14,1158990.2069374106,1.9411789253354073e-05
14,15,1112410.1749439589,2.0369887351989746e-05
15,16,1085398.3688381657,1.8109101802110672e-05
16,17,1051005.150896985,932.5225088507868
17,18,990336.7508220631,4733.858954520896
18,19,943037.1784680072,15823.324796421919
19,20,869329.5868494955,41650.746523085516
20,21,839133.5216211792,92861.20428652084
21,22,807495.363661017,172639.71964659193
22,23,775199.0501290655,272838.3753377332
23,24,745458.395271088,374339.26334243687
24,25,718067.4372670483,423121.96148965135
25,26,703809.1083392563,491200.94453477254
26,27,690482.5914572284,530102.4276161324
27,28,679758.4529760202,557244.7103018828
28,29,670142.7038538193,554425.0655798432
29,30,664217.9996863776,537153.9678174893
