,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD
0,1,scenario_2055,104.08326539486353,52.48666157,6353.38273807,50.99364652651758,4217.297972178518,13.802513379944926,65.33279547385297,72.73179547385297,3.1005232146614135,0.0,7.399,0.0
1,2,scenario_2055,102.39395950605518,53.92082334,6348.5642297,50.94517166993896,4148.849828548197,12.931899060825542,2.074698207887818,74.80649368174079,3.0440915785412255,0.0,7.399,0.0
2,3,scenario_2055,104.770321626504,58.6403178,6564.49384039,55.73139013984468,4245.136461310057,12.601926635033347,5.27307923280569,80.07957291454647,3.1160090378584138,0.0,7.399,0.0
3,4,scenario_2055,108.62669053770729,59.44361835,6853.91121484,56.66098616610191,4401.390751829201,12.443596471751789,4.574531604386891,84.65410451893337,3.1452422714947037,0.0,7.399,0.0
4,5,scenario_2055,104.1511572707811,59.56341654,6678.35711806,56.374486982763166,4220.048849272436,11.362768839891853,2.840868197949986e-10,84.33010451921746,2.9954688300054557,0.0,7.075,0.0
5,6,scenario_2055,112.62680594535047,61.38922567,7094.954855,59.483421371296195,4563.469435017459,11.702335379128357,5.132562373779494,89.36866689299694,3.034734846517895,0.0,6.981,0.0
6,7,scenario_2055,114.98244110121827,59.91544914,7252.61940769,57.72151079715394,4658.916242228446,11.378185192559814,1.2608806413989715,90.54754753439592,2.933359311286743,0.0,6.899,0.0
7,8,scenario_2055,114.98317085220546,65.42808402,7324.350730339999,62.444724854353495,4658.945810645109,10.83643562446574,6.48895672868834,95.82250426308426,3.0091829348560535,0.0,5.685,0.0
8,9,scenario_2055,117.29025450711416,66.15911406,7396.876363926,63.95751837964102,4752.425383778992,10.527489187979855,2.534604464638885e-10,95.51550426333772,2.8658885093949293,0.0,5.378,0.0
9,10,scenario_2055,122.50786592945964,67.87187079,7825.69751527,65.12845190036819,4963.835181382807,10.472190910648251,7.227101245487777,102.29560550882549,2.9588185910764686,0.0,4.931,0.0
