CHL_2050_lowIR,USA_2050_lowIR,CHL_2037_lowIR
28.298775305163094,477.7595689213424,28.363232491785894
28.060710740220348,476.1270741233818,28.208599059474068
27.521418825630473,461.95828581616837,27.776970399005094
26.55765085801085,456.55882572134203,26.951761372055334
26.1920694967376,463.44882477304225,26.764070503069803
26.409891719152686,460.18169327052846,27.20978412245051
24.27308239499851,449.3223937518409,25.263140918823648
23.186067482455112,450.7873042604911,25.249894874010806
23.17876369166462,427.53924169107114,24.658241778818404
24.434235800302528,417.2785696287872,25.4713850579616
24.41879260393415,404.2916108115839,24.62162423127359
25.82752786834193,387.40355278290707,25.217095980867267
25.465775000825055,383.4172392172638,23.938763305729925
25.716238360461634,374.4631757212666,23.25430531184098
25.827336802319202,371.00760421238147,22.396910555347194
26.880348576464467,377.3212689640684,22.286550270017834
28.20518576367289,383.5784628813295,22.254860498513658
27.80464329490416,374.87311951117863,21.093219883611372
28.05510473165054,371.38311180620354,20.277025901905937
27.672881419409446,357.51628582872337,19.261562786642266
27.82364898334444,358.4916180170397,18.4385049632685
27.05204178367828,357.5182487840168,17.086247366516066
27.69926747328014,354.08362835222204,16.358022000006518
26.55351774420335,346.27712069118604,15.300254000004657
25.859953371483154,336.5773181888227,14.543230000005158
24.989997366754682,332.9246502218241,13.88174525064501
24.787361833144168,331.22472654511273,13.481839000005262
23.648845536050793,329.14094640514156,12.966547954539307
22.856910523658936,321.63064585190784,12.778802000004463
21.685514000336532,316.91714300010705,12.540493000006421
