,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Discounted_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh
0,1,linear_red_2055,137.00334969712995,55.55417025,25001.437517550003,25001.437517550003,53.49149299586957,337696.2033451566,337696.2033451566,18.168055739969414,13.089999999997122,20.488999999997123,0.6212170868480894,35719.76484968631,35719.76484968631,0.0,7.399,0.0,6814.227384808982,6814.227384808982
1,2,linear_red_2055,140.77241379000654,57.62769172,25694.90218607,24471.335415304762,55.285166149390626,346986.4771752685,330463.3115954938,17.77892616383758,6.145144665107939e-12,20.489000000003266,0.5916353208079616,35719.76484969702,34018.82366637811,3.8953857176401296,11.294385717640129,0.3000109609772849,8070.395388262214,7686.090845964012
2,3,linear_red_2055,137.5448275900062,59.3568174,26353.436637450002,23903.343888843538,55.336660108934936,339030.8789499784,307511.0013151731,16.54409187075631,0.0,20.489000000003266,0.5634622102932966,35719.76484969702,32398.87968226487,17.966656297735167,29.261042015375295,1.524937328875143,26041.205061673645,23620.140645508975
3,4,linear_red_2055,134.31724138000604,60.76753263,26751.403668630002,23108.86830245546,57.26861764711708,331075.28070003935,285995.2754130563,15.386545817222439,0.0,20.489000000003266,0.5366306764698062,35719.76484969702,30856.075887871306,10.71037910493837,39.97142112031367,2.116353613285794,40049.21857750944,34596.02079905793
4,5,linear_red_2055,131.08965517000618,61.5825745,27517.8185866,22638.977452069863,57.45696789040836,323119.68245010154,265831.3624056655,14.301727297424803,1.01139481306049e-12,20.165000000004277,0.5110768347331796,35154.91523227969,28922.035762695323,43.711000149559794,83.35842126987346,4.461517899406834,60225.5599889205,49547.717248611836
5,6,linear_red_2055,126.34543175680862,61.91947683,27820.30696988,21797.93847008582,57.46226351688637,311425.7622795383,244010.23365840424,13.127750570822137,0.0,20.071000000004275,0.4867398426030281,34991.03910870748,27416.394733593494,6.167621307434514e-13,83.26442126987408,4.249064666101778,76683.70044566123,60083.685840804596
6,7,linear_red_2055,124.63448276000601,63.4171228,28540.05786172,21297.030597315686,58.65455322875187,307208.485974873,229243.70221187765,12.33331117899902,7.859676877553508e-13,19.989000000005063,0.46356175486004686,34848.08334133735,26004.176332582298,45.55627349605292,128.738694765927,6.150321118857945,91990.14399757182,68644.46178980853
7,8,linear_red_2055,121.40689655000556,66.22752027,29403.91408336,20896.81277179409,58.863820991215455,299252.88772493356,212673.44029363565,11.441831087797596,0.0,18.775000000005065,0.441487385580997,32731.64063903244,23261.76590668871,2.769754166870854,130.29444893279785,5.97439051924403,115957.06199642103,82408.51905759744
8,9,linear_red_2055,118.17931034000486,67.72740356,29978.06446787,20290.33402928798,59.703709243277494,291297.2894749933,197161.47156894024,10.60728717040899,0.0,18.468000000005063,0.42046417674380665,32196.42819289767,21791.80991768329,3.0044781385274835,132.99192707132534,5.806375011521567,133250.77285322963,90189.36808780943
9,10,linear_red_2055,114.9517241400059,69.38349713,30544.3689975,19689.172596034958,62.6018412298095,283341.69124970667,182644.5805157911,9.82627843174955,1.197108900111062e-12,18.02100000000626,0.4004420730893641,31417.144924423403,20251.771740390035,75.1472527157628,207.69217978708815,8.215813214578175,150055.35904406084,96727.02236606448
