Case_study,scenario,build_time_s,build_time_min,update_time_s,update_time_min,solve_time_s,solve_time_min,full_time_s,full_time_min
two_country_pathways_emissions_local_Collab,MEX_2042_high-CHL_2035_high_cheapHVDC,28.927685022354126,0.4821280837059021,0.1702110767364502,0.0028368512789408366,118.68147778511047,1.9780246297518411,147.79838585853577,2.4633064309755963
two_country_pathways_emissions_local_Collab,MEX_2042_high-WECC_2041_high cheapHVDC,,,0.17169594764709473,0.0028615991274515786,83.97212719917297,1.3995354533195496,271.76500511169434,4.529416751861572
two_country_pathways_emissions_local_Collab,MEX_2042_high-WECC_2041_high,,,0.18228673934936523,0.0030381123224894205,77.5889310836792,1.2931488513946534,388.8239779472351,6.480399632453919
two_country_pathways_emissions_local_Collab,MEX_2042_low-WECC_2040_low_equal_FF_Cost,,,0.17646121978759766,0.002941020329793294,77.64397168159485,1.2940661946932475,510.8517508506775,8.514195847511292
two_country_pathways_emissions_local_Collab,MEX_2042_high-CHL_2035_high,,,0.17840290069580078,0.0029733816782633463,73.69821119308472,1.2283035198847452,622.7909781932831,10.379849636554718
two_country_pathways_emissions_local_Collab,MEX_2042_low-WECC_2040_low,,,0.16944384574890137,0.002824064095815023,83.79102301597595,1.3965170502662658,751.7481279373169,12.529135465621948
two_country_pathways_emissions_local_Collab,MEX_2042_high-WECC_2041_high_equal_FF_Cost,,,0.17975497245788574,0.002995916207631429,76.6351318359375,1.277252197265625,866.1546199321747,14.435910332202912
two_country_pathways_emissions_local_Collab,MEX_2042_high-CHL_2035_high_equal_FF_cost,,,0.17681217193603516,0.002946869532267253,77.44343972206116,1.290723995367686,981.4433789253235,16.35738964875539
two_country_pathways_emissions_local_Collab,MEX_2042_low-CHL_2040_low,,,0.1903059482574463,0.0031717658042907716,81.76793813705444,1.3627989689509075,1101.3788471221924,18.356314118703207
two_country_pathways_emissions_local_Collab,MEX_2042_low-CHL_2040_low_equal_FF_Cost,,,0.1970210075378418,0.00328368345896403,80.15701818466187,1.3359503030776978,1220.1902821063995,20.336504701773325
two_country_pathways_emissions_local_Collab,MEX-CHL_higher_ambition,,,0.18372607231140137,0.0030621012051900228,86.50230407714844,1.4417050679524739,1345.3493909835815,22.422489849726357
two_country_pathways_emissions_local_Collab,MEX-CHL_higher_ambition_cheapHVDC,,,0.17520809173583984,0.002920134862263997,78.60664486885071,1.3101107478141785,1461.8154728412628,24.363591214021046
