Case_study,scenario,build_time_s,build_time_min,update_time_s,update_time_min,solve_time_s,solve_time_min,full_time_s,full_time_min
three_country_baseline_emissions_Collab,MEX-CHL-WECC_low_MEX_FF_Costs,58.18249702453613,0.9697082837422689,0.2353661060333252,0.003922768433888753,1200.1289007663727,20.00214834610621,1258.5880258083344,20.97646709680557
three_country_baseline_emissions_Collab,MEX-CHL-WECC_CAGR_MEX_FF_Costs,,,0.22589516639709473,0.003764919439951579,150.1701900959015,2.5028365015983582,1465.150311946869,24.41917186578115
three_country_baseline_emissions_Collab,MEX-CHL-WECC_low,,,0.24368071556091309,0.004061345259348551,139.46875596046448,2.3244792660077414,1662.0811409950256,27.701352349917094
three_country_baseline_emissions_Collab,MEX-CHL-WECC_CAGR,,,0.2597198486328125,0.004328664143880208,148.81709694862366,2.4802849491437278,1876.3263759613037,31.27210626602173
