RE_PV_MY_y1,RE_PV_MY_y2,RE_PV_MY_y3,RE_PV_MY_y4,RE_PV_MY_y5,RE_PV_MY_y6,RE_PV_MY_y7,RE_PV_MY_y8,RE_PV_MY_y9,RE_PV_MY_y10,RE_PV_MY_y11,RE_PV_MY_y12,RE_PV_MY_y13,RE_PV_MY_y14,RE_PV_MY_y15,RE_PV_MY_y16,RE_PV_MY_y17,RE_PV_MY_y18,RE_PV_MY_y19,RE_PV_MY_y20,RE_PV_MY_y21,RE_PV_MY_y22,RE_PV_MY_y23,RE_PV_MY_y24,RE_PV_MY_y25,RE_PV_MY_y26,RE_PV_MY_y27,RE_PV_MY_y28,RE_PV_MY_y29,RE_PV_MY_y30,RE_WIND_MY_y1,RE_WIND_MY_y2,RE_WIND_MY_y3,RE_WIND_MY_y4,RE_WIND_MY_y5,RE_WIND_MY_y6,RE_WIND_MY_y7,RE_WIND_MY_y8,RE_WIND_MY_y9,RE_WIND_MY_y10,RE_WIND_MY_y11,RE_WIND_MY_y12,RE_WIND_MY_y13,RE_WIND_MY_y14,RE_WIND_MY_y15,RE_WIND_MY_y16,RE_WIND_MY_y17,RE_WIND_MY_y18,RE_WIND_MY_y19,RE_WIND_MY_y20,RE_WIND_MY_y21,RE_WIND_MY_y22,RE_WIND_MY_y23,RE_WIND_MY_y24,RE_WIND_MY_y25,RE_WIND_MY_y26,RE_WIND_MY_y27,RE_WIND_MY_y28,RE_WIND_MY_y29,RE_WIND_MY_y30,PP_CO2_MY_y1,PP_CO2_MY_y2,PP_CO2_MY_y3,PP_CO2_MY_y4,PP_CO2_MY_y5,PP_CO2_MY_y6,PP_CO2_MY_y7,PP_CO2_MY_y8,PP_CO2_MY_y9,PP_CO2_MY_y10,PP_CO2_MY_y11,PP_CO2_MY_y12,PP_CO2_MY_y13,PP_CO2_MY_y14,PP_CO2_MY_y15,PP_CO2_MY_y16,PP_CO2_MY_y17,PP_CO2_MY_y18,PP_CO2_MY_y19,PP_CO2_MY_y20,PP_CO2_MY_y21,PP_CO2_MY_y22,PP_CO2_MY_y23,PP_CO2_MY_y24,PP_CO2_MY_y25,PP_CO2_MY_y26,PP_CO2_MY_y27,PP_CO2_MY_y28,PP_CO2_MY_y29,EL_Demand_MY_y1,EL_Demand_MY_y2,EL_Demand_MY_y3,EL_Demand_MY_y4,EL_Demand_MY_y5,EL_Demand_MY_y6,EL_Demand_MY_y7,EL_Demand_MY_y8,EL_Demand_MY_y9,EL_Demand_MY_y10,EL_Demand_MY_y11,EL_Demand_MY_y12,EL_Demand_MY_y13,EL_Demand_MY_y14,EL_Demand_MY_y15,EL_Demand_MY_y16,EL_Demand_MY_y17,EL_Demand_MY_y18,EL_Demand_MY_y19,EL_Demand_MY_y20,EL_Demand_MY_y21,EL_Demand_MY_y22,EL_Demand_MY_y23,EL_Demand_MY_y24,EL_Demand_MY_y25,EL_Demand_MY_y26,EL_Demand_MY_y27,EL_Demand_MY_y28,EL_Demand_MY_y29
67.36966850590305,67.36966850590383,67.36966850590389,67.3696685059039,66.3043274645689,65.99524703899638,65.7256236890289,61.73388287365647,60.724439356095274,59.25466328980902,56.94642436691652,54.38171445259151,53.95755088983783,53.95755088983787,46.194371264554114,44.70157857083163,44.175484229431625,43.63952561913043,43.63952561913051,43.04109330578801,43.04109330578693,43.0410933057871,43.041093305787236,43.04109330578746,43.04109330578746,43.04109330578757,43.04109330578757,43.04109330578769,43.04109330578813,43.04109330578813,9.930767820306668,18.979441352699624,59.15174045254188,128.27151498441182,254.68803132775776,125.30000549883847,206.78015620038508,346.98297485348206,486.025680389072,881.1128353912015,311.8529242102956,513.3680473559433,699.7240583931635,801.0414824303645,1446.06192135934,512.7427583091869,926.9765972399763,1332.68060467791,1352.9241283393346,2456.7237513350537,901.7190683434811,1743.9833808811095,2215.0776130717345,2009.9143518618826,4066.3957401197167,1564.2514761344694,2840.8853895184243,3370.5173866204323,2855.2246403073814,5186.146604712034,1034.6268861029664,1053.326752658069,969.995993374892,954.2205384471883,888.5522587576795,1042.0566433121714,996.8000388522654,814.7252282020366,619.6630129465013,372.5281223398376,1009.0500302478035,846.3719656039815,694.6600689795091,538.0712859381363,1.7872560941965206e-11,974.4418893450018,587.2561278931136,226.10441365298192,240.7562283248719,2.2843876108144728e-11,700.7381673507572,2.5204864853273e-11,2.646536951932094e-11,2.7788793976767747e-11,2.919050543700706e-11,30.686776593108178,3.219527472067258e-11,3.381158429344374e-11,4.123835618797107e-13,36.55651471,37.46879548,36.0498872,37.80367305,39.76585044,40.54855548,41.73060226,40.22275351,38.34782902,43.16369165,45.29915766,46.49167323,47.61671271,45.79957214,43.62826562,50.36338278,51.23533839,52.68245076,53.82969476,48.25297292,54.0985752,56.64950552,57.58682727,59.10458663,56.7273936,53.85137576,60.26981894,62.83479851,64.32972925
7.6062729892303365,7.606272989230426,7.606272989230433,7.606272989230433,7.485992231335433,7.4510959620696,7.420654535688767,6.969972930489608,6.8560032000150315,6.690060302548781,6.42945199377628,6.13988720625128,6.091997645237538,6.091997645237542,5.215507307613791,5.04696575179796,4.987567846664626,4.927056230810049,4.927056230810058,4.859491113720891,4.859491113720769,4.859491113720788,4.859491113720804,4.85949111372083,4.85949111372083,4.859491113720841,4.859491113720841,4.859491113720854,4.859491113720906,4.859491113720906,10.580783208350836,22.72271422503322,67.5439945797741,143.02938878652654,229.81513413840622,133.50147925897605,247.5629450537412,396.2117765846797,541.9438291428349,795.0631343014007,332.26516253981924,614.6184819435258,798.9986033524126,893.2027787977056,1304.8391504584174,546.3041796453762,1109.8021233054706,1521.7569398681437,1508.5805385118845,2216.799491953749,960.740815777509,2087.945332033287,2529.3455297589117,2241.158696028563,3669.2705095074707,1666.639080865199,3401.1868764997876,3848.715293095689,3183.7234884223776,4679.666223064637,1055.7601188399287,1065.274355048242,965.784461481,956.9366038409138,934.086951759432,1048.6538352039609,970.9664880272499,758.2438269890057,573.1021662863184,462.856931683565,995.6888487914199,745.0611440960726,587.2421101398597,423.1605464987283,1.7876402519291152e-11,932.2098877820124,388.34368258121884,21.006466717734984,60.49532509064233,2.284412359618589e-11,619.3801105212956,2.5199075730425e-11,2.646490799845749e-11,2.778828075888928e-11,2.9190453950984187e-11,3.066281419148836e-11,3.219501957179388e-11,3.381146968662845e-11,4.1238346637284416e-13,35.30785233,36.01983591,34.22251164,36.41333476,38.51138887,39.11034774,40.30520836,38.18385457,36.88444927,41.57622333,43.87014126,44.90365523,45.77532201,43.47798322,41.96338074,48.77460931,49.41808352,50.88297412,51.7480412,46.411606,52.10894523,54.86242875,55.54429283,56.81894719,53.85187135,51.79636991,58.05322383,60.60612495,62.13241604
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98434841870667,22.68013548424183,65.98081624040873,138.17922270184317,223.75140024843125,125.9760508354763,247.09905159618134,387.04220243064964,523.5663641881667,774.0851804768731,313.53549967619364,613.4667849777012,780.5072879110589,862.9140258272555,1270.4106198602726,515.5092174906507,1107.7225312078904,1486.5387461415153,1457.4241557154492,2158.3086433983026,906.584215545064,2084.0328556363743,2470.808598837243,2165.1603855408175,3572.455823984687,1572.6912596090147,3394.813594991102,3759.6440378644656,3075.762545447205,4556.1919759183265,1029.4892059396363,1041.4558574990972,945.8128505762625,949.1555455231609,919.4055268849086,1038.5074901936964,939.4981339704981,741.8691594735257,575.2153646160017,467.41806175230806,988.6885266154887,708.5100284389816,571.8355672806175,422.51904021024893,1.787885646610447e-11,932.2971104052023,363.6667097921301,11.470973246006492,71.37107105122061,2.2844168641964903e-11,649.4355302382941,2.5198986816652252e-11,2.646491010368772e-11,2.7788365821608987e-11,2.919043946051732e-11,3.066946259516035e-11,3.219502043149177e-11,3.3811445248255104e-11,4.1238346374682895e-13,34.17447302,34.98529292,33.26444932,35.74799238,37.58324144,38.28439039,39.01141432,37.11489409,36.12433081,40.81654495,42.8128447,43.4622514,44.46058702,42.26081313,41.09859515,47.59911215,48.3744408,49.24963461,50.26176088,45.45515093,51.15681356,53.54021151,54.37127291,55.18702295,52.34428332,50.72894508,56.99247863,59.32620602,60.13797033
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.284658675737086,22.073969321763858,59.490553952304666,121.58799797724711,219.72231271736507,117.14781819244766,240.4948986376563,348.97044834401333,460.7015786101704,760.1462422392593,291.5633524733526,597.0708156010629,703.7319870741906,759.3036548860466,1247.5343581603238,479.38302309536266,1078.1167153035185,1340.314026387609,1282.430757911315,2119.444017596393,843.052009921457,2028.3334441643028,2227.7652904348915,1905.1888658079772,3508.1266747605027,1462.4791659340142,3304.081282980286,3389.823273193431,2706.454724827011,4474.14870709885,1025.4589589284392,1027.3550284740752,932.7565881518664,954.1567825935899,906.671427924308,1035.6114011908917,940.7028902915231,758.1318289768286,626.6365497439982,468.1237181565887,991.5649365766627,718.8905809447867,629.920682071653,501.2965327347914,1.7904909859383905e-11,947.1927570796568,378.4581983048356,150.87927024574623,225.23560557202157,2.284419917695162e-11,696.3819974660676,2.519907611926673e-11,2.6465105164491975e-11,2.7788778343639762e-11,2.919043914547507e-11,64.45614249935065,3.2195025583291185e-11,3.381139973235535e-11,4.1238353804844637e-13,34.01896825,34.50177527,32.62182385,35.36695169,37.03212298,37.89893324,38.83389991,36.39788309,35.74810285,40.38147815,42.18503964,43.26448427,43.84611515,41.44438973,40.67056118,46.90112154,47.88739442,49.02553304,49.56711332,44.98174428,50.61152901,52.75510097,53.82384887,54.42430532,51.33306052,50.20061288,56.38499127,58.72889443,59.86432335
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.639421611219586,21.267719195450457,53.56684771649149,106.68941957992276,220.6434053089192,109.00663422812448,231.71083993131555,314.22210119250946,404.2502947591184,763.3328329116638,271.3011664047999,575.2628474246384,633.6586513389954,666.2636738197278,1252.764116762441,446.068314886445,1038.7385805773356,1206.8537368360007,1125.2902876038984,2128.3288875883313,784.4641368380004,1954.2487124277775,2005.938020958506,1671.7397906429987,3522.8330077241094,1360.8442220010481,3183.3999540846216,3052.2853629258684,2374.8239013292036,4492.904677653926,1023.9011080054568,1028.4451783378888,932.2217453126794,972.9860070575812,914.5320181577538,1049.5949819885482,946.9720433353643,785.6740334449989,697.67587984505,469.4250826216844,1021.8307524702154,737.8967160462108,700.3548081401813,586.1312511427775,0.8955833875898762,991.629452071908,425.2185240351848,281.164638018188,382.7839417836053,2.2844210087305775e-11,760.5947830453581,2.5199404232643034e-11,2.6465653205140128e-11,2.779733924423934e-11,2.9190446359921016e-11,186.57689666981628,3.219504024309398e-11,3.381140462176615e-11,4.12383714978827e-13,33.94653796,34.51110896,32.40948799,35.49617841,37.32083584,38.09101204,38.75121808,36.16096881,36.22770985,40.52902736,42.5139261,43.17236921,43.85797675,41.17462767,41.21620932,47.2667759,48.13009659,48.92115205,49.58052261,45.58523251,50.79645764,53.1663946,54.09663809,54.43902862,50.99893298,50.87411897,56.59101546,59.02654332,59.73686533
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.416525376653336,20.96995210948938,52.33706460607303,97.76781366191408,226.6442537954395,106.19427370150822,228.46668098047226,307.0082170563373,370.4459884250871,784.0932298456937,264.30162278413326,567.208653170656,619.1111701933515,610.5492275446552,1286.8355980447186,434.5597958880922,1024.195311627272,1179.1468919202528,1031.1910176960332,2186.2131428010366,764.2250386527261,1926.887482998564,1959.885867361991,1531.9452011860903,3618.6436533813735,1325.7345738596314,3138.82950818654,2982.211256505227,2176.2358589933337,4615.098405570841,1057.5225721691895,1035.1023434655162,937.2117669397647,1026.5648760047563,944.8205728837337,1087.3211510651643,988.341892515374,797.0834134270046,779.9932371207478,499.65370804598757,1070.169268382549,788.4263846126937,722.9840441566583,646.6228916345163,22.017324951133503,1049.098439224427,483.87731723524837,357.00294219226896,486.01946616230333,2.2844210869339474e-11,844.7402192181319,2.5199893305346033e-11,2.6466241836693505e-11,133.94012220977214,2.919046436567209e-11,289.8128144820668,3.219509179098535e-11,3.381141319658614e-11,4.1238390391881327e-13,35.04457307,34.72018506,32.53311227,36.9643624,38.51391211,39.23886328,40.00466543,36.29890292,37.82265947,42.20537878,43.8730156,44.56882316,44.12367828,41.33168611,43.03078103,48.77780499,49.58046999,50.50355619,49.88089262,47.59215344,52.89748793,54.86602329,55.72680987,54.76883255,51.19346572,53.11388674,58.93171878,60.80527503,61.66911466
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.015622637437918,20.55821448037116,50.90033973957694,90.67602727457988,232.97732678430708,101.13594222733224,223.98081811019702,298.58041654854406,343.57493833655474,806.0029830008369,251.7121942716072,556.071710899522,602.1157116204023,566.2618026905866,1322.7933760629771,413.8604924667909,1004.0855971576533,1146.7776776048436,956.3914886063608,2247.302039478192,727.8228539432549,1889.053725454197,1906.0842875002406,1420.8224531467151,3719.7586562715455,1262.5861131412432,3077.1996955308305,2900.3454296459117,2018.3781831143694,4744.057135226817,1117.9341420417384,1072.4492635988015,953.0795841020943,1102.1438376754243,1008.0291592656995,1161.7362459893404,1061.3321328148158,821.6127421139644,908.8316912634472,555.9416294116779,1161.976884345075,875.8834122046607,786.9180808504408,709.2442950802522,102.06770437454169,1157.8721374040617,591.6231314215341,475.85493652434525,613.8820729269758,2.2844295164650556e-11,979.1503037984363,2.5202108720929944e-11,2.6469074987893814e-11,303.3257172408137,2.91904774872275e-11,496.1528228504548,3.21951862173964e-11,3.381146266043945e-11,4.1239079211480487e-13,37.01752651,35.93449243,33.00755914,39.21599556,40.80021324,41.51908564,42.25686414,36.82826823,41.17501248,44.77626123,46.47744916,47.07797665,45.66686441,41.93444705,46.84474785,51.67340153,52.46165683,53.34682567,51.62543216,51.81041046,56.11966546,58.12303471,58.96516866,56.68432341,51.94004599,57.82155406,62.52146317,64.33875016,65.14098723
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.852906453000001,20.148152023195568,49.80127277304084,86.11773147249956,232.4737108205291,99.08289465097762,219.513206162566,292.1333108050055,326.3033810551897,804.2606848351974,246.60246672067754,544.9800797486257,589.1145117844057,537.7957474865277,1319.9339567788772,405.45917378329085,984.057699911119,1122.01584949397,908.3135628448086,2242.4441539571694,713.0481367319895,1851.373896151119,1864.9271108184485,1349.3975217911727,3711.7178315846263,1236.955765488012,3015.820626372166,2837.7196422822717,1916.914046719854,4733.8021334232,1187.549624280343,1101.8238383976434,959.6631124769635,1177.1406933566714,1067.0839232503108,1234.1137437990285,1145.0826245082799,834.1791492033365,1027.2100403906459,638.1096652106505,1233.7849887918376,975.3033573597236,836.7284396406043,744.6780828759769,219.95616403780832,1240.428386654229,700.5098537472348,600.706774764385,703.5719809426944,2.2844449182152323e-11,1094.7254309430357,2.7928707317651727e-09,28.4711525940791,420.4402818838563,2.9190471744837205e-11,663.7661715203527,3.2195314973009464e-11,3.381168783477029e-11,186.6760181384811,39.30090512,36.88675037,33.1878702,41.53178383,42.72518249,43.83112236,44.86342457,37.02945074,44.49907139,47.42039507,48.67027251,49.98192122,46.87702854,42.16352319,50.62652452,54.11137185,55.38304286,56.63745614,52.99349733,55.99306509,59.43365154,60.86530112,62.24871003,58.18644834,52.22377992,62.48948834,66.21348907,67.92152542,69.15912542
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4070412917754185,19.366124836300042,49.414487103048785,82.30694734228688,217.10844694035393,93.45725641594179,210.993055286987,289.86443348410535,311.86417411257605,751.1033725209315,232.60109675137267,523.827309102997,584.5391056059129,513.9978203375529,1232.6934104017073,382.4383825678535,945.8626399414296,1113.3016213643798,868.1199017791863,2094.2306375105372,672.5633398803167,1779.5149624766034,1850.443001439727,1289.6855138984404,3466.393215180675,1166.725019062108,2898.765041427792,2815.680259913636,1832.0889415607094,4420.923233353779,1221.7634744790678,1159.9646431637057,976.026154980289,1210.1897976202172,1116.4744375513194,1275.0163327340642,1192.150168667193,854.2735759325699,1092.3845740082593,724.6508718457497,1286.5461279028095,1039.4014181511866,914.1974735649306,788.7730425666185,364.91821282747804,1306.5421001738332,783.2792885919248,658.0848383773091,826.1703588458166,2.284488068235915e-11,1177.051438565542,120.27619320259035,93.05538614363402,570.6320287557553,2.919041016755477e-11,805.2439011170907,3.2195484912449763e-11,3.381182441318319e-11,330.923783035126,40.41108545,38.7725184,33.713117,42.49304367,43.84382086,44.99091252,46.13073613,37.6154962,46.16708213,48.51794776,49.94456629,51.39382117,49.27353137,42.83082289,52.52421775,55.52812546,56.84850176,58.23736306,55.7026935,58.09191864,60.80925299,62.45888731,63.8958374,61.16112469,53.05029795,64.83185491,67.74601095,69.71875791,71.11274711
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.888926042395835,19.081571896185164,50.20046582182646,75.54502931330359,195.5931664052409,86.9200132972834,207.89286385823013,294.4749695719118,286.2430078608862,676.6696045197397,216.33087892727093,516.1305395025898,593.8366886475314,471.7703870475694,1110.5344391026115,355.68719404991117,931.9647642737245,1131.009614167144,796.7996085997069,1886.6939879409026,625.5181960990092,1753.3679548108266,1879.8758440069219,1183.73154512978,3122.8763068306553,1085.1137521072467,2856.172518545032,2860.4660078373045,1681.5738800177153,3982.813132478998,1253.4637915784472,1194.1498562079873,1004.8444225823448,1252.7338896158672,1176.7405730155988,1323.4103380568895,1230.8459868209495,882.6940533822637,1157.952835239116,839.9402128302755,1346.9592741769113,1086.7549422640932,947.9820866941456,868.6111848482686,532.5249322182406,1382.3711816959421,850.0654936221293,685.3142476245442,946.1941709169635,2.2848662775656117e-11,1275.3023112885164,201.62676781420026,123.06727820977272,730.0620827369154,2.919035270216686e-11,942.9523733386185,3.2195625242134613e-11,3.381186547214146e-11,536.3112144781196,41.43625373,39.88706065,34.68640729,43.66944391,45.11782157,46.36702525,47.30100331,38.70144733,47.48041128,49.86114468,51.39584065,52.69760488,50.68993234,44.06733935,54.01839029,57.14164523,58.58729615,59.7147571,57.30390508,59.74447728,62.49272901,64.2737991,65.85018484,62.91924256,54.58184842,66.67614659,69.62152791,71.85120787,72.91677023
