,year,total_fossil_gen,total_curtailment
0,1,79698.51802115052,0.0
1,2,80804.16160608392,0.0
2,3,81507.9305124948,2.9103830456733704e-11
3,4,81574.51692247717,0.0
4,5,83964.35553204855,1.4551915228366852e-11
5,6,88800.3092225986,0.0
6,7,87879.04095166834,1.1641532182693481e-10
7,8,89562.89487500183,1.4551915228366852e-11
8,9,89884.5335375552,1.4551915228366852e-11
9,10,95022.69155072495,0.0
10,11,95723.23710750583,2.9103830456733704e-11
11,12,101525.28755094916,0.0
12,13,101457.94595831151,7.275957614183426e-11
13,14,104002.40174054027,5.820766091346741e-11
14,15,105410.24830724411,2.9103830456733704e-11
15,16,110623.55384371053,0.0
16,17,117290.64893101098,4.3655745685100555e-11
17,18,118247.95396386374,2.9103830456733704e-11
18,19,122233.28729830205,1.0186340659856796e-10
19,20,124282.19296017499,0.0
20,21,127410.57502744172,5.820766091346741e-11
21,22,127482.87813020418,0.0
22,23,133801.64498294168,0.0
23,24,132415.26990309174,5.820766091346741e-11
24,25,133864.82096931254,2.9103830456733704e-11
25,26,134020.4498010166,0.0
26,27,138825.72614587084,0.0
27,28,138560.64722700414,0.0
28,29,141433.3899521752,2.0372681319713593e-10
29,30,143118.78691601654,0.0
