,year,total_fossil_gen,total_curtailment
0,1,76880.05908667116,2.5713234208524227e-07
1,2,76538.08443593157,6.708141881972551e-07
2,3,75095.56987825465,7.048365660011768e-07
3,4,71978.61295555985,7.405178621411324e-07
4,5,69644.42056788703,7.780909072607756e-07
5,6,67569.93218201635,102.19395362227806
6,7,63596.38847708276,1309.919547861471
7,8,63813.9876819361,1505.7995339897607
8,9,62549.375688479515,2306.63365495624
9,10,64198.2121591284,2250.8376055221015
10,11,61689.24526983401,3987.6175380170025
11,12,62051.492293037394,5684.237739809672
12,13,57644.708342692844,11656.610127759108
13,14,54185.384353681424,18870.80712419738
14,15,50594.108485983816,23007.605595802495
15,16,48140.463564641475,25966.59086997423
16,17,46025.97765442746,29285.119929252556
17,18,43280.37111727556,35860.51186336379
18,19,41314.6336268534,43458.74651921957
19,20,39491.31265856158,55357.66653823397
20,21,38072.389440775965,70001.20633927654
21,22,36237.83891657598,95515.54879381649
22,23,35981.01537195775,129474.40361362742
23,24,34873.18336753868,184230.8881967241
24,25,34275.45658673481,263364.4604944096
25,26,33634.97396924297,383551.61719577096
26,27,33683.396818307636,565263.9379766883
27,28,33045.59649541719,845916.4333209273
28,29,33165.309831476174,1262260.758079872
29,30,32993.10102546979,1883664.4702742647
