CHL_maxRE_low_MEX_FF_Cost,CHL_maxRE_high_MEX_FF_Cost
27.294424759609683,27.294424857325794
25.808086057160835,25.438882582995575
23.752372895674853,22.51577392110994
21.481478684965623,20.001833440575865
20.50025300350353,19.04254501197829
20.459007641438802,18.78079598390832
19.54739717989105,17.88888200794281
19.169617043551625,17.338445725394195
18.687332954292287,16.64349312197737
18.906439211788893,16.371372252218862
18.594273295635503,15.633157639460478
18.91280436159832,15.266684825022821
18.454828504014586,13.834011454167921
18.248233960692232,12.196046630886485
17.981698960582435,9.927314632257549
17.985186490905107,7.51710236110921
18.18937405530778,8.103538661904167
17.661278265813962,8.148736497721984
17.239184348933122,8.376035005738231
16.653644585403526,8.618386201269459
16.158872686275572,9.033742315103154
15.220741584516873,9.198492250736308
14.70198054672801,9.948117993115375
13.18027205105318,9.988014485257736
11.546915951859773,10.162129902799279
10.392993601544731,10.392993940025917
10.90406511967376,10.90406547679595
11.051512357315005,11.051512735308279
11.513167237859307,11.51316763999057
11.716389048504425,11.71638947017891
