PV_total,PV_total,Wind_total,BESS_Charging,BESS_Discharging,PP_total,PP_total,Net_demand
0.04716742434,1.3900503643863178e-08,11.01814029704904,0.0012806105026033842,0.0005727443700230346,2.857994504005748e-05,2.3899949879800602e-05,7.992
0.032968398159999995,9.71597124854607e-09,10.445257666408665,0.0012584875170623237,0.0005784885560969487,2.858496031587374e-05,2.3903339869149542e-05,7.948
0.0,0.0,10.225090700706561,0.0012467903551040022,0.0005815663288817741,2.8583464549882266e-05,2.3902001283344862e-05,7.752
0.0,0.0,10.146993281640718,0.0012406747452408382,0.0005831310510007832,2.8579061409642035e-05,2.3898557944896848e-05,7.523
0.0,0.0,9.9846090989566,0.0012362562696987532,0.0005843389501327886,2.8576862117647083e-05,2.3896712157650152e-05,7.308
0.0,0.0,9.86993012468577,0.0012335157389873196,0.0005850986691256137,2.8574620571342704e-05,2.3894874062255996e-05,7.136
0.0,0.0,9.832302860059679,0.0012327990342375014,0.0005852338153373815,2.8570299040330034e-05,2.3891551714001323e-05,6.89
0.0,0.0,9.746889166871089,0.0012325155287842252,0.0005852765417821291,2.8566862133376104e-05,2.388890303733283e-05,6.627
1.0290180000000001e-08,3.0325735735522253e-15,9.634296258296263,0.0012309360879424977,0.0005857978843633851,2.8567474492433042e-05,2.3889320455273334e-05,6.66
0.00263587562,7.768072811537394e-10,9.440887824525726,0.0012277901578486073,0.0005869273055198892,2.8571993147342195e-05,2.3892677530095244e-05,6.898
0.02610744156,7.69400898214755e-09,9.037153538268825,0.0012220817970693444,0.0005891887882278637,2.8581223779834482e-05,2.3899502001875395e-05,7.196
0.38890045378,1.146111378883262e-07,9.019662963727317,0.001221667636507052,0.0005894351920901949,2.8574963646281994e-05,2.3895128941530156e-05,7.472
1.49481504474,4.405303504921013e-07,9.247793195877142,0.001227657220324652,0.0005871474857070922,2.8549892210150206e-05,2.3877122354999134e-05,7.621
2.9703646136999997,8.753830575676308e-07,9.359154142461422,0.0012319959281672452,0.000585518479523009,2.8526128330466324e-05,2.3860235681898133e-05,7.801
4.250830189439999,1.2527434212184572e-06,9.445779677194503,0.001234800102791652,0.0005844569580809638,2.850682409932759e-05,2.3846598342318866e-05,7.807
5.129074966199999,1.5115670667827377e-06,9.519924997636197,0.001236826791431498,0.0005837483009601414,2.849275649472317e-05,2.3836610312424252e-05,7.605
5.483228159239999,1.6159379926754086e-06,9.710076688014592,0.0012379171531056038,0.000583405242220846,2.848527556917209e-05,2.3831290765664522e-05,7.549
5.22842615214,1.5408464167049662e-06,9.907727951625205,0.0012381171107385095,0.0005834022741049718,2.8484760120941888e-05,2.3830920478766692e-05,7.535
5.0250270242,1.4809035565922752e-06,10.152635128550966,0.001239274430314043,0.0005831048190307885,2.8485859468884814e-05,2.3831767246527002e-05,7.619
4.6313418877,1.3648823459574563e-06,10.254800846696984,0.001240558722090409,0.0005827727709548392,2.84915739082112e-05,2.3835900511364686e-05,7.623
3.5065541863600003,1.0334011222140198e-06,10.256116059340469,0.00123999969741677,0.0005830211729422319,2.850798691224969e-05,2.3847643915963082e-05,7.759
