,year,location,fossil_gen,curtailment
0,1,MEX,353009.29629921715,2.3283064365386963e-09
1,2,MEX,357327.56030032027,3.5332050174474716e-08
2,3,MEX,371381.9291175672,2.1420419216156006e-08
3,4,MEX,370538.93805641984,1.0168878361582756e-07
4,5,MEX,379279.26092697,8.14325176179409e-08
5,6,MEX,390424.0950792725,1.121661625802517e-07
6,7,MEX,394345.75319944567,1.1781230568885803e-07
7,8,MEX,397721.0748626988,1.2398231774568558e-07
8,9,MEX,396822.52728966105,1.300359144806862e-07
9,10,MEX,405305.15238919744,1.3649696484208107e-07
10,11,MEX,400660.9188966821,6492.821382823575
11,12,MEX,405217.4703424821,14457.747252137866
12,13,MEX,390264.89182567154,15630.41962265945
13,14,MEX,369547.93536896905,7925.3599932004
14,15,MEX,354460.4813478817,6490.190250356216
15,16,MEX,351494.5140754733,7358.700392934959
16,17,MEX,327066.2539904625,16609.75943179871
17,18,MEX,298353.0524573356,9337.977876325487
18,19,MEX,267754.88215819804,13266.858446220285
19,20,MEX,241776.52918456477,26095.257725924486
20,21,MEX,213704.67376739153,63800.19285899587
21,22,MEX,183563.19463603132,148816.44104820292
22,23,MEX,161053.03866314687,223682.77550924197
23,24,MEX,139824.9517203333,342943.2059709317
24,25,MEX,122699.09697316118,503841.6296878902
25,26,MEX,106453.29681157175,556313.4224253149
26,27,MEX,95565.81306901117,587119.192454252
27,28,MEX,84663.8774484697,628693.5581871116
28,29,MEX,76984.41256453391,659746.1602836013
29,30,MEX,70499.352165689,715508.0185663616
30,1,CHL,76880.05908664693,3.8853613659739494e-08
31,2,CHL,77074.16259339491,4.241883289068937e-08
32,3,CHL,76640.7332719233,2.7197529561817646e-08
33,4,CHL,75322.08706221297,1.0084477253258228e-07
34,5,CHL,75661.0822805918,1.0593794286251068e-07
35,6,CHL,77459.14418414191,7.262860890477896e-08
36,7,CHL,72035.64486809225,1.1683732736855745e-07
37,8,CHL,69388.0247738225,192.03444643580588
38,9,CHL,65420.49810187006,1119.5761861438368
39,10,CHL,68007.37753212944,795.5396789164806
40,11,CHL,64066.72420422462,0.0
41,12,CHL,62231.193102131525,0.0
42,13,CHL,57644.70834266876,0.0
43,14,CHL,54185.38435365614,2318.571888526014
44,15,CHL,50594.10848596029,11462.329457541418
45,16,CHL,48140.46356461798,21308.838773181604
46,17,CHL,46025.977654404334,22455.628815771503
47,18,CHL,43280.37111725245,25754.749237740907
48,19,CHL,41314.633626830546,27975.580352560355
49,20,CHL,39491.312658538896,34910.7326175387
50,21,CHL,38072.389440751795,42739.6786160412
51,22,CHL,36773.30201962395,61844.90138551501
52,23,CHL,35981.015371933514,65714.47049345667
53,24,CHL,35105.990821653126,77758.12370454168
54,25,CHL,34499.31812460781,92907.46621280126
55,26,CHL,34006.024846267035,95461.11627811074
56,27,CHL,33683.396818283865,95111.27482333311
57,28,CHL,33376.8350470123,104350.41550500254
58,29,CHL,33165.30983145262,116587.14032829736
59,30,CHL,32993.10102544123,143064.38644575904
60,1,USA,1275898.917965918,1.1874362826347351e-08
61,2,USA,1282457.3567928658,9.406358003616333e-08
62,3,USA,1257212.8164593766,9.895302355289459e-08
63,4,USA,1256992.03342692,1.0384246706962585e-07
64,5,USA,1291331.460201232,1.1012889444828033e-07
65,6,USA,1300716.0487901338,1.1478550732135773e-07
66,7,USA,1292133.0434478894,1.2060627341270447e-07
67,8,USA,1318689.9625669995,1.2619420886039734e-07
68,9,USA,1282004.6505876405,1.3248063623905182e-07
69,10,USA,1281788.6722811577,8.288770914077759e-08
70,11,USA,1269870.3260993871,0.0
71,12,USA,1247179.1884611407,0.0
72,13,USA,1211309.774472082,0.0
73,14,USA,1159828.8264091862,0.0
74,15,USA,1114040.9857483755,0.0
75,16,USA,1085398.368838268,0.0
76,17,USA,1051005.1508970882,0.0
77,18,USA,989662.7386755822,19684.193895992823
78,19,USA,940455.6007397034,57138.64094168134
79,20,USA,873463.5407362779,138867.0258304705
80,21,USA,844412.2579118282,255116.6340013123
81,22,USA,807495.3636607855,412771.5248105449
82,23,USA,775199.0501288421,565790.9952711237
83,24,USA,745458.3952708595,691172.8284275292
84,25,USA,717665.1580452316,702697.8951818463
85,26,USA,703809.1083390303,723302.1873708218
86,27,USA,690482.5914570113,736085.7509766505
87,28,USA,679758.4529757955,732078.85408104
88,29,USA,670252.9459946459,723875.890972917
89,30,USA,664217.9996862151,700690.8261992903
