total_discounted_energy_GWh,total_discounted_cost_BUSD,total_discounted_demand_GWh,lcoe_USD/kWh,lcue_USD/kWh
93476.79042081842,4.028564488486221,93476.79041948917,0.043096949203649704,0.04309694920426254
89769.68633866697,3.713415525129737,89769.68633733412,0.04136602985467086,0.04136602985528504
86431.83128165347,3.45716912289636,86429.10576019915,0.039998795254384475,0.040000056606953764
82665.82683514457,3.194160221709735,82127.86341584314,0.038639427487729056,0.03889252792973006
81005.24879168812,3.0922059136576103,79917.9443082169,0.038172908049569486,0.038692260423166064
81327.58459523486,3.0593758731344,79793.24103593682,0.03761793600979088,0.03834129098423933
79281.63922944423,2.85836107585292,75514.89683458139,0.03605325398962436,0.037851618629821907
76624.98387397757,2.73295106384565,72828.63472791575,0.03566657930186894,0.037525776420989115
73614.27196461445,2.6079215185949343,69417.78727026445,0.03542684657464972,0.037568491033018764
72076.96228711132,2.646320802352192,68702.04523900844,0.03671520994199006,0.038518806727599914
69247.70498401947,2.5297558061475325,65526.51867074607,0.036531980471141,0.03860659558092665
68465.10696465617,2.5220319364372106,65530.4314544661,0.03683674864831749,0.03848642348997271
65273.64574510616,2.380819880416485,61905.721370801184,0.03647444314223838,0.03845880199272561
63379.20368675455,2.3350740230310794,59912.94695263169,0.036842905672528674,0.038974447791346886
60943.80188391471,2.2261498746136104,57153.30221955238,0.03652791269658502,0.03895050308837685
60306.50696287329,2.216805459423804,56597.615097635564,0.036758976287393726,0.039167824573520124
58728.12831471899,2.2300222029917247,55776.46749052352,0.03797196108551642,0.039981416954571525
56306.05465487785,2.143426684684627,52820.04915847829,0.0380674280558732,0.04057979344649247
54476.83295744187,2.080992205991268,50932.95787318439,0.038199581235145795,0.04085747800417628
53687.47695506827,1.9904768674855413,49275.86259721409,0.03707525442388356,0.0403945616083051
52243.08950481177,1.8786511464164195,48027.96309585133,0.035959801846010456,0.03911577808676
50180.770553563154,1.7265687893074797,45754.523170684304,0.03440698040825286,0.037735477711495886
49650.818336966695,1.6576763479355203,45701.12972986064,0.03338668733887362,0.03627210875823081
47735.92407647066,1.5188174521588333,43192.99956506396,0.03181707448934602,0.03516350953748781
46254.01620590577,1.404960550160752,41585.82234645809,0.030374887748263576,0.03378460424458612
44520.633451091024,1.2776836395663498,39534.518997564504,0.028698685093283164,0.03231817844160594
43853.17858251871,1.2137536129809248,39050.16307605678,0.027677665615435366,0.031081908944065994
42344.39291344549,1.1064683270344298,37109.60082425291,0.026130220577163975,0.029816228212061483
41357.91408028987,1.0250596578202416,36147.70675208214,0.02478509084936561,0.028357529423666615
40120.666970491075,0.9241460780083994,34716.42254625242,0.023034165376366076,0.026619853378531927
