MEX,CHL
141.57169845750104,18.405221253262425
142.29493196603107,12.855517980093282
143.0986548772962,6.718217593303052
142.92672703787503,4.42420971185129
140.60428807183052,4.351622445268731
139.31918400568793,4.460388400068041
133.86227732216503,4.412630366481608
130.61697462956727,4.404261406411024
126.57319383825597,4.629281140951207
121.52627640873106,4.71699510597864
118.47305720964869,5.005440596789413
120.26788078845311,4.865434081222702
121.33553686008418,4.785472167226544
124.9198826429456,4.798519567868425
128.1258806209862,5.013415901186818
130.79073620691997,5.059693792369217
133.06642058203215,4.761031957399609
134.0300977897714,4.649497767963112
137.2468274307048,4.663294418091027
140.8455606302996,4.582146581960842
142.80376117827655,4.847678942594939
144.52813858674926,4.55073459608866
148.12012719278573,4.3931551398945885
149.41934001996742,4.10749969767312
150.8274620163029,3.949381363907378
153.69906793996415,4.073627305318951
155.34576618292522,3.969222501698823
156.14015024224136,3.8877330576979148
156.7413095938664,3.311200901516713
158.59681283990358,3.369412289777756
