Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget,1,1,0,8760,1,0
1,RE_PV_Existing,1,1,0,8760,1,0
2,RE_WIND_Existing,1,1,0,8760,1,0
3,RE_PV_Openfield_Lim,1,1,0,8760,1,0
4,RE_WIND_Onshore_Lim,1,1,0,8760,1,0
5,BESS,1,1,0,8760,1,0
6,PP_CO2,1,1,0,8760,1,0
7,PP_CO2_Existing,1,1,0,8760,1,0
8,EL_Demand,1,1,0,8760,1,0
9,RE_PV_Existing,2,2,0,8760,1,0
10,RE_WIND_Existing,2,2,0,8760,1,0
11,RE_PV_Openfield_Lim,2,2,0,8760,1,0
12,RE_WIND_Onshore_Lim,2,2,0,8760,1,0
13,BESS,2,2,0,8760,1,0
14,PP_CO2,2,2,0,8760,1,0
15,PP_CO2_Existing,2,2,0,8760,1,0
16,EL_Demand,2,2,0,8760,1,0
17,EL_Transport,1,2,0,8760,1,0
