USA_2050_midpoint,CHL_2050_midpoint
5448.393400002738,22.192195424844414
5495.773564267869,20.54591117172774
5401.832484623666,19.375880072757514
5425.056854355831,18.188683245041396
5604.135834601458,17.97599298344394
5673.409700451458,18.22812193471626
5673.744348836449,17.157395612116755
5840.614070191929,16.953697259618888
5731.158436250548,16.7155769988662
5793.78182259365,17.85292002789586
5838.523913761587,17.609516382488746
5848.118584615638,18.352765757337885
5816.62934177834,17.745566948631264
5705.1340345864555,18.05157500501779
5651.065915243081,17.618069939882226
5721.768628363127,18.269614335123855
5781.973600002777,19.212975583732035
5615.926773487907,18.885068884184182
5505.443700002241,18.797218975022332
5213.447559045737,18.235438005614878
5009.916000001616,18.08584638490252
4751.985700000867,17.19103128136619
4434.938300000619,17.25222168528134
4020.0303000012545,15.974413157635347
3576.60170432004,14.95274009211622
3158.1415759467645,13.508133995305052
2775.998600001165,13.17245095456065
2389.1926000010903,11.65048965570297
2002.297400000413,10.48626311841744
1677.3953000003269,8.714801805699407
