,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD
0,1,slow_fast_2055,100.84734377786097,56.4756583,74825.59905568001,54.10181825649015,49034.19931730373,13.37339683324851,66.08472443793198,73.48372443793198,3.1362077922459792,0.0,7.399,0.0
1,2,slow_fast_2055,102.83730877739255,57.62769172,76736.67751548,55.01284072144481,50001.76412135468,12.987892090622251,3.665661595101983,77.14938603303396,3.1480222306945285,0.0,7.399,0.0
2,3,slow_fast_2055,104.5801502772322,59.3568174,78757.24052171,56.41863782803016,50849.172037916636,12.57905254860884,4.004656309318374,81.15404234235234,3.162822192068912,0.0,7.399,0.0
3,4,slow_fast_2055,106.56841835800925,60.8915819,80193.04534931,58.398793224161714,51815.911762701086,12.207813642445164,1.39087412745992,82.54491646981225,3.066214861654433,0.0,7.399,0.0
4,5,slow_fast_2055,109.0225728166333,62.10057291,82184.77485076999,59.78382674865999,53009.17570373937,11.894234550125521,3.2021638912670594,85.42308036107931,3.0385516645825703,0.0,7.075,0.0
5,6,slow_fast_2055,108.75396752257494,63.70655604,83637.97146716001,60.725053385911465,52878.57389477579,11.299933360247657,7.567537426163778,92.89661778724309,3.1620660828832046,0.0,6.981,0.0
6,7,slow_fast_2055,111.82280929905458,64.46903521,85416.16557363,62.17683739726806,54370.71234586567,11.06552114193601,1.3253268508521604e-12,92.81461778724442,3.0114915075078588,0.0,6.899,0.0
7,8,slow_fast_2055,115.25851251902284,66.22752027,87873.59180498001,63.15779699344279,56041.2269094828,10.862384832728877,4.389795028923869,95.99041281616829,3.013878431114148,0.0,5.685,0.0
8,9,slow_fast_2055,118.78503816810178,67.72740356,89733.59236663,65.29789761504216,57755.901338145966,10.661654800421779,5.906906316323183e-12,95.6834128161742,2.870360410585094,0.0,5.378,0.0
9,10,slow_fast_2055,122.33407926144385,69.52513481,91563.26892261,66.95906600281289,59481.52327162537,10.457335316263524,1.0491305188648561e-10,95.23641281627913,2.7336765815129436,1.902376341685065e-14,4.931000000000019,1.0548290311665634e-15
10,11,slow_fast_2055,117.61487580341627,70.74169449,93620.55713542001,67.81267830124933,57186.94262813743,9.575170844285422,28.393149838117814,122.92756265439694,3.489574263492346,6.7777593766286e-14,4.229000000000087,4.65639395396371e-15
11,12,slow_fast_2055,119.87643002298793,71.82434846,95161.35025414999,69.3337339415882,58286.560091674364,9.294558798527138,1.6430783076097182,123.79064096200665,3.37396717589084,9.721989717661211e-14,3.4490000000001837,9.542400701241081e-15
12,13,slow_fast_2055,123.13459893138089,73.23537375,97519.770278461,70.27319328991582,59870.753563497325,9.092551703380899,2.6888929217074544,126.35053388371409,3.295101481612777,1.8119582204838992e-13,3.320000000000365,1.840039274411575e-14
13,14,slow_fast_2055,125.19096313999972,75.40985705,100057.12080227,72.21854774031345,60870.6031251925,8.804189074590234,7.995959553199003,134.34649343691308,3.3791528763882828,3.506608973203093e-13,3.3200000000007157,3.520453052595346e-14
14,15,slow_fast_2055,122.18596908000026,77.05336202,102089.76889716,73.94720246196692,59409.508839854214,8.183675844453802,22.424764062580028,154.41025749949313,3.888814985356318,12.122613957201278,13.081613957201993,0.6011848956182757
